id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
2758,EVRA,large_airport,"Riga International Airport",56.92359924316406,23.971099853515625,36,EU,LV,LV-RIX,Riga,1,EVRA,RIX,,http://www.riga-airport.com/,http://en.wikipedia.org/wiki/Riga_International_Airport,,1275,2009-04-07T13:06:39+00:00
2757,EVLA,medium_airport,"Liepāja International Airport",56.51750183105469,21.096900939941406,16,EU,LV,LV-LE,Liepāja,1,EVLA,LPX,,http://www.liepaja-airport.lv/,http://en.wikipedia.org/wiki/Liep%C4%81ja_International_Airport,,875,2009-02-18T09:27:36+00:00
31030,EVRS,small_airport,"Spilve Aerodrome",56.991100311299995,24.0750007629,3,EU,LV,LV-RIX,Riga,0,EVRS,,,http://www.spilve.org/,http://en.wikipedia.org/wiki/Spilve_Airport,,50,2011-11-02T11:28:30+00:00
2759,EVVA,medium_airport,"Ventspils International Airport",57.35779953,21.5442008972,19,EU,LV,LV-VEN,Ventspils,1,EVVA,VNT,,http://www.airport.ventspils.lv/,http://en.wikipedia.org/wiki/Ventspils_International_Airport,,800,2012-04-29T09:11:01+00:00
31029,EVKA,medium_airport,"Jēkabpils Air Base",56.534698,25.8925,289,EU,LV,LV-JK,Jēkabpils,0,EVKA,,,,http://en.wikipedia.org/wiki/J%C4%93kabpils_(air_base),"Yekabpils, Krustpils",250,2016-11-02T09:49:20+00:00
31031,EVTA,medium_airport,"Jūrmala Airport",56.9422,23.2239,220,EU,LV,LV-TU,Tukums,0,EVJA,,,,https://en.wikipedia.org/wiki/J%C5%ABrmala_Airport,,250,2016-11-02T09:57:03+00:00
35093,LV-8037,closed,"Penkule Airfield",56.474862,23.190107,151,EU,LV,LV-JL,,0,,,,,http://en.wikipedia.org/wiki/T%C4%93rvete,,50,2019-01-08T11:51:25+00:00
29971,EVPA,small_airport,"Ikshkile Airport",56.814998626708984,24.527799606323242,64,EU,LV,LV-OG,Ikshkile,0,EVPA,,,,,,50,2009-04-07T13:06:37+00:00
31026,EVEA,small_airport,"Jelgava Airfield",56.672798,23.679199,20,EU,LV,LV-JEL,Jelgava,0,EVEA,,,,,,50,2016-11-02T09:24:02+00:00
