id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
3022,FXMM,medium_airport,"Moshoeshoe I International Airport",-29.462299346923828,27.552499771118164,5348,AF,LS,LS-A,Maseru,1,FXMM,MSU,,,http://en.wikipedia.org/wiki/Moshoeshoe_I_International_Airport,,1050,2008-08-13T13:33:35+00:00
3023,FXMU,small_airport,"Mejametalana Airbase",-29.304100036621094,27.50349998474121,5105,AF,LS,LS-A,Maseru,0,FXMU,,,,,,50,2008-08-13T13:33:35+00:00
31283,FXBB,small_airport,"Bobete Airport",-29.424999237060547,28.66699981689453,7100,AF,LS,LS-K,Bobete,0,FXBB,,,,,,50,2008-08-13T13:33:18+00:00
30017,FXKA,small_airport,"Katse Airport",-29.36370086669922,28.527299880981445,7000,AF,LS,LS-K,Katse,0,FXKA,,,,,,50,2008-08-13T13:33:20+00:00
31284,FXKB,small_airport,"Kolberg Airport",-29.380300521850586,28.490699768066406,7000,AF,LS,LS-K,Kolberg,0,FXKB,,,,,,50,2008-08-13T13:33:22+00:00
31806,FXLK,small_airport,"Lebakeng Airport",-29.89080047607422,28.65559959411621,6000,AF,LS,LS-H,Lebakeng,0,FXLK,LEF,,,,,50,2008-08-13T13:33:24+00:00
30070,FXLR,small_airport,"Leribe Airport",-28.855600357055664,28.052799224853516,5350,AF,LS,LS-C,Leribe,0,FXLR,LRB,,,,,50,2008-08-13T13:33:26+00:00
31808,FXLS,small_airport,"Lesobeng Airport",-29.782899856567383,28.316699981689453,7130,AF,LS,LS-F,Lesobeng,0,FXLS,LES,,,,,50,2008-08-13T13:33:28+00:00
30075,FXLT,small_airport,"Letseng Airport",-29.009300231933594,28.854700088500977,10400,AF,LS,LS-J,Letseng,0,FXLT,,,,,,50,2008-08-13T13:33:30+00:00
30097,FXMF,small_airport,"Mafeteng Airport",-29.80109977722168,27.243600845336914,5350,AF,LS,LS-E,Mafeteng,0,FXMF,MFC,,,,,50,2008-08-13T13:33:32+00:00
31287,FXML,small_airport,"Malefiloane Airstrip",-29.335500717163086,29.185300827026367,8267,AF,LS,LS-J,Malefiloane,0,FXML,,,,,,50,2008-08-13T13:33:33+00:00
31288,FXMN,small_airport,"Mantsonyane Airport",-29.546100616455078,28.270999908447266,7100,AF,LS,LS-K,Mantsonyane,0,FXMN,,,,,,50,2008-08-13T13:33:35+00:00
31290,FXMS,small_airport,"Mashai Store Airport",-29.683000564575195,28.799999237060547,7300,AF,LS,LS-K,"Mashai Store",0,FXMS,,,,,,50,2008-08-13T13:33:37+00:00
31291,FXMT,small_airport,"Matabeng Store Airport",-29.783000946044922,28.767000198364258,6300,AF,LS,LS-K,"Matabeng Store",0,FXMT,,,,,,50,2008-08-13T13:33:39+00:00
31292,FXMV,small_airport,"Matabeng Village Airport",-29.814699172973633,28.80820083618164,6150,AF,LS,LS-K,"Matabeng Village",0,FXMV,,,,,,50,2008-08-13T13:33:41+00:00
31285,FXMA,small_airport,"Matsaile Airport",-29.840599060058594,28.776399612426758,6200,AF,LS,LS-K,Matsaile,0,FXMA,,,,,,50,2008-08-13T13:33:43+00:00
31286,FXMH,small_airport,"Mohale's Hoek Airport",-30.144500732421875,27.470800399780273,5146,AF,LS,LS-F,"Mohale's Hoek",0,FXMH,,,,,,50,2008-08-13T13:33:45+00:00
31289,FXMP,small_airport,"Mohlanapeng Airport",-29.58300018310547,28.683000564575195,7294,AF,LS,LS-K,Mohlanapeng,0,FXMP,,,,,,50,2008-08-13T13:33:47+00:00
30149,FXMK,small_airport,"Mokhotlong Airport",-29.28179931640625,29.072799682617188,7200,AF,LS,LS-J,Mokhotlong,0,FXMK,MKH,,,,,50,2008-08-13T13:33:49+00:00
32035,FXNK,small_airport,"Nkaus Airport",-30.021699905396,28.196899414062,5621,AF,LS,LS-F,Nkaus,0,FXNK,NKU,,,https://en.wikipedia.org/wiki/Nkaus_Airport,Nkau,50,2015-12-13T17:04:49+00:00
31293,FXNH,small_airport,"Nohanas Airport",-30.066999435424805,27.867000579833984,5400,AF,LS,LS-F,Nohanas,0,FXNH,,,,,,50,2008-08-13T13:33:52+00:00
32151,FXPG,small_airport,"Pelaneng Airport",-29.1205997467041,28.505300521850586,7200,AF,LS,LS-C,Pelaneng,0,FXPG,PEL,,,,,50,2008-08-13T13:33:54+00:00
30309,FXQN,small_airport,"Qacha's Nek Airport",-30.1117000579834,28.671899795532227,6100,AF,LS,LS-H,"Qacha's Nek",0,FXQN,UNE,,,,,50,2008-08-13T13:33:56+00:00
32557,FXQG,small_airport,"Quthing Airport",-30.407499313354492,27.693300247192383,5350,AF,LS,LS-G,Quthing,0,FXQG,UTG,,,,,50,2008-08-13T13:33:58+00:00
31294,FXSE,small_airport,"Sehlabathebe Airport",-29.915800094604492,29.038799285888672,7300,AF,LS,LS-H,Sehlabathebe,0,FXSE,,,,,,50,2008-08-13T13:34:00+00:00
30404,FXSH,small_airport,"Sehonghong Airport",-29.730899810791016,28.76889991760254,6500,AF,LS,LS-K,Sehonghong,0,FXSH,SHK,,,,,50,2008-08-13T13:34:02+00:00
32317,FXSK,small_airport,"Sekakes Airport",-30.03890037536621,28.37030029296875,5700,AF,LS,LS-H,Sekakes,0,FXSK,SKQ,,,,,50,2008-08-13T13:34:04+00:00
30405,FXSM,small_airport,"Semonkong Airport",-29.838600158691406,28.059999465942383,7200,AF,LS,LS-A,Semonkong,0,FXSM,SOK,,,,,50,2008-08-13T13:34:06+00:00
32298,FXSS,small_airport,"Seshutes Airport",-29.26759910583496,28.55229949951172,7000,AF,LS,LS-C,Seshutes,0,FXSS,SHZ,,,,,50,2008-08-13T13:34:08+00:00
31295,FXST,small_airport,"St. Theresa Airport",-29.617000579833984,28.783000946044922,6800,AF,LS,LS-K,"St. Theresa",0,FXST,,,,,,50,2008-08-13T13:34:10+00:00
31296,FXTB,small_airport,"Tebellong Airport",-30.049999237060547,28.433000564575195,5600,AF,LS,LS-H,Tebellong,0,FXTB,,,,,,50,2008-08-13T13:34:11+00:00
32442,FXTA,small_airport,"Thaba-Tseka Airport",-29.52280044555664,28.615800857543945,7500,AF,LS,LS-K,Thaba-Tseka,0,FXTA,THB,,,,,50,2008-08-13T13:34:13+00:00
32453,FXTK,small_airport,"Tlokoeng Airport",-29.232999801635742,28.882999420166016,7000,AF,LS,LS-J,Tlokoeng,0,FXTK,TKO,,,,,50,2008-08-13T13:34:15+00:00
