id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
3099,GLRB,large_airport,"Roberts International Airport",6.23379,-10.3623,31,AF,LR,LR-MG,Monrovia,1,GLRB,ROB,,,http://en.wikipedia.org/wiki/Roberts_International_Airport,,875,2019-01-13T13:02:12+00:00
3098,GLMR,medium_airport,"Spriggs Payne Airport",6.289060115814209,-10.758700370788574,25,AF,LR,LR-MO,Monrovia,1,GLMR,MLW,,,http://en.wikipedia.org/wiki/Spriggs_Payne_Airport,,800,2009-02-09T18:13:57+00:00
31533,GLBU,small_airport,"Buchanan Airport",5.904167,-10.058333,41,AF,LR,LR-GB,Buchanan,0,GLBU,UCN,,,http://en.wikipedia.org/wiki/Buchanan_Airport,,50,2018-04-26T10:56:46+00:00
31538,GLLB,small_airport,"Lamco Airport",5.857778,-10.02,30,AF,LR,LR-GB,Buchanan,0,GLLB,,,,http://en.wikipedia.org/wiki/Lamco_Airport,,50,2018-04-26T10:55:44+00:00
32335,GLGE,small_airport,"Greenville Sinoe Airport",5.0343098640441895,-9.066800117492676,10,AF,LR,LR-SI,Greenville,0,GLGE,SNI,,,http://en.wikipedia.org/wiki/Greenville/Sinoe_Airport,,50,2009-02-09T18:20:42+00:00
30844,GLCP,small_airport,"Cape Palmas Airport",4.3790202140808105,-7.6969499588012695,20,AF,LR,LR-MY,Harper,0,GLCP,CPA,,,http://en.wikipedia.org/wiki/Cape_Palmas_Airport,"A. Tubman Airport",50,2009-02-09T18:43:39+00:00
32028,GLNA,small_airport,"Nimba Airport",7.5,-8.600000381469727,1632,AF,LR,LR-NI,Nimba,0,GLNA,NIA,,,http://en.wikipedia.org/wiki/Nimba_Airport,,50,2009-02-09T18:18:38+00:00
31535,GLCM,small_airport,"Robertsport/Cape Mount Airport",6.800000190734863,-11.366999626159668,10,AF,LR,LR-CM,"Robertsport/Cape Mount",0,GLCM,,,,,,50,2008-08-03T11:41:15+00:00
32443,GLTN,small_airport,"Tchien Airport",6.045650482177734,-8.138723373413086,790,AF,LR,LR-GG,Tchien,0,GLTN,THC,,,http://en.wikipedia.org/wiki/Tchien_Airport,,50,2009-03-02T11:26:46+00:00
32590,GLVA,small_airport,"Voinjama Airport",8.399999618530273,-9.767000198364258,1400,AF,LR,LR-LO,Voinjama,0,GLVA,VOI,,,http://en.wikipedia.org/wiki/Voinjama_Airport,,50,2009-02-09T18:26:10+00:00
302393,BYL,small_airport,"Bella Yella Airport",7.36916666667,-9.99372222222,690,AF,LR,LR-LO,Beliyela,0,,BYL,,,,,0,2012-08-09T16:54:52+00:00
312910,FOY,small_airport,"Foya Airport",8.3513,-10.2269,1480,AF,LR,LR-LO,Foya,0,,FOY,,,http://en.wikipedia.org/wiki/Foya_Airport,,0,2014-09-20T13:20:40+00:00
311387,GRC,small_airport,"Grand Cess Airport",4.571,-8.2076,28,AF,LR,LR-GK,"Grand Cess",0,,GRC,,,,,0,2014-03-20T19:39:05+00:00
311046,RVC,small_airport,"River Cess Airport/Heliport",5.471326,-9.585373,27,AF,LR,LR-RI,"River Cess",0,,RVC,,,,,0,2014-02-20T22:03:34+00:00
43203,GLST,small_airport,"Sasstown Airport",4.6666669845581055,-8.433333396911621,6,AF,LR,LR-GK,Sasstown,0,GLST,SAZ,,,http://en.wikipedia.org/wiki/Sasstown_Airport,,0,2009-02-09T18:24:44+00:00
316460,TPT,small_airport,"Tapeta Airport",6.4948,-8.873,870,AF,LR,LR-NI,Tapeta,0,,TPT,,,,,0,2015-12-03T23:45:39+00:00
