id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
2908,FMMI,large_airport,"Ivato Airport",-18.7969,47.478802,4198,AF,MG,MG-T,Antananarivo,1,FMMI,TNR,,,http://en.wikipedia.org/wiki/Ivato_Airport,,1050,2019-01-13T13:39:04+00:00
2920,FMNN,medium_airport,"Fascene Airport",-13.3121004105,48.3148002625,36,AF,MG,MG-D,"Nosy Be",1,FMNN,NOS,,,http://en.wikipedia.org/wiki/Fascene_Airport,,875,2010-08-30T12:58:13+00:00
2933,FMST,medium_airport,"Toliara Airport",-23.383399963378906,43.72850036621094,29,AF,MG,MG-U,,1,FMST,TLE,,,http://en.wikipedia.org/wiki/Toliara_Airport,,800,2008-06-13T14:30:04+00:00
2907,FMMA,small_airport,"Antananarivo Arivonimamo Airport",-19.02899932861328,47.17179870605469,4757,AF,MG,MG-T,,0,FMMA,,,,,,50,2008-06-13T14:30:04+00:00
2911,FMMT,medium_airport,"Toamasina Airport",-18.109500885009766,49.39250183105469,22,AF,MG,MG-A,,1,FMMT,TMM,,,http://en.wikipedia.org/wiki/Toamasina_Airport,,1050,2008-06-13T14:30:04+00:00
2910,FMMS,medium_airport,"Sainte Marie Airport",-17.093900680541992,49.815799713134766,7,AF,MG,MG-A,,1,FMMS,SMS,,,http://en.wikipedia.org/wiki/Saints_Marie_Airport,,875,2008-09-25T12:05:33+00:00
2913,FMNA,medium_airport,"Arrachart Airport",-12.34939956665039,49.29169845581055,374,AF,MG,MG-D,,1,FMNA,DIE,,,http://en.wikipedia.org/wiki/Arrachart_Airport,,875,2008-06-13T14:30:04+00:00
2919,FMNM,medium_airport,"Amborovy Airport",-15.6668417421,46.351232528699995,87,AF,MG,MG-M,,1,FMNM,MJN,,,http://en.wikipedia.org/wiki/Amborovy_Airport,"Philibert Tsiranana Airport, Mahajanga",875,2011-08-03T23:24:46+00:00
2912,FMMV,medium_airport,"Morondava Airport",-20.284700393676758,44.31760025024414,30,AF,MG,MG-U,,1,FMMV,MOQ,,,http://en.wikipedia.org/wiki/Morondava_Airport,,825,2008-06-13T14:30:04+00:00
2928,FMSF,medium_airport,"Fianarantsoa Airport",-21.441600799560547,47.111698150634766,3658,AF,MG,MG-F,,1,FMSF,WFI,,,http://en.wikipedia.org/wiki/Fianarantsoa_Airport,,800,2008-06-13T14:30:04+00:00
2932,FMSR,medium_airport,"Morombe Airport",-21.7539005279541,43.3754997253418,16,AF,MG,MG-U,,1,FMSR,MXM,,,http://en.wikipedia.org/wiki/Morombe_Airport,,800,2008-06-13T14:30:04+00:00
