id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
3018,FWKI,medium_airport,"Lilongwe International Airport",-13.7894001007,33.78099823,4035,AF,MW,MW-LI,Lilongwe,1,FWKI,LLW,,,http://en.wikipedia.org/wiki/Lilongwe_International_Airport,"FWLI, Kamuzu International Airport",925,2010-09-02T20:50:08+00:00
3015,FWCL,medium_airport,"Chileka International Airport",-15.679100036621094,34.9739990234375,2555,AF,MW,MW-BL,Blantyre,1,FWCL,BLZ,,,http://en.wikipedia.org/wiki/Chileka_International_Airport,,825,2008-12-30T09:24:31+00:00
3020,FWUU,medium_airport,"Mzuzu Airport",-11.444700241088867,34.01179885864258,4115,AF,MW,MW-MZ,Mzuzu,1,FWUU,ZZU,,,http://en.wikipedia.org/wiki/Mzuzu_Airport,,800,2008-12-30T09:25:07+00:00
30835,FWCM,small_airport,"Club Makokola Airport",-14.306900024414062,35.13249969482422,1587,AF,MW,MW-MG,"Club Makokola",1,FWCM,CMK,,,,,450,2008-12-30T09:24:59+00:00
3016,FWKA,medium_airport,"Karonga Airport",-9.953570365905762,33.893001556396484,1765,AF,MW,MW-KR,Karonga,0,FWKA,KGJ,,,,,250,2008-12-30T09:24:45+00:00
31833,FWSM,small_airport,"Salima Airport",-13.755892702500002,34.5841884613,1688,AF,MW,MW-SA,Salima,0,FWSM,LMB,,,,"Salima, Sengabay",50,2012-05-07T04:49:58+00:00
3021,FWZA,small_airport,"Zomba Airport",-15.38539981842041,35.384498596191406,2650,AF,MW,MW-ZO,Zomba,0,FWZA,,,,,,50,2008-12-30T09:25:26+00:00
30602,FWDW,medium_airport,"Dwangwa Airport",-12.5183,34.131901,1605,AF,MW,MW-NK,Dwangwa,0,FWDW,DWA,,,https://en.wikipedia.org/wiki/Dwanga_Airport,,250,2018-05-01T17:15:07+00:00
30603,FWMG,medium_airport,"Mangochi Airport",-14.482999801635742,35.266998291015625,1580,AF,MW,MW-MG,Mangochi,0,FWMG,MAI,,,,,250,2008-12-30T09:25:01+00:00
29779,FWCD,small_airport,"Chelinda Malawi Airport",-10.5500001907,33.799999237099996,7759,AF,MW,MW-RU,,0,FWCD,CEH,,,,,50,2012-01-01T04:21:27+00:00
29684,FWBG,small_airport,"Bangula Airport",-16.58329963684082,35.11669921875,302,AF,MW,MW-NS,Bangula,0,FWBG,,,,,,50,2008-12-30T09:25:16+00:00
29780,FWCB,small_airport,"Chilumba Prv Airport",-10.433300018310547,34.25,1611,AF,MW,MW-KR,Chilumba,0,FWCB,,,,,,50,2008-12-30T09:24:43+00:00
31275,FWCT,small_airport,"Chitipa Airport",-9.699999809265137,33.266998291015625,4270,AF,MW,MW-CT,Chitipa,0,FWCT,,,,,,50,2008-12-30T09:24:37+00:00
31276,FWDZ,closed,"Dedza Airport",-14.383,34.317001,5240,AF,MW,MW-DE,Dedza,0,FWDZ,,,,,,50,2016-02-11T07:42:37+00:00
3017,FWKG,small_airport,"Kasungu Airport",-13.014599800109863,33.46860122680664,3470,AF,MW,MW-KS,Kasungu,0,FWKG,KBQ,,,,,50,2008-12-30T09:24:47+00:00
30604,FWKB,closed,"Katumbi Airport",-10.830489,33.508844,3986,AF,MW,MW-RU,Katumbi,0,FWKB,,,,https://en.wikipedia.org/wiki/Katumbi_Airport,,50,2016-06-09T06:34:48+00:00
31278,FWLP,small_airport,"Lifupa Airport",-13.050000190734863,33.150001525878906,3326,AF,MW,MW-KS,Lifupa,0,FWLP,,,,,,50,2008-12-30T09:24:49+00:00
31826,FWLK,small_airport,"Likoma Island Airport",-12.075833,34.737222,1600,AF,MW,MW-LK,"Likoma Island",0,FWLK,LIX,,,https://en.wikipedia.org/wiki/Likoma_Airport,,50,2018-05-01T17:14:15+00:00
3019,FWLE,small_airport,"Old Lilongwe Airport",-13.9659996033,33.7018013,3722,AF,MW,MW-LI,Lilongwe,0,FWLE,,,,,,50,2014-07-06T07:53:41+00:00
30126,FWMC,small_airport,"Mchinji Airport",-13.800000190734863,32.900001525878906,3901,AF,MW,MW-MC,Mchinji,0,FWMC,,,,,,50,2008-12-30T09:24:57+00:00
31998,FWMY,small_airport,"Monkey Bay Airport",-14.083600044299999,34.9197006226,1580,AF,MW,MW-MG,"Monkey Bay",0,FWMY,MYZ,,,http://en.wikipedia.org/wiki/Monkey_Bay_Airport,,50,2015-03-15T20:27:08+00:00
31282,FWTK,small_airport,"Mtakatata Airport",-14.217000007629395,34.53300094604492,1725,AF,MW,MW-DE,Mtakatata,0,FWTK,,,,,,50,2008-12-30T09:24:41+00:00
31279,FWMZ,small_airport,"Mzimba Airport",-11.883000373840332,33.617000579833984,4440,AF,MW,MW-MZ,Mzimba,0,FWMZ,,,,,,50,2008-12-30T09:25:05+00:00
30183,FWSU,small_airport,"Nchalo Sucoma Airport",-16.269338,34.877216,230,AF,MW,MW-CK,Nchalo,0,FWSU,,,,https://en.wikipedia.org/wiki/Sucoma_Airport,,50,2016-06-24T05:38:11+00:00
31280,FWNB,small_airport,"Ngabu Airport",-16.482999801635742,34.849998474121094,450,AF,MW,MW-CK,Ngabu,0,FWNB,,,,,,50,2008-12-30T09:24:33+00:00
31277,FWKK,small_airport,"Nkhota Kota Airport",-12.916999816894531,34.266998291015625,1720,AF,MW,MW-NK,"Nkhota Kota",0,FWKK,,,,,,50,2008-12-30T09:25:14+00:00
