id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
26874,WMKK,large_airport,"Kuala Lumpur International Airport",2.745579957962,101.70999908447,69,AS,MY,MY-14,"Kuala Lumpur",1,WMKK,KUL,,,http://en.wikipedia.org/wiki/Kuala_Lumpur_International_Airport,KLIA,1017575,2015-08-02T19:22:21+00:00
26878,WMKP,medium_airport,"Penang International Airport",5.297140121459961,100.2770004272461,11,AS,MY,MY-07,Penang,1,WMKP,PEN,,,http://en.wikipedia.org/wiki/Penang_International_Airport,,975,2008-08-17T17:08:57+00:00
26875,WMKL,medium_airport,"Langkawi International Airport",6.329730033874512,99.72869873046875,29,AS,MY,MY-02,Langkawi,1,WMKL,LGK,,,http://en.wikipedia.org/wiki/Langkawi_International_Airport,,975,2008-08-17T17:08:57+00:00
26814,WBKK,medium_airport,"Kota Kinabalu International Airport",5.9372100830078125,116.0510025024414,10,AS,MY,MY-12,"Kota Kinabalu",1,WBKK,BKI,,,http://en.wikipedia.org/wiki/Kota_Kinabalu_International_Airport,,1050,2008-08-17T17:08:57+00:00
26879,WMSA,medium_airport,"Sultan Abdul Aziz Shah International Airport",3.130579948425293,101.54900360107422,90,AS,MY,MY-10,Subang,1,WMSA,SZB,,,http://en.wikipedia.org/wiki/Sultan_Abdul_Aziz_Shah_Airport,,1050,2008-08-17T17:09:00+00:00
26808,WBGG,medium_airport,"Kuching International Airport",1.4846999645233154,110.34700012207031,89,AS,MY,MY-13,Kuching,1,WBGG,KCH,,,http://en.wikipedia.org/wiki/Kuching_International_Airport,,1050,2008-08-17T17:08:57+00:00
26873,WMKJ,medium_airport,"Senai International Airport",1.64131,103.669998,135,AS,MY,MY-01,"Johor Bahru",1,WMKJ,JHB,,,http://en.wikipedia.org/wiki/Senai_International_Airport,"Sultan Ismail Airport",975,2017-08-14T22:25:14+00:00
26868,WMKC,medium_airport,"Sultan Ismail Petra Airport",6.1668500900268555,102.29299926757812,16,AS,MY,MY-03,"Kota Baharu",1,WMKC,KBR,,,http://en.wikipedia.org/wiki/Sultan_Ismail_Petra_Airport,,800,2008-08-17T17:08:57+00:00
26812,WBGS,medium_airport,"Sibu Airport",2.2616000175476074,111.98500061035156,122,AS,MY,MY-13,Sibu,1,WBGS,SBW,,,http://en.wikipedia.org/wiki/Sibu_Airport,,1050,2008-08-17T17:08:57+00:00
26811,WBGR,medium_airport,"Miri Airport",4.322010040283203,113.98699951171875,59,AS,MY,MY-13,Miri,1,WBGR,MYY,,,http://en.wikipedia.org/wiki/Miri_Airport,,1050,2008-08-17T17:08:57+00:00
26816,WBKS,medium_airport,"Sandakan Airport",5.900899887084961,118.05899810791016,46,AS,MY,MY-12,Sandakan,1,WBKS,SDK,,,http://en.wikipedia.org/wiki/Sandakan_Airport,,1050,2008-08-17T17:08:57+00:00
26866,WMKA,medium_airport,"Sultan Abdul Halim Airport",6.189670085906982,100.39800262451172,15,AS,MY,MY-02,"Alor Satar",1,WMKA,AOR,,,http://en.wikipedia.org/wiki/Sultan_Abdul_Halim_Airport,,800,2008-08-17T17:08:57+00:00
26877,WMKN,medium_airport,"Sultan Mahmud Airport",5.3826398849487305,103.10299682617188,21,AS,MY,MY-11,"Kuala Terengganu",1,WMKN,TGG,,,http://en.wikipedia.org/wiki/Sultan_Mahmud_Airport,,800,2008-08-17T17:08:57+00:00
26807,WBGB,medium_airport,"Bintulu Airport",3.12385010719,113.019996643,74,AS,MY,MY-13,Bintulu,1,WBGB,BTU,,,http://en.wikipedia.org/wiki/Bintulu_Airport,,1050,2011-10-23T15:16:29+00:00
26817,WBKW,medium_airport,"Tawau Airport",4.320159912109375,118.12799835205078,57,AS,MY,MY-12,Tawau,1,WBKW,TWU,,,http://en.wikipedia.org/wiki/Tawau_Airport,,1050,2008-08-17T17:08:57+00:00
26869,WMKD,medium_airport,"Kuantan Airport",3.7753899097442627,103.20899963378906,58,AS,MY,MY-06,Kuantan,1,WMKD,KUA,,,http://en.wikipedia.org/wiki/Sultan_Haji_Ahmad_Shah_Airport,,975,2008-08-17T17:08:57+00:00
26818,WBMU,medium_airport,"Mulu Airport",4.048329830169678,114.80500030517578,80,AS,MY,MY-13,Mulu,1,WBMU,MZV,,,http://en.wikipedia.org/wiki/Mulu_Airport,,800,2008-08-17T17:08:57+00:00
26864,WMBT,medium_airport,"Pulau Tioman Airport",2.8181800842285156,104.16000366210938,15,AS,MY,MY-06,"Pulau Tioman",1,WMBT,TOD,,,http://en.wikipedia.org/wiki/Tioman_Airport,,800,2008-08-17T17:08:57+00:00
35209,WMPA,small_airport,"Pulau Pangkor Airport",4.244719982147217,100.5530014038086,19,AS,MY,MY-08,"Pangkor Island",1,WMPA,PKG,,,http://en.wikipedia.org/wiki/Pangkor_Airport,,450,2008-08-17T17:08:59+00:00
26876,WMKM,medium_airport,"Malacca Airport",2.2633600235,102.251998901,35,AS,MY,MY-04,Malacca,0,WMKM,MKZ,,,http://en.wikipedia.org/wiki/Batu_Berendam_Airport,,250,2012-06-29T15:08:39+00:00
26871,WMKF,small_airport,"Simpang Airport",3.1122500896453857,101.7030029296875,111,AS,MY,MY-14,"Kuala Lumpur",0,WMKF,,,,http://en.wikipedia.org/wiki/Sungai_Besi_Airport,,50,2008-08-17T17:08:57+00:00
26815,WBKL,medium_airport,"Labuan Airport",5.300680160522461,115.25,101,AS,MY,MY-15,Labuan,1,WBKL,LBU,,,http://en.wikipedia.org/wiki/Labuan_Airport,,1050,2008-08-17T17:08:57+00:00
26872,WMKI,medium_airport,"Sultan Azlan Shah Airport",4.567969799041748,101.09200286865234,130,AS,MY,MY-08,Ipoh,1,WMKI,IPH,,,http://en.wikipedia.org/wiki/Sultan_Azlan_Shah_Airport,,975,2008-08-17T17:08:57+00:00
26809,WBGJ,medium_airport,"Limbang Airport",4.808300018310547,115.01000213623047,14,AS,MY,MY-13,Limbang,1,WBGJ,LMN,,,http://en.wikipedia.org/wiki/Limbang_Airport,,800,2008-08-17T17:08:57+00:00
31866,WBGW,small_airport,"Lawas Airport",4.84917,115.407997,5,AS,MY,MY-13,Lawas,1,WBGW,LWY,,,https://en.wikipedia.org/wiki/Lawas_Airport,,450,2018-05-09T06:07:03+00:00
35208,MY-LBP,small_airport,"Long Banga Airport",3.202,115.4018,750,AS,MY,MY-13,"Long Banga",1,,LBP,,,http://en.wikipedia.org/wiki/Long_Banga_Airport,,450,2011-10-05T16:35:52+00:00
26870,WMKE,medium_airport,"Kerteh Airport",4.537220001220703,103.427001953125,18,AS,MY,MY-11,Kerteh,0,WMKE,KTE,,,,,325,2008-08-17T17:08:57+00:00
31746,WBKG,small_airport,"Keningau Airport",5.357490062713623,116.16200256347656,1036,AS,MY,MY-12,Keningau,0,WBKG,KGU,,,,,50,2008-08-17T17:08:57+00:00
41319,WMPR,small_airport,"LTS Pulau Redang Airport",5.765279769897461,103.00700378417969,36,AS,MY,MY-11,Redang,0,WMPR,RDN,,,http://en.wikipedia.org/wiki/Redang_Airport,,50,2008-10-19T06:57:37+00:00
41326,WMAN,small_airport,"Sungai Tiang Airport",4.330277919769287,102.3949966430664,10,AS,MY,MY-06,"Taman Negara",0,WMAN,SXT,,,,,50,2008-08-17T17:08:57+00:00
26813,WBKD,medium_airport,"Lahad Datu Airport",5.032249927520752,118.3239974975586,45,AS,MY,MY-12,"Lahad Datu",1,WBKD,LDU,,,http://en.wikipedia.org/wiki/Lahad_Datu_Airport,,800,2008-08-17T17:08:57+00:00
26810,WBGM,medium_airport,"Marudi Airport",4.178979873657227,114.3290023803711,103,AS,MY,MY-13,Marudi,1,WBGM,MUR,,,http://en.wikipedia.org/wiki/Marudi_Airport,,800,2008-08-17T17:08:57+00:00
30764,WBGQ,small_airport,"Bakalalan Airport",3.9739999771118164,115.61799621582031,2900,AS,MY,MY-13,Bakalalan,1,WBGQ,BKM,,,,,450,2008-08-17T17:08:57+00:00
30682,WBGZ,medium_airport,"Bario Airport",3.7338900566101074,115.47899627685547,3350,AS,MY,MY-13,Bario,1,WBGZ,BBN,,,http://en.wikipedia.org/wiki/Bario_Airport,,450,2009-03-02T10:25:55+00:00
30770,WBGC,small_airport,"Belaga Airport",2.65000009537,113.766998291,200,AS,MY,MY-13,Belaga,1,WBGC,BLG,,,http://en.wikipedia.org/wiki/Belaga_Airport,,450,2011-10-30T23:01:21+00:00
31785,WBKT,small_airport,"Kudat Airport",6.922500133514404,116.83599853515625,10,AS,MY,MY-12,Kudat,1,WBKT,KUD,,,,,450,2008-08-17T17:08:57+00:00
