id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
26636,VRMM,large_airport,"Malé International Airport",4.191830158233643,73.52909851074219,6,AS,MV,MV-MLE,Malé,1,VRMM,MLE,,http://www.airports.com.mv/,http://en.wikipedia.org/wiki/Mal%C3%A9_International_Airport,,1050,2009-08-23T13:38:00+00:00
26633,VRMG,medium_airport,"Gan International Airport",-0.693342,73.155602,6,AS,MV,MV-01,Gan,1,VRMG,GAN,MV,http://www.airports.com.mv/domestic/gan.htm,http://en.wikipedia.org/wiki/Gan_International_Airport,"Gan Airport, Addu City, Maldives",825,2017-06-30T10:40:34+00:00
26634,VRMH,medium_airport,"Hanimaadhoo Airport",6.744229793548584,73.17050170898438,4,AS,MV,MV-23,"Haa Dhaalu Atoll",1,VRMH,HAQ,,,http://en.wikipedia.org/wiki/Hanimaadhoo_Airport,,800,2008-12-30T09:24:25+00:00
308670,MV-0001,seaplane_base,"Biyadoo Island",3.92496803919,73.4516716003,,AS,MV,MV-MLE,,0,,,,,,,0,2013-05-15T10:16:41+00:00
316420,VRMD,small_airport,"Dharavandhoo Airport",5.1561,73.1302,6,AS,MV,MV-20,"Baa Atoll",1,VRMD,DRV,,,https://en.wikipedia.org/wiki/Dharavandhoo_Airport,,0,2015-11-22T15:29:05+00:00
301316,VRMV,medium_airport,"Villa Airport",3.47055555556,72.8358333333,6,AS,MV,MV-13,Maamigili,1,VRMV,VAM,,,http://en.wikipedia.org/wiki/Maamigili_Airport,,0,2012-04-29T11:00:22+00:00
26637,VRMT,medium_airport,"Kaadedhdhoo Airport",0.48813098669052124,72.99690246582031,2,AS,MV,MV-28,"Huvadhu Atoll",1,VRMT,KDM,,,http://en.wikipedia.org/wiki/Kaadedhdhoo_Domestic_Airport,,800,2008-12-30T09:24:27+00:00
26635,VRMK,medium_airport,"Kadhdhoo Airport",1.8591699600219727,73.52189636230469,4,AS,MV,MV-05,Kadhdhoo,1,VRMK,KDO,,,http://en.wikipedia.org/wiki/Kadhdhoo_Airport,,800,2009-08-29T10:21:13+00:00
300712,VRMF,small_airport,"Fuvahmulah Airport",-0.309722222222,73.435,17,AS,MV,MV-29,"Fuvahmulah Island",0,VRMR,FVM,,,,,0,2014-09-26T23:17:30+00:00
308991,VRMO,small_airport,"Kooddoo Airport",0.7324,73.4336,29,AS,MV,MV-27,"Huvadhu Atoll",1,VRMO,GKK,,,http://en.wikipedia.org/wiki/Kooddoo_Airport,,0,2013-07-09T00:52:37+00:00
316421,VREI,small_airport,"Ifuru Airport",5.7083,73.025,20,AS,MV,MV-13,"Ifuru Island",0,VREI,IFU,,,,,0,2015-11-22T15:51:37+00:00
330376,VRMU,small_airport,"Dhaalu Atoll Airport",2.666075,72.887118,6,AS,MV,MV-17,Kudahuvadhoo,0,VRMU,DDD,,,https://en.wikipedia.org/wiki/Dhaalu_Airport,,0,2019-02-08T19:32:21+00:00
316419,VRNT,small_airport,"Thimarafushi Airport",2.211,73.1533,6,AS,MV,MV-08,Thimarafushi,1,VRNT,TMF,,,https://en.wikipedia.org/wiki/Thimarafushi_Airport,,0,2015-11-22T15:01:44+00:00
