id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
3066,GABS,large_airport,"Modibo Keita International Airport",12.5335,-7.94994,1247,AF,ML,ML-2,Bamako,1,GABS,BKO,,,https://en.wikipedia.org/wiki/Bamako%E2%80%93S%C3%A9nou_International_Airport,"Senou Airport",1050,2019-01-13T13:00:28+00:00
3071,GATB,medium_airport,"Timbuktu Airport",16.730499267578125,-3.007580041885376,863,AF,ML,ML-7,Timbuktu,1,GATB,TOM,,,http://en.wikipedia.org/wiki/Timbuktu_Airport,"Timbuctoo Airport, Tombouctou Airport, Tumbutu Airport, Tombouktou Airport",800,2008-06-13T14:30:04+00:00
3069,GAMB,medium_airport,"Mopti Airport",14.5128002167,-4.0795598030099995,906,AF,ML,ML-5,,1,GAMB,MZI,,,http://en.wikipedia.org/wiki/Mopti_Airport,"Ambodedjo Airport",800,2015-01-27T10:37:19+00:00
3067,GAGO,medium_airport,"Gao Airport",16.24839973449707,-0.005456000100821257,870,AF,ML,ML-7,,1,GAGO,GAQ,,,http://en.wikipedia.org/wiki/Gao_International_Airport,,800,2008-06-13T14:30:04+00:00
31765,GAKA,small_airport,"Kenieba Airport",12.833000183105469,-11.25,449,AF,ML,ML-1,Kenieba,0,GAKA,KNZ,,,,,50,2008-12-30T09:23:28+00:00
3068,GAKY,medium_airport,"Kayes Dag Dag Airport",14.481200218200684,-11.404399871826172,164,AF,ML,ML-1,,1,GAKY,KYS,,,http://en.wikipedia.org/wiki/Kayes_Airport,,800,2008-06-13T14:30:04+00:00
4684,GA1A,small_airport,"Kayes Airport",14.431300163269043,-11.43970012664795,161,AF,ML,ML-1,,0,GA1A,,GA1A,,,,50,2008-06-13T14:30:04+00:00
3072,GATS,small_airport,"Tessalit Airport",20.243000030517578,0.9773079752922058,1621,AF,ML,ML-7,,0,GATS,,,,,,50,2008-06-13T14:30:04+00:00
31507,GAKL,small_airport,"Kidal Airport",18.4330005646,1.4170000553100002,1496,AF,ML,ML-8,Kidal,0,GAKL,,,,http://en.wikipedia.org/wiki/Kidal_Airport,,50,2013-11-02T16:07:15+00:00
