id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
27212,ZMUB,large_airport,"Chinggis Khaan International Airport",47.843102,106.766998,4364,AS,MN,MN-1,"Ulan Bator",1,ZMUB,ULN,,,http://en.wikipedia.org/wiki/Chinggis_Khaan_International_Airport,"Genghis Khan, Buyant Ukhaa Airport",800,2019-01-13T12:03:32+00:00
27209,ZMDZ,medium_airport,"Dalanzadgad Airport",43.59170150756836,104.43000030517578,4787,AS,MN,MN-053,Dalanzadgad,1,ZMDZ,DLZ,,,http://en.wikipedia.org/wiki/Dalanzadgad_Airport,,800,2009-02-12T11:53:33+00:00
308351,ZMOT,small_airport,"Khanbumbat Airport",43.145552,106.843509,3924,AS,MN,MN-053,"Oyu Tolgoi",0,ZMKB,,,http://ot.mn/,https://en.wikipedia.org/wiki/Khanbumbat_Airport,,0,2017-05-14T04:03:02+00:00
27206,ZMBH,medium_airport,"Bayankhongor Airport",46.163299560546875,100.7040023803711,6085,AS,MN,MN-069,Bayankhongor,1,ZMBH,BYN,,,http://en.wikipedia.org/wiki/Bayankhongor_Airport,,800,2009-02-12T11:00:11+00:00
27210,ZMKD,medium_airport,"Khovd Airport",47.9541015625,91.6281967163086,4898,AS,MN,MN-043,Khovd,1,ZMKD,HVD,,,http://en.wikipedia.org/wiki/Khovd_Airport,"Hovd, Kobdo",800,2009-02-12T12:55:04+00:00
27211,ZMMN,medium_airport,"Mörön Airport",49.663299560546875,100.0989990234375,4272,AS,MN,MN-041,Mörön,1,ZMMN,MXV,,,http://en.wikipedia.org/wiki/M%C3%B6r%C3%B6n_Airport,Muren,800,2009-02-12T12:56:54+00:00
29654,ZMAT,medium_airport,"Altai Airport",46.376399993896484,96.22109985351562,7260,AS,MN,MN-065,Altai,1,ZMAT,LTI,,,http://en.wikipedia.org/wiki/Altai_Airport,,450,2009-02-12T10:20:18+00:00
29670,ZMAH,medium_airport,"Arvaikheer Airport",46.250301361083984,102.802001953125,5932,AS,MN,MN-055,Arvaikheer,1,ZMAH,AVK,,,http://en.wikipedia.org/wiki/Arvaikheer_Airport,,450,2009-02-12T10:17:58+00:00
27207,ZMBU,medium_airport,"Baruun Urt Airport",46.660301208496094,113.28500366210938,3205,AS,MN,MN-051,,0,ZMBU,UUN,,,http://en.wikipedia.org/wiki/Baruun-Urt_Airport,,250,2008-06-13T14:30:04+00:00
27208,ZMCD,medium_airport,"Choibalsan Airport",48.13570022583008,114.64600372314453,2457,AS,MN,MN-061,,0,ZMCD,COQ,,,http://en.wikipedia.org/wiki/Choibalsan_airport,,250,2008-06-13T14:30:04+00:00
30373,ZMSH,small_airport,"Sainshand Airport",44.98310089111328,110.16699981689453,3022,AS,MN,MN-063,,0,ZMSH,,,,,,50,2008-08-03T11:53:09+00:00
30505,ZMUL,small_airport,"Ulgii Mongolei Airport",48.9933013916,89.9225006104,5732,AS,MN,MN-071,,0,ZMUL,ULG,,,http://en.wikipedia.org/wiki/%C3%96lgii_Airport,,50,2011-10-08T09:20:37+00:00
32748,ZMBD,small_airport,"Binder Airport",48.6067008972168,110.60800170898438,3422,AS,MN,MN-039,Binder,0,ZMBD,,,,,,50,2008-08-03T11:52:59+00:00
29737,ZMBS,small_airport,"Bulgan Sum Airport",46.100601,91.584198,3921,AS,MN,MN-043,Bulgan,0,ZMBS,HBU,,,"https://en.wikipedia.org/wiki/Bulgan_Airport,_Khovd",,50,2016-05-31T09:10:33+00:00
29736,ZMBN,medium_airport,"Bulgan Airport",48.85499954223633,103.47599792480469,4311,AS,MN,MN-067,Bulgan,1,ZMBN,UGA,,,http://en.wikipedia.org/wiki/Bulgan_Airport,,50,2009-04-29T12:18:03+00:00
30025,ZMHU,small_airport,"Khujirt Airport",46.9258003235,102.773002625,5522,AS,MN,MN-055,Khujirt,0,ZMHU,HJT,,,http://en.wikipedia.org/wiki/Khujirt_Airport,,50,2013-05-24T23:24:55+00:00
31983,MN-MXW,small_airport,"Mandalgobi Airport",45.7380981445,106.268997192,4550,AS,MN,MN-059,Mandalgobi,1,ZMMG,MXW,,,https://en.wikipedia.org/wiki/Mandalgovi_Airport,,50,2013-05-25T00:01:16+00:00
32537,MN-ULG,small_airport,"Ölgii Airport",48.96699905395508,89.96700286865234,,AS,MN,MN-071,Ölgii,0,,ULG,,,,,50,2008-08-03T11:45:58+00:00
32539,MN-ULZ,small_airport,"Jibhalanta Airport",47.7146987915,96.8471984863,,AS,MN,MN-057,Uliastai,0,,,,,,ULZ,50,2013-05-23T12:01:56+00:00
29735,ZMBR,small_airport,"Bulagtai Resort Airport",43.749304182,104.114985466,4659,AS,MN,MN-053,Umnugobitour,0,ZMBR,UGT,,,,,50,2012-01-27T23:17:39+00:00
302315,ZMHH,small_airport,"Kharkhorin Airport",47.246667,102.826111,4759,AS,MN,MN-055,,0,ZMHH,KHR,,,http://en.wikipedia.org/wiki/Kharkhorin_Airport,,0,2012-08-04T23:50:06+00:00
308754,ZMDA,small_airport,"Dadal Airport",49.0124,111.509,3220,AS,MN,MN-039,Dadal,0,ZMDA,,,,http://en.wikipedia.org/wiki/Dadal_Airport,,0,2013-05-23T10:42:09+00:00
302496,ERT,small_airport,"Erdenet Airport",48.9830555556,104.150555556,4200,AS,MN,MN-035,Erdenet,0,,ERT,,,,,0,2012-08-18T18:08:59+00:00
308210,HTM,small_airport,"Khatgal Airport",50.435988,100.139532,5500,AS,MN,MN-041,Hatgal,0,ZMHG,HTM,,,http://en.wikipedia.org/wiki/Khatgal_Airport,,0,2013-05-23T12:28:22+00:00
308767,ZUMH,small_airport,"Öndörkhaan Airport",47.30486,110.6092,3410,AS,MN,MN-039,Öndörkhaan,0,ZMUH,UNR,,,,"Undur Khan",0,2016-05-31T09:20:31+00:00
308765,ZMTL,small_airport,"Tosontsengel Airport",48.73887,98.2941,5610,AS,MN,MN-057,Tosontsengel,0,ZMTL,TNZ,,,,,0,2013-05-25T01:23:23+00:00
308764,ZMTG,small_airport,"Tselserleg Airport",47.46544,101.47755,5530,AS,MN,MN-073,Tselserleg,0,ZMTG,TSZ,,,,,0,2013-05-25T00:39:07+00:00
302316,ZMUG,small_airport,"Ulaangom Airport",50.066588,91.938273,,AS,MN,MN-046,Ulaangom,1,ZMUG,ULO,,,http://en.wikipedia.org/wiki/Ulaangom_Airport,,0,2016-06-02T09:04:36+00:00
308755,ZMDN,small_airport,"Donoi Airport",47.7093,96.5258,5800,AS,MN,MN-057,Uliastai,1,ZMDN,ULZ,,,http://en.wikipedia.org/wiki/Donoi_Airport,"New Uliastai Airport",0,2013-05-23T11:53:30+00:00
