id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
3115,GMMX,medium_airport,"Menara Airport",31.606899261499997,-8.03629970551,1545,AF,MA,MA-MAR,Marrakech,1,GMMX,RAK,,,http://en.wikipedia.org/wiki/Menara_International_Airport,"Marakesh, Marrakesh",1050,2010-08-30T13:16:22+00:00
3113,GMMN,large_airport,"Mohammed V International Airport",33.36750030517578,-7.589970111846924,656,AF,MA,MA-CAS,Casablanca,1,GMMN,CMN,,http://www.onda.ma/ONDA/Fr/Espaces/EspacePassagers/LeReseauAeroportuaireONDA/Lesaeroports/Fiches+d%E2%80%99identit%C3%A9+par+a%C,http://en.wikipedia.org/wiki/Mohammed_V_International_Airport,"CAS, Casabianca, Nouasseur",1200,2008-06-13T14:30:04+00:00
3101,GMAD,medium_airport,"Al Massira Airport",30.325000762939453,-9.413069725036621,250,AF,MA,MA-AGD,Agadir,1,GMAD,AGA,,,http://en.wikipedia.org/wiki/Al_Massira_Airport,,1050,2008-06-13T14:30:04+00:00
3109,GMME,medium_airport,"Rabat-Salé Airport",34.051498,-6.75152,276,AF,MA,MA-RBA,Rabat,1,GMME,RBA,,,http://en.wikipedia.org/wiki/Sale_Airport,,1050,2018-01-22T07:39:39+00:00
3121,GMTT,medium_airport,"Ibn Batouta Airport",35.726898193400004,-5.91689014435,62,AF,MA,MA-TNG,Tangier,1,GMTT,TNG,,,http://en.wikipedia.org/wiki/Tangier_Ibn_Battouta_Airport,"Tanger-Boukhalef Airport",275,2014-08-27T23:49:18+00:00
3103,GMFF,medium_airport,"Saïss Airport",33.9272994995,-4.977960109709999,1900,AF,MA,MA-FES,Fes,1,GMFF,FEZ,,,http://en.wikipedia.org/wiki/Sa%C3%AFss_Airport,,875,2010-08-31T22:09:30+00:00
3107,GMFO,medium_airport,"Angads Airport",34.787200927734375,-1.92399001121521,1535,AF,MA,MA-OUJ,Oujda,1,GMFO,OUD,,,http://en.wikipedia.org/wiki/Angads_Airport,,1050,2008-06-13T14:30:04+00:00
3114,GMMW,medium_airport,"Nador International Airport",34.988800048799995,-3.0282099247,574,AF,MA,MA-NAD,Nador,1,GMMW,NDR,,,http://en.wikipedia.org/wiki/Nador_International_Airport,"Al Aroui International Airport",800,2010-08-31T22:06:39+00:00
29759,GMMT,small_airport,"Tit Mellil Airport",33.59749984741211,-7.465000152587891,322,AF,MA,MA-CAS,Casablanca,0,GMMT,,,,,,50,2009-04-15T19:31:29+00:00
