id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
2975,FQMA,large_airport,"Maputo Airport",-25.920799,32.572601,145,AF,MZ,MZ-MPM,Maputo,1,FQMA,MPM,,,http://en.wikipedia.org/wiki/Maputo_International_Airport,,1050,2019-01-13T13:37:44+00:00
2970,FQBR,medium_airport,"Beira Airport",-19.79640007019043,34.90760040283203,33,AF,MZ,MZ-S,Beira,1,FQBR,BEW,,,http://en.wikipedia.org/wiki/Beira_Airport,,875,2009-07-08T16:39:30+00:00
2981,FQPB,medium_airport,"Pemba Airport",-12.991762161254883,40.52401351928711,331,AF,MZ,MZ-P,"Pemba / Porto Amelia",1,FQPB,POL,,,http://en.wikipedia.org/wiki/Pemba_Airport,,875,2009-07-08T21:50:43+00:00
2980,FQNP,medium_airport,"Nampula Airport",-15.105600357055664,39.28179931640625,1444,AF,MZ,MZ-N,Nampula,1,FQNP,APL,,,http://en.wikipedia.org/wiki/Nampula_Airport,,875,2009-07-08T21:46:53+00:00
2986,FQVL,medium_airport,"Vilankulo Airport",-22.018400192260742,35.31330108642578,46,AF,MZ,MZ-I,Vilanculo,1,FQVL,VNX,,,http://en.wikipedia.org/wiki/Vilankulo_Airport,"Vilanculos Airport",875,2009-07-08T22:08:31+00:00
2972,FQIN,medium_airport,"Inhambane Airport",-23.876399993896484,35.40850067138672,30,AF,MZ,MZ-I,Inhambabe,1,FQIN,INH,,,http://en.wikipedia.org/wiki/Inhambane_Airport,,875,2009-07-08T21:26:56+00:00
2984,FQTT,medium_airport,"Chingozi Airport",-16.104799270629883,33.640201568603516,525,AF,MZ,MZ-T,Tete,1,FQTT,TET,,,http://en.wikipedia.org/wiki/Chingozi_Airport,,875,2009-07-08T22:04:14+00:00
2971,FQCH,medium_airport,"Chimoio Airport",-19.15130043029785,33.42900085449219,2287,AF,MZ,MZ-B,Chimoio,1,FQCH,VPY,,,http://en.wikipedia.org/wiki/Chimoio_Airport,,875,2009-07-08T17:04:51+00:00
27302,IBL,medium_airport,"Indigo Bay Lodge Airport",-21.708,35.452801,20,AF,MZ,MZ-I,"Bazaruto Island",0,,IBL,,,http://en.wikipedia.org/wiki/Indigo_Bay_Lodge_Airport,,50,2016-06-02T08:26:25+00:00
