id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
26744,VYYY,large_airport,"Yangon International Airport",16.907300949099998,96.1332015991,109,AS,MM,MM-06,Yangon,1,VYYY,RGN,,http://www.yangonairportonline.com,http://en.wikipedia.org/wiki/Yangon_International_Airport,Rangoon,1000,2012-05-07T11:59:23+00:00
26727,VYMD,large_airport,"Mandalay International Airport",21.702199935913086,95.97789764404297,300,AS,MM,MM-04,Mandalay,1,VYMD,MDL,,,http://en.wikipedia.org/wiki/Mandalay_International_Airport,,1050,2009-07-04T07:48:06+00:00
26718,VYHH,medium_airport,"Heho Airport",20.746999740600586,96.79199981689453,3858,AS,MM,MM-17,Heho,1,VYHH,HEH,,,http://en.wikipedia.org/wiki/Heho_Airport,,800,2008-11-03T17:33:05+00:00
26712,VYBG,small_airport,"Bagan Airport",21.178800582885742,94.9301986694336,312,AS,MM,MM-04,"Nyaung U",1,VYBG,NYU,,,http://en.wikipedia.org/wiki/Nyaung_U_Airport,,450,2008-11-03T17:32:52+00:00
26741,VYTD,medium_airport,"Thandwe Airport",18.4606990814209,94.30010223388672,20,AS,MM,MM-16,Thandwe,1,VYTD,SNW,,,http://en.wikipedia.org/wiki/Thandwe_Airport,,800,2008-11-03T17:34:47+00:00
26716,VYDW,medium_airport,"Dawei Airport",14.103899955749512,98.20359802246094,84,AS,MM,MM-05,Dawei,1,VYDW,TVY,,,http://en.wikipedia.org/wiki/Dawei_Airport,,800,2008-11-03T17:32:59+00:00
26728,VYME,medium_airport,"Myeik Airport",12.439800262451172,98.62149810791016,75,AS,MM,MM-05,Mkeik,1,VYME,MGZ,,,http://en.wikipedia.org/wiki/Myeik_Airport,,800,2008-11-03T17:33:57+00:00
26740,VYSW,medium_airport,"Sittwe Airport",20.132699966430664,92.87259674072266,27,AS,MM,MM-16,Sittwe,1,VYSW,AKY,,,http://en.wikipedia.org/wiki/Sittwe_Airport,,800,2008-11-03T17:34:37+00:00
26711,VYAS,small_airport,"Anisakan Airport",21.955400466918945,96.40609741210938,3000,AS,MM,MM-04,Anisakan,0,VYAS,,,,,Maymo,50,2008-11-03T17:32:50+00:00
32609,VYML,medium_airport,"Meiktila Air Base",20.88640022277832,95.89279174804688,699,AS,MM,MM-04,Meiktila,0,VYML,,,,,,50,2009-07-04T07:32:46+00:00
26717,VYEL,medium_airport,"Naypyidaw Airport",19.623501,96.200996,302,AS,MM,MM-04,Pyinmana,1,VYNT,NYT,,,http://en.wikipedia.org/wiki/Naypyidaw_Airport,"VYEL, Ela, Nay Pyi Taw International",50,2017-06-07T22:30:55+00:00
26723,VYKT,medium_airport,"Kawthoung Airport",10.049300193786621,98.53800201416016,180,AS,MM,MM-05,Kawthoung,1,VYKT,KAW,,,http://en.wikipedia.org/wiki/Kawthaung_Airport,,800,2008-11-03T17:33:15+00:00
26720,VYKG,medium_airport,"Kengtung Airport",21.301599502563477,99.63600158691406,2798,AS,MM,MM-17,Kengtung,1,VYKG,KET,,,http://en.wikipedia.org/wiki/Kengtung_Airport,,800,2008-11-03T17:33:17+00:00
26722,VYKP,medium_airport,"Kyaukpyu Airport",19.42639923095703,93.53479766845703,20,AS,MM,MM-16,Kyaukpyu,1,VYKP,KYP,,,http://en.wikipedia.org/wiki/Kyaukpyu_Airport,,800,2008-11-03T17:33:21+00:00
