id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
3039,FYWH,large_airport,"Hosea Kutako International Airport",-22.4799,17.4709,5640,AF,NA,NA-KH,Windhoek,1,FYWH,WDH,,http://airports.com.na/,http://en.wikipedia.org/wiki/Windhoek_Hosea_Kutako_International_Airport,"J.G. Strijdom Airport",1050,2019-01-13T13:21:50+00:00
3037,FYWB,medium_airport,"Walvis Bay Airport",-22.9799,14.6453,299,AF,NA,NA-ER,"Walvis Bay",1,FYWB,WVB,,,http://en.wikipedia.org/wiki/Walvis_Bay_Airport,,275,2017-09-27T05:48:15+00:00
3038,FYWE,medium_airport,"Eros Airport",-22.612199783325195,17.080400466918945,5575,AF,NA,NA-KH,Windhoek,1,FYWE,ERS,,,http://en.wikipedia.org/wiki/Eros_Airport,,800,2008-06-13T14:30:04+00:00
29627,FYSM,small_airport,"Swakopmund Airport",-22.66189956665,14.568099975586,207,AF,NA,NA-ER,Swakopmund,1,FYSM,SWP,,,https://en.wikipedia.org/wiki/Swakopmund_Airport,,450,2015-09-11T21:38:06+00:00
3027,FYKM,small_airport,"Katima Mulilo Airport",-17.634399,24.176701,3144,AF,NA,NA-CA,Mpacha,0,FYKM,MPA,,,http://en.wikipedia.org/wiki/Katima_Mulilo_Airport,,50,2017-06-24T11:20:28+00:00
3031,FYOA,medium_airport,"Ondangwa Airport",-17.878201,15.9526,3599,AF,NA,NA-ON,Ondangwa,1,FYOA,OND,,,http://en.wikipedia.org/wiki/Ondangwa_Airport,,800,2016-02-19T20:21:18+00:00
3024,FYAR,medium_airport,"Arandis Airport",-22.462200164794922,14.979999542236328,1905,AF,NA,NA-ER,Arandis,0,FYAR,ADI,,,,,250,2008-10-21T18:24:23+00:00
3028,FYKT,medium_airport,"Keetmanshoop Airport",-26.5398006439209,18.111400604248047,3506,AF,NA,NA-KA,Keetmanshoop,0,FYKT,KMP,,,,,250,2008-10-21T18:21:09+00:00
29622,NA-0060,small_airport,"Sossusvlei Lodge Landing Site",-24.49139976501465,15.823599815368652,2628,AF,NA,NA-HA,,0,,,,,,,50,2008-10-21T18:22:08+00:00
29600,FYOO,small_airport,"Okaukuejo Airport",-19.149200439453125,15.91189956665039,3911,AF,NA,NA-KU,Okaukuejo,0,FYOO,OKF,,,,,50,2008-10-21T18:25:52+00:00
3029,FYLZ,medium_airport,"Luderitz Airport",-26.687400817871094,15.242899894714355,457,AF,NA,NA-KA,Luderitz,1,FYLZ,LUD,,,http://en.wikipedia.org/wiki/L%C3%BCderitz_Airport,,800,2008-10-21T18:21:08+00:00
3035,FYRU,medium_airport,"Rundu Airport",-17.956499099731,19.719400405884,3627,AF,NA,NA-KE,Rundu,1,FYRU,NDU,,,"http://ourairports.com/airports/FYRU/#lat=-17.956499099731445,lon=19.71940040588379,zoom=13,type=Satellite,airport=FYRU",,250,2015-09-11T21:32:33+00:00
3036,FYTM,medium_airport,"Tsumeb Airport",-19.26189994812,17.732500076294,4353,AF,NA,NA-OT,Tsumeb,0,FYTM,TSB,,,https://en.wikipedia.org/wiki/Tsumeb_Airport,,250,2015-09-11T21:41:22+00:00
29619,FYSS,small_airport,"Sesriem Airstrip",-24.512800216675,15.746700286865,2454,AF,NA,NA-HA,,0,FYSS,SZM,,,,,50,2015-05-31T04:01:19+00:00
29638,FYWD,small_airport,"Wolwedans Airport",-25.116899490356445,16.000600814819336,3271,AF,NA,NA-HA,,0,FYWD,,,,,,50,2008-10-21T18:21:29+00:00
29541,FYAS,small_airport,"Aus Airport",-26.693899154663086,16.318899154663086,4856,AF,NA,NA-KA,Aus,0,FYAS,,,,,,50,2008-10-21T18:21:08+00:00
29545,FYBJ,small_airport,"Bitterwasser Lodge & Flying Club Airfield",-23.875,17.9911003113,4167,AF,NA,NA-HA,Bitterwasser,0,FYBJ,,,http://www.bitterwasser.com,http://de.wikipedia.org/wiki/Flugplatz_Bitterwasser,,50,2009-11-11T13:04:25+00:00
29579,FYLS,small_airport,"Lianshulu Airport",-18.116699218799997,23.393299102800004,3143,AF,NA,NA-CA,"Lianshulu Lodge",0,FYLS,LHU,,,,Muneambuanas,50,2015-02-21T22:00:18+00:00
31297,FYMB,small_airport,"Meob Bay Landing Site",-24.617000579833984,14.682999610900879,20,AF,NA,NA-HA,"Meob Bay",0,FYMB,,,,,,50,2008-10-21T18:21:57+00:00
29590,FYMO,small_airport,"Mokuti Lodge Airport",-18.81279945373535,17.05940055847168,3665,AF,NA,NA-OT,"Mokuti Lodge",0,FYMO,OKU,,,,,50,2008-10-21T18:25:54+00:00
29621,FYSO,small_airport,"Solitaire Airport",-23.900800704956055,16.00469970703125,3488,AF,NA,NA-KH,Solitaire,0,FYSO,,,,,,50,2008-10-21T18:23:04+00:00
29623,FYSL,small_airport,"Sossusvlei Mountain Lodge Airport",-24.803300857544,15.89109992981,2844,AF,NA,NA-HA,"Sossusvlei Desert Lodge",0,FYSL,,,,,,50,2015-09-12T10:17:07+00:00
