id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
26596,VNKT,large_airport,"Tribhuvan International Airport",27.6966,85.3591,4390,AS,NP,NP-BA,Kathmandu,1,VNKT,KTM,,http://www.tiairport.com.np/index.php,http://en.wikipedia.org/wiki/Tribhuvan_International_Airport,gaucharan,875,2019-01-13T11:56:38+00:00
28150,VNLK,small_airport,"Lukla Airport",27.686899185180664,86.72969818115234,9380,AS,NP,NP-SA,Lukla,1,VNLK,LUA,,,,"Mount Everest, Tenzing Norgay, Sir Edmund Hillary",450,2008-12-30T09:27:04+00:00
26598,VNPK,medium_airport,"Pokhara Airport",28.200899124145508,83.98210144042969,2712,AS,NP,NP-GA,Pokhara,1,VNPK,PKR,,,http://en.wikipedia.org/wiki/Pokhara_Airport,,800,2008-12-30T09:26:17+00:00
30707,VNBP,small_airport,"Bharatpur Airport",27.678101,84.429398,600,AS,NP,NP-NA,Bharatpur,1,VNBP,BHR,,,https://en.wikipedia.org/wiki/Bharatpur_Airport,,450,2018-05-11T02:50:41+00:00
26597,VNNG,medium_airport,"Nepalgunj Airport",28.103599548339844,81.66699981689453,540,AS,NP,NP-BH,Nepalgunj,1,VNNG,KEP,,,http://en.wikipedia.org/wiki/Nepalgunj_Airport,,800,2008-12-30T09:26:05+00:00
30936,VNDP,small_airport,"Dolpa Airport",28.985700607299805,82.81909942626953,8200,AS,NP,NP-KA,Dolpa,1,VNDP,DOP,,,,,450,2008-12-30T09:26:25+00:00
31712,VNJL,small_airport,"Jumla Airport",29.2742,82.193298,7700,AS,NP,NP-KA,Jumla,1,VNJL,JUM,,,https://en.wikipedia.org/wiki/Jumla_Airport,,450,2018-09-16T04:31:52+00:00
32172,VNPL,small_airport,"Phaplu Airport",27.517787,86.584454,7918,AS,NP,NP-SA,Phaplu,1,VNPL,PPL,,,https://en.wikipedia.org/wiki/Phaplu_Airport,,450,2018-09-16T04:31:21+00:00
26599,VNSI,small_airport,"Simara Airport",27.159500122070312,84.9801025390625,450,AS,NP,NP-NA,Simara,1,VNSI,SIF,,,http://en.wikipedia.org/wiki/Simara_Airport,,450,2008-12-30T09:26:53+00:00
26595,VNJP,medium_airport,"Janakpur Airport",26.708799362199997,85.9224014282,256,AS,NP,NP-JA,Janakpur,1,VNJP,JKR,,,http://en.wikipedia.org/wiki/Janakpur_Airport,,250,2014-12-04T21:03:11+00:00
