id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
5021,NWWW,medium_airport,"La Tontouta International Airport",-22.01460075378418,166.21299743652344,52,OC,NC,NC-U-A,Nouméa,1,NWWW,NOU,,http://www.cci-nc.com/tontouta/index.php,http://en.wikipedia.org/wiki/La_Tontouta_International_Airport,"Aéroport de Nouméa - La Tontouta",975,2009-04-09T07:44:59+00:00
5017,NWWM,medium_airport,"Nouméa Magenta Airport",-22.25830078125,166.47300720214844,10,OC,NC,NC-U-A,Nouméa,1,NWWM,GEA,,,http://en.wikipedia.org/wiki/Noum%C3%A9a_Magenta_Airport,"l'Aéroport de Nouméa Magenta",800,2009-04-09T07:46:50+00:00
5014,NWWE,medium_airport,"Île des Pins Airport",-22.588899612426758,167.45599365234375,315,OC,NC,NC-U-A,"Île des Pins",1,NWWE,ILP,,,http://en.wikipedia.org/wiki/%C3%8Ele_des_Pins_Airport,,800,2009-04-09T07:55:16+00:00
5013,NWWD,medium_airport,"Koné Airport",-21.05430030822754,164.83700561523438,23,OC,NC,NC-U-A,Koné,1,NWWD,KNQ,,,http://en.wikipedia.org/wiki/Kon%C3%A9_Airport,,800,2009-04-09T07:50:23+00:00
5015,NWWK,medium_airport,"Koumac Airport",-20.546300888061523,164.25599670410156,42,OC,NC,NC-U-A,Koumac,1,NWWK,KOC,,,http://en.wikipedia.org/wiki/Koumac_Airport,,800,2009-04-09T07:51:13+00:00
5016,NWWL,medium_airport,"Lifou Airport",-20.774799346923828,167.24000549316406,92,OC,NC,NC-U-A,Lifou,1,NWWL,LIF,,,http://en.wikipedia.org/wiki/Lifou_Airport,,800,2009-04-09T07:55:51+00:00
5018,NWWR,medium_airport,"Maré Airport",-21.481700897216797,168.03799438476562,141,OC,NC,NC-U-A,Maré,1,NWWR,MEE,,,http://en.wikipedia.org/wiki/Mar%C3%A9_Airport,,800,2009-04-09T07:56:33+00:00
5020,NWWV,medium_airport,"Ouvéa Airport",-20.640600204467773,166.572998046875,23,OC,NC,NC-U-A,Ouvéa,1,NWWV,UVE,,,http://en.wikipedia.org/wiki/Ouv%C3%A9a_Airport,,800,2009-04-09T07:54:29+00:00
5019,NWWU,medium_airport,"Touho Airport",-20.790000915527344,165.25900268554688,10,OC,NC,NC-U-A,Touho,1,NWWU,TOU,,,http://en.wikipedia.org/wiki/Touho_Airport,,800,2009-04-09T07:49:08+00:00
32439,NWWA,medium_airport,"Tiga Airport",-21.096099853515625,167.8040008544922,128,OC,NC,NC-U-A,Tiga,1,NWWA,TGJ,,,http://en.wikipedia.org/wiki/Tiga_Airport,,450,2009-04-09T07:57:31+00:00
30778,NWWC,medium_airport,"Île Art - Waala Airport",-19.720600128173828,163.66099548339844,306,OC,NC,NC-U-A,Waala,1,NWWC,BMY,,,http://en.wikipedia.org/wiki/%C3%8Ele_Art_-_Waala_Airport,"Belep Islands Airport",450,2009-07-23T11:36:24+00:00
32060,NWWB,small_airport,"Bourail - Poé Airport",-21.609699249267578,165.39700317382812,7,OC,NC,NC-U-A,"Bourail / Poé",0,NWWB,,,,,,50,2009-04-09T08:00:03+00:00
5022,NWWX,small_airport,"Canala Airport",-21.520200729370117,165.9720001220703,7,OC,NC,NC-U-A,Canala,0,NWWX,,,,,,50,2009-04-09T07:58:57+00:00
31605,NWWH,small_airport,"Nesson Airport",-21.256399154663086,165.61700439453125,10,OC,NC,NC-U-A,Houailou,0,NWWH,HLU,,,,,50,2008-07-13T21:58:18+00:00
31681,NWWO,small_airport,"Edmond Cané Airport",-22.459999084472656,166.7830047607422,7,OC,NC,NC-U-A,"Île Ouen",0,NWWO,IOU,,,,,50,2008-07-13T21:58:18+00:00
32063,NWWT,small_airport,"Oua Tom Airport",-21.819700241088867,165.86099243164062,98,OC,NC,NC-U-A,"La Foa",0,NWWT,,,,http://en.wikipedia.org/wiki/La_Foa_-_Oua_Tom_Airport,,50,2009-07-23T11:34:48+00:00
32150,NWWQ,small_airport,"Mueo Airport",-21.3164005279541,164.99899291992188,,OC,NC,NC-U-A,Mueo,0,NWWQ,PDC,,,,,50,2008-06-13T14:30:04+00:00
32064,NWWY,small_airport,"Ouaco Airport",-20.850000381469727,164.5330047607422,69,OC,NC,NC-U-A,Ouaco,0,NWWY,,,,,,50,2008-06-13T14:30:04+00:00
32062,NWWS,small_airport,"Plaine des Lacs Airport",-22.267000198364258,166.91700744628906,902,OC,NC,NC-U-A,"Plaine des Lacs",0,NWWS,,,,,,50,2008-06-13T14:30:04+00:00
32180,NWWP,small_airport,"Poum Airport",-20.289199829101562,164.0989990234375,6,OC,NC,NC-U-A,Poum,0,NWWP,PUV,,,,,50,2008-06-13T14:30:04+00:00
32061,NWWF,small_airport,"Voh Airport",-20.966999053955078,164.6999969482422,33,OC,NC,NC-U-A,Voh,0,NWWF,,,,,,50,2008-06-13T14:30:04+00:00
315559,NC-0001,small_airport,"Ile Hugon Airstrip",-22.0416,166.0328,25,OC,NC,NC-U-A,"Hugon Island",0,,,,,,,0,2015-09-27T11:07:59+00:00
