id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
5023,NZAA,large_airport,"Auckland International Airport",-37.008098602299995,174.792007446,23,OC,NZ,NZ-AUK,Auckland,1,NZAA,AKL,,http://www.auckland-airport.co.nz/,http://en.wikipedia.org/wiki/Auckland_International_Airport,,51475,2014-01-05T02:58:00+00:00
5026,NZCH,large_airport,"Christchurch International Airport",-43.48939895629883,172.53199768066406,123,OC,NZ,NZ-CAN,Christchurch,1,NZCH,CHC,,http://www.christchurchairport.co.nz/,http://en.wikipedia.org/wiki/Christchurch_International_Airport,,1275,2008-06-13T14:30:04+00:00
5063,NZWN,large_airport,"Wellington International Airport",-41.3272018433,174.804992676,41,OC,NZ,NZ-WGN,Wellington,1,NZWN,WLG,,http://www.wellingtonairport.co.nz/,http://en.wikipedia.org/wiki/Wellington_International_Airport,,1275,2010-02-12T14:03:11+00:00
5051,NZQN,medium_airport,"Queenstown International Airport",-45.0210990906,168.738998413,1171,OC,NZ,NZ-OTA,Queenstown,1,NZQN,ZQN,,,http://en.wikipedia.org/wiki/Queenstown_International_Airport,,800,2010-08-29T23:18:06+00:00
5028,NZDN,medium_airport,"Dunedin Airport",-45.9281005859375,170.197998046875,4,OC,NZ,NZ-OTA,Dunedin,1,NZDN,DUD,,http://www.dnairport.co.nz/,http://en.wikipedia.org/wiki/Dunedin_International_Airport,,1050,2008-06-13T14:30:04+00:00
5044,NZNS,medium_airport,"Nelson Airport",-41.298301696777344,173.2209930419922,17,OC,NZ,NZ-NSN,Nelson,1,NZNS,NSN,,http://www.nelsonairport.co.nz/,http://en.wikipedia.org/wiki/Nelson_Airport_(New_Zealand),,800,2009-08-23T20:54:48+00:00
5060,NZWF,medium_airport,"Wanaka Airport",-44.722198486328,169.24600219727,1142,OC,NZ,NZ-OTA,,1,NZWF,WKA,,,http://en.wikipedia.org/wiki/Wanaka_Airport,"Luggate Airport",800,2015-07-17T12:07:26+00:00
30001,NZKI,small_airport,"Kaikoura Airport",-42.42499923706055,173.60499572753906,20,OC,NZ,NZ-CAN,,0,NZKI,KBZ,,,,,50,2008-07-18T10:52:57+00:00
5049,NZPM,medium_airport,"Palmerston North Airport",-40.32059860229492,175.61700439453125,151,OC,NZ,NZ-MWT,,1,NZPM,PMR,,http://www.pnairport.co.nz/index.php,http://en.wikipedia.org/wiki/Palmerston_North_International_Airport,,800,2008-06-13T14:30:04+00:00
5033,NZHN,medium_airport,"Hamilton International Airport",-37.8666992188,175.332000732,172,OC,NZ,NZ-WKO,Hamilton,1,NZHN,HLZ,,http://www.hamiltonairport.co.nz/,http://en.wikipedia.org/wiki/Hamilton_International_Airport,,800,2010-09-06T15:45:53+00:00
5045,NZNV,medium_airport,"Invercargill Airport",-46.41239929199219,168.31300354003906,5,OC,NZ,NZ-STL,Invercargill,1,NZNV,IVC,,http://www.invercargillairport.co.nz/index.htm,http://en.wikipedia.org/wiki/Invercargill_Airport,,800,2008-06-13T14:30:04+00:00
5043,NZNR,medium_airport,"Hawke's Bay Airport",-39.465801,176.869995,6,OC,NZ,NZ-HKB,Napier,1,NZNR,NPE,,http://www.hawkesbay-airport.co.nz/,http://en.wikipedia.org/wiki/Napier_Airport,,800,2016-09-19T03:35:56+00:00
5052,NZRO,medium_airport,"Rotorua Regional Airport",-38.10919952392578,176.31700134277344,935,OC,NZ,NZ-BOP,Rotorua,1,NZRO,ROT,,,http://en.wikipedia.org/wiki/Rotorua_Regional_Airport,,800,2009-08-23T20:50:01+00:00
30138,NZMF,small_airport,"Milford Sound Airport",-44.673301696777344,167.92300415039062,10,OC,NZ,NZ-STL,,0,NZMF,MFN,,,,,50,2008-07-18T10:40:34+00:00
5050,NZPP,medium_airport,"Paraparaumu Airport",-40.904701232910156,174.98899841308594,22,OC,NZ,NZ-WGN,,0,NZPP,PPQ,,,http://en.wikipedia.org/wiki/Paraparaumu_Airport,,250,2008-06-13T14:30:04+00:00
5031,NZGT,medium_airport,"Glentanner Airport",-43.906700134277344,170.1280059814453,1824,OC,NZ,NZ-CAN,"Glentanner Station",0,NZGT,GTN,,,http://en.wikipedia.org/wiki/Glentanner_Aerodrome,"Lake Pukaki",250,2008-06-13T14:30:04+00:00
5032,NZHK,medium_airport,"Hokitika Airfield",-42.713600158691406,170.98500061035156,146,OC,NZ,NZ-WTC,,1,NZHK,HKK,,,http://en.wikipedia.org/wiki/Hokitika_Airport,,800,2008-07-18T08:17:54+00:00
5042,NZNP,medium_airport,"New Plymouth Airport",-39.00859832763672,174.1790008544922,97,OC,NZ,NZ-TKI,"New Plymouth",1,NZNP,NPL,,,http://en.wikipedia.org/wiki/New_Plymouth_Airport,,800,2009-08-23T20:04:23+00:00
5058,NZWB,medium_airport,"Woodbourne Airport",-41.5182991027832,173.8699951171875,109,OC,NZ,NZ-MBH,Blenheim,1,NZWB,BHE,,,http://en.wikipedia.org/wiki/Woodbourne_Airport,,650,2008-07-18T11:49:40+00:00
5025,NZAR,medium_airport,"Ardmore Airport",-37.029701232910156,174.97300720214844,111,OC,NZ,NZ-AUK,Manurewa,0,NZAR,AMZ,,http://www.nzar.co.nz/,http://en.wikipedia.org/wiki/Ardmore_Airport,,250,2009-08-10T09:17:52+00:00
