id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
4774,MNMG,medium_airport,"Augusto C. Sandino (Managua) International Airport",12.141500473022461,-86.16819763183594,194,NA,NI,NI-MN,Managua,1,MNMG,MGA,,,http://en.wikipedia.org/wiki/Augusto_C._Sandino_International_Airport,,1050,2008-09-27T10:45:45+00:00
42164,MNCI,small_airport,"Corn Island",12.1628999710083,-83.06379699707031,1,NA,NI,NI-AS,"Corn Island",0,MNCI,RNI,,,,,50,2008-09-27T10:45:33+00:00
4770,MNBL,medium_airport,"Bluefields Airport",11.991000175476074,-83.77410125732422,20,NA,NI,NI-AS,Bluefileds,1,MNBL,BEF,,,http://en.wikipedia.org/wiki/Bluefields_Airport,,800,2008-09-27T10:45:32+00:00
4776,MNPC,medium_airport,"Puerto Cabezas Airport",14.047200202941895,-83.38670349121094,52,NA,NI,NI-AN,"Puerto Cabezas",1,MNPC,PUZ,,,http://en.wikipedia.org/wiki/Puerto_Cabezas_Airport,,800,2008-09-27T10:45:23+00:00
42161,MNAL,small_airport,"Alamicamba Airport",13.512299537658691,-84.24710083007812,65,NA,NI,NI-AN,Alamicamba,0,MNAL,,,,,,50,2008-09-27T10:45:20+00:00
42169,MNAM,small_airport,"Altamira Airport",12.110600471496582,-85.760498046875,121,NA,NI,NI-BO,Altamira,0,MNAM,,,,,,50,2008-09-27T10:45:38+00:00
42170,MNBC,small_airport,"Boaco Airport",12.469099998474121,-85.66259765625,1184,NA,NI,NI-BO,Boaco,0,MNBC,,,,,,50,2008-09-27T10:45:39+00:00
30809,MNBZ,small_airport,"San Pedro Airport",13.949999809265137,-84.5999984741211,600,NA,NI,NI-AN,Bonanza,0,MNBZ,BZA,,,,,50,2008-09-27T10:45:27+00:00
42171,MNCH,small_airport,"Chinandega Airport",12.640000343323,-87.137397766113,174,NA,NI,NI-CI,Chinandega,0,MNCH,,,,https://en.wikipedia.org/wiki/Chinandega_Airport,,50,2015-07-24T10:29:09+00:00
