id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
5242,OOMS,large_airport,"Muscat International Airport",23.593299865722656,58.284400939941406,48,AS,OM,OM-MA,Muscat,1,OOMS,MCT,,,http://en.wikipedia.org/wiki/Seeb_International_Airport,"Seeb International Airport, Masqat",1275,2008-12-30T09:27:40+00:00
5244,OOSA,medium_airport,"Salalah Airport",17.038700103759766,54.09130096435547,73,AS,OM,OM-ZU,Salalah,1,OOSA,SLL,,http://www.dgcam.gov.om/str/airsalah.htm,http://en.wikipedia.org/wiki/Salalah_Airport,"مطار صلالة",1050,2009-02-05T15:13:29+00:00
5245,OOTH,medium_airport,"Thumrait Air Base",17.666000366210938,54.024600982666016,1570,AS,OM,OM-ZU,Thumrait,0,OOTH,TTH,,,,,325,2009-02-05T15:03:33+00:00
5241,OOMA,medium_airport,"Masirah Air Base",20.675399780273438,58.890499114990234,64,AS,OM,OM-SH,Masirah,0,OOMA,MSH,,,,,325,2009-02-05T15:03:06+00:00
299742,OOSH,small_airport,"Sohar Airport",24.38604,56.62541,20,AS,OM,OM-BA,Sohar,1,OOSH,OHS,,,https://en.wikipedia.org/wiki/Sohar_Airport,Majis,0,2018-08-02T09:34:08+00:00
5240,OOKB,medium_airport,"Khasab Air Base",26.17099952697754,56.2406005859375,100,AS,OM,OM-MU,Khasab,1,OOKB,KHS,,,http://en.wikipedia.org/wiki/Khasab_Air_Base,,800,2009-02-05T15:02:22+00:00
32217,OOBR,small_airport,"Buraimi Airport",24.241111,55.784722,970,AS,OM,OM-BU,Buraimi,0,OOBR,RMB,,,https://en.wikipedia.org/wiki/Buraimi_Airport,,50,2016-02-17T11:16:44+00:00
32114,OOFD,small_airport,"Fahud Airport",22.354759318,56.4841461182,552,AS,OM,OM-ZA,Fahud,0,OOFD,FAU,,,,,50,2013-01-18T23:06:35+00:00
32115,OOFQ,small_airport,"Firq Air Base",22.869199752807617,57.54330062866211,1560,AS,OM,OM-DA,Firq,0,OOFQ,,,,,,50,2008-12-30T09:27:26+00:00
32116,OOGB,small_airport,"Qarn Alam Airport",21.3829994202,57.0499992371,443,AS,OM,OM-WU,Ghaba,0,OOGB,RNM,,,,,50,2012-12-10T01:32:12+00:00
32117,OOHA,small_airport,"Haima Airport",19.966999053955078,56.28300094604492,400,AS,OM,OM-WU,Haima,0,OOHA,,,,,,50,2008-12-30T09:27:50+00:00
32118,OOIZ,small_airport,"Izki Air Base",22.891700744628906,57.75830078125,1700,AS,OM,OM-DA,Izki,0,OOIZ,,,,,,50,2009-02-05T15:01:34+00:00
5225,OO42,small_airport,"Manston Air Base",16.990400314331055,53.35879898071289,3182,AS,OM,OM-ZU,Manston,0,,,,,,OO42,50,2009-02-05T15:11:16+00:00
5243,OOMX,small_airport,"Marmul Airport",18.13599967956543,55.182098388671875,925,AS,OM,OM-ZU,Marmul,0,OOMX,OMM,,,,,50,2009-02-05T15:12:04+00:00
32119,OOSQ,small_airport,"Saiq Airport",23.066999435424805,57.650001525878906,6500,AS,OM,OM-DA,Saiq,0,OOSQ,,,,,,50,2008-12-30T09:27:30+00:00
32387,OOSR,small_airport,"Sur Airport",22.533000946044922,59.483001708984375,20,AS,OM,OM-SH,Sur,0,OOSR,SUH,,,,,50,2008-12-30T09:27:46+00:00
308219,OOLK,small_airport,"Lekhwair Airport",22.8049846844,55.3733682632,354,AS,OM,OM-ZA,,0,OOLK,LKW,,,,,0,2013-01-18T23:59:56+00:00
299737,OM-0002,small_airport,"Adam Airport",22.4919444444,57.3838888889,1075,AS,OM,OM-DA,Adam,0,,AOM,,,http://en.wikipedia.org/wiki/Adam_Airport,,0,2011-12-31T13:23:13+00:00
299747,OM-0004,large_airport,"Rustaq Airport",23.640556,57.4875,349,AS,OM,OM-BA,"Al Masna'ah",0,OORQ,MNH,,,https://en.wikipedia.org/wiki/Rustaq_Airport,"Musanaa, Wadi al Maawil, Al Muladdah",0,2016-03-16T00:34:25+00:00
300791,BJQ,small_airport,"Bahja Airport",19.8730555556,56.067777777799996,515,AS,OM,OM-WU,Bahja,0,,BJQ,,,,,0,2012-02-18T15:41:35+00:00
43868,OM-0001,small_airport,"Dibba Airport",25.6142292023,56.2444000244,45,AS,OM,OM-MU,"Dibba Al-Baya",0,,BYB,,,http://en.wikipedia.org/wiki/Dibba_Airport,,0,2011-10-22T12:40:04+00:00
299738,OM-0003,large_airport,"Duqm International Airport",19.501944,57.634167,364,AS,OM,OM-WU,Duqm,1,OODQ,DQM,,http://www.omanairports.com/,https://en.wikipedia.org/wiki/Duqm_Jaaluni_Airport,,0,2018-04-26T11:52:02+00:00
315625,OOJA,small_airport,"Ja'Aluni Airport",19.4749,57.3083,560,AS,OM,OM-WU,Duqm,0,OOJA,JNJ,,,,,0,2015-10-02T15:12:12+00:00
299739,OOIA,small_airport,"Ibra Airport",22.732777777800003,58.5136111111,1500,AS,OM,OM-SH,Ibra,0,OOIA,,,,,"Al Yahmadi",0,2011-10-22T13:59:51+00:00
300610,UKH,small_airport,"Mukhaizna Airport",19.3863888889,56.4013888889,473,AS,OM,OM-WU,"Mukhaizna Oil Field",0,,UKH,,,,,0,2012-01-28T01:20:25+00:00
319194,OM-0005,heliport,"Armed Forces Beach Club Helipad",23.605048,58.331587,,AS,OM,OM-MA,Muscat,0,,,,,,,0,2016-06-28T08:33:03+00:00
43202,OOYB,small_airport,"Yibal Airport",22.201499938964844,56.034400939941406,,AS,OM,OM-ZA,"Yibal Oilfield",0,OOYB,,,,,Jibal,0,2009-02-05T15:35:30+00:00
