id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
4793,MPTO,large_airport,"Tocumen International Airport",9.0713596344,-79.3834991455,135,NA,PA,PA-8,Tocumen,1,MPTO,PTY,,,http://en.wikipedia.org/wiki/Tocumen_International_Airport,"La Joya No 1",1050,2011-08-30T16:41:58+00:00
4791,MPMG,medium_airport,"Marcos A. Gelabert International Airport",8.973340034484863,-79.55560302734375,31,NA,PA,PA-8,Albrook,1,MPMG,PAC,,,,"Balboa. Albrook AFS. MPLB",875,2008-09-27T10:50:03+00:00
30768,MPHO,small_airport,"Panama Pacific International Airport",8.91479,-79.599602,52,NA,PA,PA-10,"Panamá City",0,MPPA,BLB,,http://www.panamapacifico.com/,http://en.wikipedia.org/wiki/Howard_Air_Force_Base,"HOW, Howard Air Force Base, Panama Pacifico",50,2016-02-10T21:05:57+00:00
4786,MPBO,medium_airport,"Bocas Del Toro International Airport",9.340849876403809,-82.25080108642578,10,NA,PA,PA-1,"Isla Colón",1,MPBO,BOC,,,,,800,2008-09-27T10:49:59+00:00
4789,MPDA,medium_airport,"Enrique Malek International Airport",8.390999794006348,-82.43499755859375,89,NA,PA,PA-4,David,1,MPDA,DAV,,,http://en.wikipedia.org/wiki/Enrique_Malek_International_Airport,,875,2008-09-27T10:49:59+00:00
4790,MPEJ,medium_airport,"Enrique Adolfo Jimenez Airport",9.356639862060547,-79.86740112304688,25,NA,PA,PA-3,Colón,1,MPEJ,ONX,,,,,800,2008-09-27T10:49:59+00:00
4787,MPCE,medium_airport,"Alonso Valderrama Airport",7.987840175628662,-80.40969848632812,33,NA,PA,PA-6,Chitré,1,MPCE,CTD,,,,,800,2008-09-27T10:49:59+00:00
35195,PA-OTD,small_airport,"Contadora Airport",8.6287603378296,-79.034698486328,14,NA,PA,PA-8,"Contadora Island",1,,OTD,,,https://en.wikipedia.org/wiki/Contadora_Airport,,450,2015-12-17T06:35:09+00:00
42187,MPVR,small_airport,"El Porvenir Airport",9.558,-78.947,17,NA,PA,PA-KY,"El Porvenir",0,MPVR,PVE,,,https://en.wikipedia.org/wiki/El_Porvenir_Airport,,50,2016-01-10T23:17:36+00:00
5330,MP21,small_airport,"Alvaro Berroa Airport",8.770389556884766,-82.66439819335938,5000,NA,PA,PA-4,"Nueva California",0,MP21,,MP21,,,,50,2008-09-27T10:50:15+00:00
42197,MPOA,small_airport,"Puerto Obaldia Airport",8.667,-77.418,223,NA,PA,PA-KY,"Puerto Obaldia",0,MPOA,PUE,,,,,50,2016-01-10T18:48:21+00:00
4788,MPCH,medium_airport,"Cap Manuel Niño International Airport",9.458962,-82.515062,19,NA,PA,PA-1,Changuinola,1,MPCH,CHX,,,https://en.wikipedia.org/wiki/Changuinola_%22Capit%C3%A1n_Manuel_Ni%C3%B1o%22_International_Airport,,800,2018-02-03T17:24:44+00:00
35194,PA-BFQ,small_airport,"Bahia Piña Airport",7.583000183105469,-78.19999694824219,14,NA,PA,PA-5,"Bahia Piña",1,,BFQ,,,,,450,2008-09-27T10:50:13+00:00
35197,PA-SAX,small_airport,"Sambu Airport",8.017000198364258,-78.19999694824219,32,NA,PA,PA-5,"Boca de Sábalo",1,,SAX,,,,,450,2008-09-27T10:50:22+00:00
35196,PA-ELE,small_airport,"EL Real Airport",8.1072,-77.7252,65,NA,PA,PA-5,"El Real de Santa María",1,,ELE,,,https://en.wikipedia.org/wiki/El_Real_Airport,,450,2015-12-19T00:50:51+00:00
32164,MPLP,closed,"Captain Ramon Xatruch Airport",8.40667,-78.141701,30,NA,PA,PA-5,"La Palma",0,MPLP,PLP,,,,,450,2018-09-15T16:37:39+00:00
31937,MPJE,small_airport,"Jaqué Airport",7.51777982711792,-78.1572036743164,29,NA,PA,PA-5,Jaqué,1,MPJE,JQE,,,,,350,2008-08-19T08:35:31+00:00
4792,MPSA,medium_airport,"Ruben Cantu Airport",8.085599899291992,-80.94529724121094,272,NA,PA,PA-9,Santiago,0,MPSA,SYP,,,http://en.wikipedia.org/wiki/Ruben_Cantu_Airport,Santiago,250,2008-09-27T10:50:07+00:00
42182,PA-0001,small_airport,"Achutupo Airport",8.43165969849,-77.96520233150001,1047,NA,PA,PA-5,Achutupo,0,,ACU,,,http://en.wikipedia.org/wiki/Achutupo_Airport,,50,2012-06-10T03:37:27+00:00
42183,PA-0002,small_airport,"Aguadulce Airport",8.251649856567383,-80.56539916992188,104,NA,PA,PA-2,Aguadulce,0,,,,,,,50,2008-09-27T10:50:24+00:00
42184,PA-0003,small_airport,"Alligandi Airport",9.2226,-78.0236,55,NA,PA,PA-KY,Alligandi,0,,AIL,,,,,50,2015-12-18T00:13:48+00:00
5332,MP23,small_airport,"Calzada Larga Airport",9.1662797927856,-79.545097351074,394,NA,PA,PA-8,"Calzada Larga",0,MP23,,MP23,,https://en.wikipedia.org/wiki/Calzada_Larga_Airport,,50,2015-12-17T21:52:16+00:00
42185,PA-0004,small_airport,"Carti Airport",9.31346988678,-79.101600647,785,NA,PA,PA-KY,Carti,0,,CTE,,,,,50,2012-12-28T04:59:37+00:00
5333,MP24,small_airport,"Chame Airport",8.58846,-79.889702,141,NA,PA,PA-10,"Chame District",0,MP24,,MP24,,https://en.wikipedia.org/wiki/Chame_Airport,"Chame Airfield #1",50,2016-02-10T21:06:49+00:00
5326,MP17,small_airport,"Finca 67 Airport",9.434410095214844,-82.49909973144531,30,NA,PA,PA-1,Changuinola,0,MP17,,MP17,,,,50,2008-09-27T10:50:15+00:00
5324,MP02,small_airport,"Finca 45 Airport",9.543330192565918,-82.73380279541016,56,NA,PA,PA-1,"Dos Caños",0,MP02,,MP02,,,,50,2008-09-27T10:50:15+00:00
42188,PA-0006,small_airport,"Finca Blanco Airport",8.390130043029785,-82.8678970336914,72,NA,PA,PA-4,"Finca Blanco",0,,,,,,,50,2008-09-27T10:50:29+00:00
42189,PA-0007,small_airport,"Finca Fátima Airport",8.369119644165039,-82.74700164794922,26,NA,PA,PA-4,"Finca Fátima",0,,,,,,,50,2008-09-27T10:50:30+00:00
5323,MP01,small_airport,"Finca Ceiba Airport",8.354999542236328,-82.8364028930664,52,NA,PA,PA-4,"Finca Jaguá",0,MP01,,MP01,,,,50,2008-09-27T10:50:15+00:00
42190,MPFS,small_airport,"Fort Sherman Airport",9.365090370178223,-79.94979858398438,10,NA,PA,PA-3,"Fort Sherman",0,MPFS,,,,,,50,2008-09-27T10:50:31+00:00
5335,MP27,small_airport,"Deborah Airport",9.51613998413086,-82.59549713134766,20,NA,PA,PA-1,Guabito,0,MP27,,MP27,,,"Guabito California",50,2008-09-27T10:50:17+00:00
5325,MP03,small_airport,"La Cabezona Airport",8.3457,-82.5042,31,NA,PA,PA-4,Guarumal,0,MP03,,MP03,,,,50,2015-05-15T17:15:15+00:00
5331,MP22,small_airport,"Ingenio Santa Rosa Airport",8.195219993591309,-80.65869903564453,109,NA,PA,PA-2,"Ingenio Santa Rosa",0,MP22,,MP22,,,,50,2008-09-27T10:50:15+00:00
42201,PA-0017,small_airport,"San Miguel Airport",8.4566,-78.9339,70,NA,PA,PA-8,"Isla del Rey",0,,NMG,,,"https://en.wikipedia.org/wiki/San_Miguel_Airport,_Panama",,50,2015-12-17T06:06:16+00:00
4794,MPZL,small_airport,"Finca 32 Airport",9.42708969116211,-82.56269836425781,23,NA,PA,PA-1,"La Dalia",0,MPZL,,,,,,50,2008-09-27T10:50:09+00:00
42191,PA-0008,small_airport,"La Joya Airport",9.13856029510498,-79.24019622802734,96,NA,PA,PA-8,"La Joya",0,,,,,,,50,2008-09-27T10:50:32+00:00
42192,PA-0009,small_airport,"La Plantación Airport",7.6628899574279785,-81.006103515625,21,NA,PA,PA-9,"La Plantación",0,,,,,,,50,2008-09-27T10:50:33+00:00
31939,MPNU,small_airport,"Augusto Vergara Airport",7.8573799133301,-80.276100158691,69,NA,PA,PA-7,"Los Santos",0,MPNU,,,,https://en.wikipedia.org/wiki/Augusto_Vergara_Airport,Guararé,50,2015-12-17T23:47:19+00:00
42193,PA-0010,small_airport,"Mandinga Airport",9.453590393066406,-79.08450317382812,38,NA,PA,PA-KY,Mandinga,0,,,,,,,50,2008-09-27T10:50:34+00:00
42181,PA-MRF,small_airport,"Miraflores Airport",8.338889,-78.131944,32,NA,PA,PA-5,Miraflores,0,MPMF,,MRF,,"https://en.wikipedia.org/wiki/Miraflores_Airport,_Dari%C3%A9n",,50,2018-09-15T16:36:55+00:00
42194,PA-0011,small_airport,"Mulatupo Airport",8.9453,-77.7331,15,NA,PA,PA-KY,Mulatupo,1,,MPP,,,http://en.wikipedia.org/wiki/Mulatupo_Airport,,50,2015-03-19T02:18:04+00:00
42195,PA-0012,small_airport,"Nargana Airport",9.064220428466797,-78.0165023803711,1305,NA,PA,PA-KY,Nargana,0,,,,,,,50,2008-09-27T10:50:36+00:00
42186,PA-0005,small_airport,"Corazón de Jesús Airport",9.017219543457031,-77.98069763183594,1008,NA,PA,PA-5,Nurna,0,,,,,,,50,2008-09-27T10:50:27+00:00
5322,MP00,small_airport,"Capt Justiniano Montenegro Airport",7.5568799972534,-80.023300170898,16,NA,PA,PA-7,Pedasi,0,MP00,PDM,MP00,,,,50,2015-10-08T12:51:54+00:00
5327,MP18,small_airport,"Penonome Airport",8.503829956054688,-80.36029815673828,282,NA,PA,PA-2,Penonome,0,MP18,,MP18,,,,50,2008-09-27T10:50:15+00:00
42196,PA-0013,small_airport,"Playón Chico Airport",9.305184161299998,-78.235874176,18,NA,PA,PA-KY,"Playón Chico",1,,PYC,,,,,50,2012-11-16T22:23:15+00:00
30640,PA-AML,closed,"Puerto Armuelles Airport",8.2680597305298,-82.864898681641,42,NA,PA,PA-4,"Puerto Armuelles",0,,AML,,,,,50,2015-05-15T14:15:57+00:00
5334,MP26,small_airport,"Punta Cocos Airport",8.224849700927734,-78.90440368652344,66,NA,PA,PA-8,"Punta Cocos",0,MP26,,MP26,,,,50,2008-09-27T10:50:15+00:00
42198,PA-0014,small_airport,"Río Azúcar Airport",9.4247,-78.6269,12,NA,PA,PA-KY,"Río Azúcar",0,,,,,,,50,2017-08-18T16:29:53+00:00
31940,MPRH,small_airport,"Scarlett Martinez International Airport",8.375880241394,-80.127899169922,105,NA,PA,PA-2,"Río Hato",1,MPSM,RIH,,,https://en.wikipedia.org/wiki/R%C3%ADo_Hato_Airport,"MPRH, Río Hato Army Air Base, Captain Scarlett Martinez",50,2015-12-19T00:00:16+00:00
42199,PA-0015,small_airport,"Rio Sidra Airport",9.316789627075195,-79.28299713134766,2719,NA,PA,PA-8,"Rio Sidra",0,,,,,,,50,2008-09-27T10:50:40+00:00
42200,PA-0016,small_airport,"Río Tigre Airport",9.250880241394043,-78.49870300292969,1095,NA,PA,PA-KY,"Río Tigre",0,,,,,,,50,2008-09-27T10:50:41+00:00
42202,PA-0018,small_airport,"Tubala Airport",8.72758960723877,-77.68099975585938,1582,NA,PA,PA-5,Tubala,0,,,,,,,50,2008-09-27T10:50:43+00:00
42203,PA-0019,small_airport,"Tupile Airport",9.246580123901367,-78.36250305175781,1374,NA,PA,PA-KY,Tupile,0,,,,,,,50,2008-09-27T10:50:44+00:00
42204,PA-0020,closed,"[Duplicate] Ustupo Airport",9.128443,-77.933738,48,NA,PA,PA-KY,Ustupo,0,,,,,,,50,2016-06-17T04:02:32+00:00
42205,PA-0021,small_airport,"Wakitupu Airport",9.188650131225586,-77.99320220947266,19,NA,PA,PA-KY,Wakitupu,0,,,,,,,50,2008-09-27T10:50:46+00:00
32008,MPWN,small_airport,"San Blas Airport",9.449600219726562,-78.97949981689453,17,NA,PA,PA-KY,Wannukandi,0,MPWN,NBL,,,,,50,2008-09-27T10:50:09+00:00
42206,PA-0022,small_airport,"Yaviza Airport",8.1528,-77.687,75,NA,PA,PA-5,Yaviza,0,,PYV,,,https://en.wikipedia.org/wiki/Yaviza_Airport,,50,2015-12-19T00:29:32+00:00
316551,PA-0025,small_airport,"Arena Airport",7.3713,-80.846,85,NA,PA,PA-9,Arena,0,,,,,,,0,2015-12-17T20:21:10+00:00
308731,CZJ,small_airport,"Corazón de Jesús Airport",9.4446,-78.5888,8,NA,PA,PA-KY,"Corazón de Jesús and Narganá Islands",1,,CZJ,,,https://en.wikipedia.org/wiki/Coraz%C3%B3n_de_Jes%C3%BAs_Airport,,0,2018-09-15T15:53:22+00:00
309162,GHE,small_airport,"Garachiné Airport",8.0644,-78.3673,42,NA,PA,PA-5,Garachiné,0,,GHE,,,,,0,2013-07-20T15:25:50+00:00
316550,PA-0024,small_airport,"Coiba Airport",7.5068,-81.6981,255,NA,PA,PA-9,"Isla de Coiba",0,,,,,,,0,2015-12-17T20:06:09+00:00
315017,PA-0023,small_airport,"Isla Tigre Airstrip",9.4339,-78.5235,7,NA,PA,PA-KY,"Isla Tigre",0,,,,,,,0,2015-07-19T01:48:41+00:00
315016,TUE,small_airport,"Tupile Airport",9.4468,-78.5757,5,NA,PA,PA-KY,"Isla Tupile",0,,TUE,,,,,0,2015-07-19T01:32:44+00:00
316549,IVI,small_airport,"Viveros Island Airport",8.4693,-79.0016,100,NA,PA,PA-8,"Isla Viveros",0,,IVI,,,,,0,2015-12-17T06:27:36+00:00
316554,PA-0027,small_airport,"Candelaria Airport",7.7326,-80.1403,65,NA,PA,PA-7,"La Candelaria",0,,,,,,,0,2015-12-17T23:03:00+00:00
316552,SIC,small_airport,"San José Island Airport",8.2622,-79.078,150,NA,PA,PA-8,"Las Perlas",0,,SIC,,,,,0,2015-12-17T20:51:39+00:00
316555,MPI,small_airport,"Mamitupo Airport",9.1851,-77.9841,25,NA,PA,PA-KY,Mamitupo,0,,MPI,,,,Mamitupu,0,2015-12-18T00:30:53+00:00
315014,TJC,small_airport,"Ticantiki Airport",9.4185,-78.4896,17,NA,PA,PA-KY,Ticantiqui,0,,TJC,,,,,0,2015-07-19T00:38:55+00:00
316553,PA-0026,small_airport,"Tonosí Airport",7.4148,-80.4466,55,NA,PA,PA-7,Tonosí,0,,,,,,,0,2015-12-17T22:18:03+00:00
315193,UTU,small_airport,"Ustupo Airport",9.1283,-77.9337,9,NA,PA,PA-KY,Ustupo,0,,UTU,,,https://en.wikipedia.org/wiki/Ustupo_Airport,,0,2015-08-16T13:15:07+00:00
315194,OGM,small_airport,"Ogubsucum Airport",9.1383,-77.93385,13,NA,PA,PA-KY,Ustupo,1,,OGM,,,https://en.wikipedia.org/wiki/Ustupo_Airport,,0,2015-08-16T13:29:59+00:00
