id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
67,AYPY,large_airport,"Port Moresby Jacksons International Airport",-9.443380355834961,147.22000122070312,146,OC,PG,PG-NCD,"Port Moresby",1,AYPY,POM,,,http://en.wikipedia.org/wiki/Jacksons_International_Airport,,1275,2008-12-30T09:28:14+00:00
56,AYGA,medium_airport,"Goroka Airport",-6.081689834590001,145.391998291,5282,OC,PG,PG-EHG,Goronka,1,AYGA,GKA,,,http://en.wikipedia.org/wiki/Goroka_Airport,,800,2011-07-03T17:55:00+00:00
71,AYWK,medium_airport,"Wewak International Airport",-3.58383011818,143.669006348,19,OC,PG,PG-ESW,Wewak,1,AYWK,WWK,,,http://en.wikipedia.org/wiki/Wewak_International_Airport,,800,2011-07-03T17:56:11+00:00
301840,BAJ,small_airport,"Bali Airport",-4.8833333333299995,149.133333333,90,OC,PG,PG-WBK,"Unea Island",0,,BAJ,BALI,,,,0,2012-06-26T00:52:52+00:00
57,AYGN,medium_airport,"Gurney Airport",-10.3114995956,150.333999634,88,OC,PG,PG-MBA,Gurney,1,AYGN,GUR,,,http://en.wikipedia.org/wiki/Gurney_Airport,,800,2011-07-03T17:53:13+00:00
59,AYHK,medium_airport,"Kimbe Airport",-5.462170124053955,150.40499877929688,66,OC,PG,PG-WBK,Hoskins,1,AYHK,HKN,,,http://en.wikipedia.org/wiki/Hoskins_Airport,,800,2008-06-13T14:30:04+00:00
61,AYKV,medium_airport,"Kavieng Airport",-2.57940006256,150.807998657,7,OC,PG,PG-NIK,Kavieng,1,AYKV,KVG,,,http://en.wikipedia.org/wiki/Kavieng_Airport,,800,2011-07-03T17:55:24+00:00
66,AYNZ,medium_airport,"Nadzab Airport",-6.569803,146.725977,239,OC,PG,PG-MPL,Lae,1,AYNZ,LAE,,,http://en.wikipedia.org/wiki/Lae_Nadzab_Airport,MFO,800,2016-02-13T15:14:35+00:00
62,AYMD,medium_airport,"Madang Airport",-5.20707988739,145.789001465,20,OC,PG,PG-MPM,Madang,1,AYMD,MAG,,,http://en.wikipedia.org/wiki/Madang_Airport,,800,2011-07-03T17:56:55+00:00
63,AYMH,medium_airport,"Mount Hagen Kagamuga Airport",-5.826789855957031,144.29600524902344,5388,OC,PG,PG-WHM,"Mount Hagen",1,AYMH,HGU,,,http://en.wikipedia.org/wiki/Mount_Hagen_Airport,,800,2008-06-13T14:30:04+00:00
69,AYVN,medium_airport,"Vanimo Airport",-2.6926,141.3028,10,OC,PG,PG-SAN,Vanimo,1,AYVN,VAI,,,http://en.wikipedia.org/wiki/Vanimo_Airport,,800,2016-02-12T11:34:18+00:00
