id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
6088,SGAS,medium_airport,"Silvio Pettirossi International Airport",-25.239999771118164,-57.52000045776367,292,SA,PY,PY-11,Asunción,1,SGAS,ASU,,,http://en.wikipedia.org/wiki/Silvio_Pettirossi_International_Airport,,1050,2008-07-16T13:38:43+00:00
6091,SGES,medium_airport,"Guarani International Airport",-25.454516,-54.842682,846,SA,PY,PY-10,"Ciudad del Este",1,SGES,AGT,,,http://en.wikipedia.org/wiki/Guarani_International_Airport,,775,2016-06-06T05:08:09+00:00
29851,SGEN,small_airport,"Encarnación Airport",-27.227366,-55.837495,659,SA,PY,PY-7,Encarnación,1,SGEN,ENO,,,https://en.wikipedia.org/wiki/Teniente_Amin_Ayub_Gonzalez_Airport,,50,2018-08-10T10:30:53+00:00
6089,SGAY,medium_airport,"Juan De Ayolas Airport",-27.370554,-56.854064,223,SA,PY,PY-8,Ayolas,0,SGAY,AYO,,,https://en.wikipedia.org/wiki/Juan_de_Ayolas_Airport,,250,2016-06-06T05:11:57+00:00
6093,SGME,medium_airport,"Dr. Luis Maria Argaña International Airport",-22.049999237060547,-60.619998931884766,553,SA,PY,PY-19,"Mariscal Estigarribia",0,SGME,ESG,,,http://en.wikipedia.org/wiki/Dr._Luis_Maria_Arga%C3%B1a_International_Airport,,250,2009-06-15T15:41:06+00:00
6094,SGPI,medium_airport,"Carlos Miguel Gimenez Airport",-26.881224,-58.318026,249,SA,PY,PY-12,Pilar,0,SGPI,PIL,,,https://en.wikipedia.org/wiki/Carlos_Miguel_Jim%C3%A9nez_Airport,,250,2016-06-06T05:35:30+00:00
41566,PY-BFA,small_airport,"Bahía Negra Airport",-20.2245998383,-58.1791992188,277,SA,PY,PY-16,"Bahía Negra",0,SGBN,BFA,,,,,50,2013-02-09T14:57:30+00:00
41572,PY-0008,small_airport,"Colonia Carmelo Peralta Airport",-21.680999755859375,-57.912498474121094,253,SA,PY,PY-16,"Colonia Carmelo Peralta",0,,,,,,,50,2008-08-27T07:57:51+00:00
6090,SGCO,small_airport,"Teniente Col Carmelo Peralta Airport",-23.442363,-57.427253,253,SA,PY,PY-1,Concepción,0,SGCO,CIO,,,https://en.wikipedia.org/wiki/Teniente_Coronel_Carmelo_Peralta_Airport,,50,2016-06-06T05:12:36+00:00
41587,PY-0023,small_airport,"Coronel Bogado Airport",-27.14389991760254,-56.256099700927734,285,SA,PY,PY-7,"Coronel Bogado",0,,,,,,,50,2008-08-27T07:58:06+00:00
39563,PY-0002,small_airport,"Coronel Oviedo Airport",-25.5200004578,-56.409999847399995,487,SA,PY,PY-5,"Coronel Oviedo",0,SGOV,,,,,,50,2013-02-09T02:36:12+00:00
41589,PY-0025,small_airport,"Estancia Coeyu Airport",-23.93630027770996,-57.73590087890625,250,SA,PY,PY-15,"Estancia Coeyu",0,,,,,,,50,2008-08-27T07:58:08+00:00
41585,PY-0021,small_airport,"Estancia Herradura Airport",-26.502199172973633,-58.19710159301758,188,SA,PY,PY-12,"Estancia Herradura",0,,,,,,,50,2008-08-27T07:58:04+00:00
5508,SG67,small_airport,"Estancia Pai Quara Airport",-23.219999313354492,-55.95000076293945,712,SA,PY,PY-13,"Estancia Pai Quara",0,SG67,,SG67,,,,50,2008-07-16T13:38:43+00:00
41588,PY-0024,small_airport,"Estancia Trementina Airport",-22.736000061035156,-56.842201232910156,511,SA,PY,PY-1,"Estancia Trementina",0,,,,,,,50,2008-08-27T07:58:07+00:00
31157,SGFI,small_airport,"Filadelfia Airport",-22.360477,-60.053604,423,SA,PY,PY-19,Filadelfia,0,SGFI,FLM,,,https://en.wikipedia.org/wiki/Filadelfia_Airport,,50,2016-06-06T05:15:12+00:00
41565,PY-OLK,small_airport,"Fuerte Olimpo Airport",-21.0452,-57.8825,275,SA,PY,PY-16,"Fuerte Olimpo",0,SGOL,OLK,,,https://en.wikipedia.org/wiki/Fuerte_Olimpo_Airport,,50,2016-06-06T05:34:58+00:00
39565,PY-0004,small_airport,"Hugo Stroessner Airport",-25.409999847399998,-56.5499992371,364,SA,PY,PY-5,"Hugo Stroessner",0,,,,,,,50,2010-05-09T12:59:49+00:00
39564,PY-0003,small_airport,"Isla Pucu Airport",-25.2999992371,-56.9000015259,416,SA,PY,PY-3,"Isla Pucu",0,,,,,,,50,2010-05-09T12:59:34+00:00
6092,SGIB,small_airport,"Itaipú Airport",-25.407519,-54.619377,762,SA,PY,PY-10,Itaipú,0,SGIB,,,,https://en.wikipedia.org/wiki/Itaipu_Airport,,50,2016-06-06T05:09:21+00:00
39562,PY-0001,small_airport,"Iturbe Airport",-26.059999465900002,-56.49000167849999,328,SA,PY,PY-4,Iturbe,0,,,,,,,50,2010-05-09T12:58:48+00:00
39566,PY-0005,small_airport,"Nueva Australia Airport",-25.420000076300003,-56.569999694799996,338,SA,PY,PY-5,"Nueva Australia",0,,,,,,,50,2010-05-09T13:00:08+00:00
39569,Z23Z,small_airport,"Paraguari Airport",-25.600000381469727,-57.150001525878906,500,SA,PY,PY-9,Paraguari,0,Z23Z,,,,,,50,2008-07-16T13:38:54+00:00
6095,SGPJ,small_airport,"Dr Augusto Roberto Fuster International Airport",-22.639999389648438,-55.83000183105469,1873,SA,PY,PY-13,"Pedro Juan Caballero",0,SGPJ,PJC,,,http://en.wikipedia.org/wiki/Dr._Augusto_Roberto_Fuster_International_Airport,,50,2008-08-27T07:58:46+00:00
39567,SGPO,small_airport,"Puerto Pinasco Airport",-22.6299991607666,-57.84000015258789,239,SA,PY,PY-15,Pinasco,0,SGPO,,,,,,50,2008-07-16T13:38:52+00:00
41571,PY-0007,small_airport,"Estancia Cunataí Airport",-21.555599212646484,-57.96849822998047,264,SA,PY,PY-16,"Porto María",0,,,,,,,50,2008-08-27T07:57:50+00:00
41579,PY-0015,small_airport,"Puerto Abente Airport",-22.95039939880371,-57.79140090942383,243,SA,PY,PY-1,"Puerto Abente",0,,,,,,,50,2008-08-27T07:57:58+00:00
41575,PY-0011,small_airport,"Puerto Alegre Airport",-22.443199157714844,-57.832298278808594,276,SA,PY,PY-1,"Puerto Alegre",0,,,,,,,50,2008-08-27T07:57:54+00:00
41580,PY-0016,small_airport,"Puerto Boqueron Airport",-23.983400344848633,-57.249900817871094,223,SA,PY,PY-15,"Puerto Boqueron",0,,,,,,,50,2008-08-27T07:57:59+00:00
41576,PY-0012,small_airport,"Puerto Calera Airport",-22.545299530029297,-57.8224983215332,243,SA,PY,PY-1,"Puerto Calera",0,,,,,,,50,2009-01-17T14:36:00+00:00
41570,PY-0006,small_airport,"Puerto Guaraní Airport",-21.2731990814209,-57.924198150634766,257,SA,PY,PY-16,"Puerto Guaraní",0,,,,,,,50,2008-08-27T07:57:49+00:00
41578,PY-0014,small_airport,"Puerto Itapucu Airport",-22.681400299072266,-57.909400939941406,269,SA,PY,PY-1,"Puerto Itapucu",0,,,,,,,50,2008-08-27T07:57:57+00:00
41573,PY-0009,small_airport,"Puerto La Esperanza Airport",-22.043100357055664,-58.0166015625,254,SA,PY,PY-16,"Puerto La Esperanza",0,,,,,,,50,2008-08-27T07:57:52+00:00
41568,PY-PCJ,small_airport,"Puerto La Victoria Airport",-22.295041,-57.866333,286,SA,PY,PY-1,"Puerto La Victoria",0,SGLV,PCJ,,,https://en.wikipedia.org/wiki/La_Victoria_Airport,,50,2016-06-06T05:38:14+00:00
41569,PY-PBT,small_airport,"Puerto Leda Airport",-20.904600143432617,-57.927101135253906,260,SA,PY,PY-16,"Puerto Leda",0,,PBT,,,,,50,2008-08-27T07:57:48+00:00
41577,PY-0013,small_airport,"Puerto Max Airport",-22.631000518798828,-57.77050018310547,241,SA,PY,PY-1,"Puerto Max",0,,,,,,,50,2008-08-27T07:57:56+00:00
41581,PY-0017,small_airport,"Puerto Michi Airport",-24.135700225830078,-57.28409957885742,217,SA,PY,PY-2,"Puerto Michu",0,,,,,,,50,2008-08-27T07:58:00+00:00
41574,PY-0010,small_airport,"Puerto Risso Airport",-22.370500564575195,-57.815101623535156,268,SA,PY,PY-1,"Puerto Risso",0,,,,,,,50,2008-08-27T07:57:53+00:00
41567,VMI,small_airport,"Dr Juan Plate Airport",-22.159109,-57.942581,280,SA,PY,PY-1,"Puerto Vallemi",0,,VMI,,,https://en.wikipedia.org/wiki/Dr._Juan_Plate_Airport,,50,2016-06-06T05:33:30+00:00
39568,SGRO,small_airport,"Rosario Airport",-24.43000030517578,-57.119998931884766,236,SA,PY,PY-2,Rosario,0,SGRO,,,,,,50,2008-07-16T13:38:53+00:00
41582,PY-0018,small_airport,"Estancia Lomas Airport",-24.617000579833984,-57.148799896240234,220,SA,PY,PY-2,Rosario,0,,,,,,,50,2008-08-27T07:58:01+00:00
41586,PY-0022,small_airport,"San Cosme y Damian Airport",-27.28179931640625,-56.311100006103516,318,SA,PY,PY-7,"San Cosme y Damian",0,,,,,,,50,2008-08-27T07:58:05+00:00
41584,PY-0020,small_airport,"Santa Clara Airport",-25.663299560546875,-57.66429901123047,209,SA,PY,PY-11,"Santa Clara",0,,,,,,,50,2008-08-27T07:58:03+00:00
6096,SGST,small_airport,"Santa Teresa Airport",-22.622754,-56.634507,582,SA,PY,PY-13,"Santa Teresa",0,SGST,,,,https://en.wikipedia.org/wiki/Santa_Teresa_Airport,,50,2016-06-06T05:39:02+00:00
30531,SGNB,small_airport,"Villa Hayes Sarg Airport",-25.15999984741211,-57.560001373291016,210,SA,PY,PY-15,"Villa Hayes",0,SGNB,,,,,,50,2008-07-16T13:38:51+00:00
41583,PY-0019,small_airport,"Villa Rey Airport",-24.688100814819336,-57.23059844970703,220,SA,PY,PY-2,"Villa Rey",0,,,,,,,50,2008-08-27T07:58:02+00:00
318322,SGCU,small_airport,"Curuguaty Airport",-24.500158,-55.682111,,SA,PY,PY-14,,0,SGCU,,,,,,0,2016-06-06T05:02:56+00:00
308261,SGPG,small_airport,"Pelayo Prats Gill Airstrip",-22.555819,-61.613992,690,SA,PY,PY-19,,0,SGPG,,,,,,0,2013-02-09T13:47:10+00:00
321683,PY-0042,small_airport,"Cabaña La Escondida Airport",-26.751414,-57.059711,,SA,PY,PY-8,"Cabaña La Escondida",0,,,,,,,0,2017-01-01T05:09:18+00:00
318555,PY-0035,small_airport,"Cerro Corá Airport",-22.637159,-56.016371,,SA,PY,PY-13,"Cerro Corá",0,,,,,,,0,2016-06-13T08:48:09+00:00
308256,SGBA,small_airport,"Bella Vista Sur Airport",-27.052393,-55.578026,650,SA,PY,PY-7,"Colonia Doctor Pastor Obligado",0,SGBA,,,,,,0,2013-02-09T00:58:01+00:00
321674,PY-0037,small_airport,"El Retiro Airport",-24.001777,-60.342462,,SA,PY,PY-15,"El Retiro",0,,,,,,,0,2016-12-31T18:41:42+00:00
321680,PY-0039,small_airport,"Estancia Buena Vista Airport",-26.563305,-57.145936,,SA,PY,PY-8,"Estancia Buena Vista",0,,,,,,,0,2017-01-01T04:58:08+00:00
321673,PY-0036,small_airport,"Estancia El Dorado Airport",-21.370676,-61.484652,,SA,PY,PY-19,"Estancia El Dorado",0,,,,,,,0,2016-12-31T16:46:28+00:00
318553,PY-0033,small_airport,"Gnadenheim Airport",-22.369868,-59.770805,,SA,PY,PY-19,Gnadenheim,0,,,,,,,0,2016-06-13T08:33:32+00:00
318554,PY-0034,small_airport,"La Victoria Airport",-22.289467,-57.931053,,SA,PY,PY-16,"La Victoria",0,,,,,,,0,2016-06-13T08:40:46+00:00
318552,PY-0032,small_airport,"Loma Plata Airport",-22.356651,-59.838926,,SA,PY,PY-19,"Loma Plata",0,,,,,,,0,2016-06-13T08:32:14+00:00
327566,PY-0043,small_airport,"Mayor Infante Rivarola Airport",-21.683837,-62.395534,908,SA,PY,PY-19,"Mayor Infante Rivarola",0,,,,,,,0,2018-05-03T10:22:06+00:00
318321,PY-0031,small_airport,"Nueva Germania Airport",-23.911628,-56.558359,,SA,PY,PY-2,"Nueva Germania",0,,,,,,,0,2016-06-06T04:55:32+00:00
308260,SGPC,small_airport,"Pozo Colorado Airport",-23.499127,-58.785914,325,SA,PY,PY-15,"Pozo Colorado",0,SGPC,,,,,,0,2013-02-09T13:23:52+00:00
308258,SGGR,small_airport,"Salto del Guaira Airport",-24.032269,-54.350829,990,SA,PY,PY-14,"Salto del Guaira",0,SGGR,,,,https://en.wikipedia.org/wiki/Salto_del_Guair%C3%A1_Airport,,0,2016-06-06T05:34:15+00:00
308259,PY-0026,closed,"[Duplicate] Salto del Guaira Airport",-24.03222,-54.350842,990,SA,PY,PY-14,"Salto del Guaira",0,SGGR,,,,,,0,2016-06-17T04:01:35+00:00
321679,PY-0038,small_airport,"San Juan Bautista Airport",-26.636587,-57.101397,,SA,PY,PY-8,"San Juan Bautista",0,,,,,,,0,2017-01-01T04:54:13+00:00
321681,PY-0040,small_airport,"San Miguel Airport",-26.546805,-57.101111,,SA,PY,PY-8,"San Miguel",0,,,,,,,0,2017-01-01T05:02:36+00:00
308262,SGSP,small_airport,"San Pedro Airport",-24.082883,-57.088112,270,SA,PY,PY-2,"San Pedro del Ycuamandiyu",0,SGSP,,,,,,0,2013-02-09T14:21:51+00:00
321682,PY-0041,small_airport,"Santa Maria Airport",-26.783859,-56.952561,,SA,PY,PY-8,"Santa Maria",0,,,,,,,0,2017-01-01T05:06:14+00:00
318317,PY-0027,small_airport,"Rosario South 1 Airport",-24.471234,-57.154851,,SA,PY,PY-2,"Villa del Rosario",0,,,,,,,0,2016-06-06T04:44:30+00:00
318318,PY-0028,small_airport,"Rosario South 2 Airport",-24.4777,-57.147968,,SA,PY,PY-2,"Villa del Rosario",0,,,,,,,0,2016-06-06T04:45:19+00:00
318319,PY-0029,small_airport,"Rosario South 3 Airport",-24.486413,-57.102357,,SA,PY,PY-2,"Villa del Rosario",0,,,,,,,0,2016-06-06T04:46:52+00:00
318320,PY-0030,small_airport,"Colonia Volendam Airport",-24.285026,-57.012056,,SA,PY,PY-2,"Villa del Rosario",0,SGVO,,,,,,0,2016-06-06T22:59:40+00:00
