id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
6217,SPIM,large_airport,"Jorge Chávez International Airport",-12.0219,-77.114305,113,SA,PE,PE-LIM,Lima,1,SPJC,LIM,,http://www.lap.com.pe/,https://en.wikipedia.org/wiki/Jorge_Ch%C3%A1vez_International_Airport,SPIM,1050,2018-04-27T15:04:18+00:00
6243,SPZO,large_airport,"Alejandro Velasco Astete International Airport",-13.535699844400002,-71.9387969971,10860,SA,PE,PE-CUS,Cusco,1,SPZO,CUZ,,http://www.corpac.gob.pe/,http://en.wikipedia.org/wiki/Alejandro_Velasco_Astete_International_Airport,,875,2010-09-07T09:49:15+00:00
6233,SPQU,medium_airport,"Rodríguez Ballón International Airport",-16.3411006927,-71.5830993652,8405,SA,PE,PE-ARE,Arequipa,1,SPQU,AQP,,,http://en.wikipedia.org/wiki/Rodriguez_Ballon_International_Airport,,1050,2010-09-07T09:47:49+00:00
6222,SPJL,medium_airport,"Inca Manco Capac International Airport",-15.467100143432617,-70.158203125,12552,SA,PE,PE-PUN,Juliaca,1,SPJL,JUL,,,http://en.wikipedia.org/wiki/Inca_Manco_Capac_International_Airport,,875,2008-07-21T16:57:31+00:00
6242,SPZA,medium_airport,"Maria Reiche Neuman Airport",-14.854000091600001,-74.9615020752,1860,SA,PE,PE-ICA,Nazca,1,SPZA,NZC,,,http://en.wikipedia.org/wiki/Maria_Reiche_Neuman_Airport,,800,2014-07-31T12:28:57+00:00
6235,SPRU,medium_airport,"Capitan FAP Carlos Martinez De Pinillos International Airport",-8.08141040802002,-79.10880279541016,106,SA,PE,PE-LAL,Trujillo,1,SPRU,TRU,,,http://en.wikipedia.org/wiki/Cap._FAP_Carlos_Mart%C3%ADnez_de_Pinillos_International_Airport,,1050,2008-07-21T16:57:59+00:00
6232,SPQT,medium_airport,"Coronel FAP Francisco Secada Vignetta International Airport",-3.7847399711608887,-73.30879974365234,306,SA,PE,PE-LOR,Iquitos,1,SPQT,IQT,,,http://en.wikipedia.org/wiki/Crnl._FAP_Francisco_Secada_Vignetta_International_Airport,,1050,2008-07-21T16:57:59+00:00
6213,SPHI,medium_airport,"Capitan FAP Jose A Quinones Gonzales International Airport",-6.787479877471924,-79.8281021118164,97,SA,PE,PE-LAM,Chiclayo,1,SPHI,CIX,,,http://en.wikipedia.org/wiki/Cap._FAP_Jos%C3%A9_A._Qui%C3%B1ones_Gonzales_International_Airport,,1050,2008-07-21T16:57:20+00:00
6238,SPTN,medium_airport,"Coronel FAP Carlos Ciriani Santa Rosa International Airport",-18.053300857500002,-70.2758026123,1538,SA,PE,PE-TAC,Tacna,1,SPTN,TCQ,,,http://en.wikipedia.org/wiki/Crnl._FAP_Carlos_Ciriani_Santa_Rosa_International_Airport,,1050,2010-09-06T17:28:59+00:00
6239,SPTU,medium_airport,"Padre Aldamiz International Airport",-12.6135997772,-69.2285995483,659,SA,PE,PE-MDD,"Puerto Maldonado",1,SPTU,PEM,,,http://en.wikipedia.org/wiki/Padre_Aldamiz_International_Airport,"Puerto Maldonado International Airport",975,2010-09-06T17:29:57+00:00
6240,SPUR,medium_airport,"Capitán FAP Guillermo Concha Iberico International Airport",-5.20574998856,-80.61640167239999,120,SA,PE,PE-PIU,Piura,1,SPUR,PIU,,,http://en.wikipedia.org/wiki/Cap._FAP_Guillermo_Concha_Iberico_International_Airport,,800,2010-09-06T17:28:00+00:00
6223,SPJR,medium_airport,"Mayor General FAP Armando Revoredo Iglesias Airport",-7.1391801834106445,-78.4894027709961,8781,SA,PE,PE-CAJ,Cajamarca,1,SPJR,CJA,,,http://en.wikipedia.org/wiki/My._Gral._FAP._Armando_Revoredo_Iglesias_Airport,,875,2008-07-21T16:57:33+00:00
6205,SPCL,medium_airport,"Cap FAP David Abenzur Rengifo International Airport",-8.37794017791748,-74.57430267333984,513,SA,PE,PE-UCA,Pucallpa,1,SPCL,PCL,,,http://en.wikipedia.org/wiki/Captain_Rolden_International_Airport,,875,2008-07-21T16:57:11+00:00
6237,SPST,medium_airport,"Cadete FAP Guillermo Del Castillo Paredes Airport",-6.508739948272705,-76.37319946289062,869,SA,PE,PE-SAM,Tarapoto,1,SPST,TPP,,,http://en.wikipedia.org/wiki/Cad._FAP_Guillermo_del_Castillo_Paredes_Airport,,825,2008-07-21T16:58:03+00:00
6241,SPYL,medium_airport,"Capitan Montes Airport",-4.5766401290894,-81.254096984863,282,SA,PE,PE-PIU,Talara,1,SPYL,TYL,,,http://en.wikipedia.org/wiki/Cap._FAP_Victor_Montes_Arias_Airport,,875,2015-08-16T16:31:26+00:00
6226,SPME,medium_airport,"Capitan FAP Pedro Canga Rodriguez Airport",-3.55253005027771,-80.38140106201172,115,SA,PE,PE-TUM,Tumbes,1,SPME,TBP,,,http://en.wikipedia.org/wiki/Cap._FAP_Pedro_Canga_Rodr%C3%ADguez_Airport,,800,2008-07-21T16:57:38+00:00
6216,SPHZ,medium_airport,"Comandante FAP German Arias Graziani Airport",-9.347439765930176,-77.59839630126953,9097,SA,PE,PE-ANC,Anta,0,SPHZ,ATA,,,http://en.wikipedia.org/wiki/Comandante_FAP_Germ%C3%A1n_Arias_Graziani_Airport,,250,2008-07-21T16:57:20+00:00
6225,SPLP,small_airport,"Las Palmas Air Base",-12.16069984436,-76.998901367188,250,SA,PE,PE-LIM,Chorrillos,0,SPLP,,,,https://en.wikipedia.org/wiki/Las_Palmas_Air_Base,,50,2015-10-05T13:04:03+00:00
6228,SPMS,medium_airport,"Moises Benzaquen Rengifo Airport",-5.893770217895508,-76.11820220947266,587,SA,PE,PE-LOR,Yurimaguas,1,SPMS,YMS,,,http://en.wikipedia.org/wiki/Mois%C3%A9s_Benzaquen_Rengifo_Airport,,875,2008-07-21T16:57:38+00:00
6214,SPHO,medium_airport,"Coronel FAP Alfredo Mendivil Duarte Airport",-13.154800415039062,-74.20439910888672,8917,SA,PE,PE-AYA,Ayacucho,1,SPHO,AYP,,,http://en.wikipedia.org/wiki/Coronel_FAP_Alfredo_Mendivil_Duarte_Airport,,800,2008-07-21T16:57:20+00:00
6203,SPBC,medium_airport,"Caballococha Airport",-3.91686010361,-70.5082015991,328,SA,PE,PE-LOR,Caballococha,0,SPBC,,LHC,,http://en.wikipedia.org/wiki/Caballococha_Airport,,800,2012-11-22T08:27:05+00:00
6208,SPEO,medium_airport,"Teniente FAP Jaime A De Montreuil Morales Airport",-9.149609565734863,-78.5238037109375,69,SA,PE,PE-ANC,Chimbote,1,SPEO,CHM,,,http://en.wikipedia.org/wiki/Tnte._FAP_Jaime_Montreuil_Morales_Airport,,800,2008-07-21T16:57:18+00:00
6229,SPNC,medium_airport,"Alferez Fap David Figueroa Fernandini Airport",-9.878809928894043,-76.20480346679688,6070,SA,PE,PE-HUC,Huánuco,1,SPNC,HUU,,,http://en.wikipedia.org/wiki/Alf%C3%A9rez_FAP_David_Figueroa_Fernandini_Airport,,800,2008-07-21T16:57:38+00:00
6215,SPHY,small_airport,"Andahuaylas Airport",-13.706399917602539,-73.35040283203125,11300,SA,PE,PE-APU,Andahuaylas,1,SPHY,ANS,,,http://en.wikipedia.org/wiki/Andahuaylas_Airport,,450,2008-07-21T16:58:59+00:00
39627,SPHL,small_airport,"Olmos Airport",-5.984722137451172,-79.74527740478516,585,SA,PE,PE-LAM,<Olmos,1,SPHL,,,,,,350,2008-07-21T16:58:30+00:00
39628,SPHU,small_airport,"Huancayo Airport",-12.069899559020996,-75.19850158691406,10800,SA,PE,PE-JUN,Huancayo,1,SPHU,,,,,,350,2008-07-21T16:58:31+00:00
39643,SPPO,small_airport,"Pozuzo Airport",-10.070099830627441,-75.55000305175781,2420,SA,PE,PE-PAS,Pozuzo,1,SPPO,,,,,,350,2008-07-21T16:58:46+00:00
6220,SPJI,medium_airport,"Juanjui Airport",-7.169099807739258,-76.72859954833984,1148,SA,PE,PE-SAM,Juanjuí,0,SPJI,JJI,,,,,275,2008-07-21T16:57:31+00:00
