id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
5689,RPLL,large_airport,"Ninoy Aquino International Airport",14.5086,121.019997,75,AS,PH,PH-U-A,Manila,1,RPLL,MNL,,,http://en.wikipedia.org/wiki/Ninoy_Aquino_International_Airport,"Manila International Airport",1014275,2017-09-22T10:49:59+00:00
5742,RPVM,large_airport,"Mactan Cebu International Airport",10.307499885559,123.97899627686,31,AS,PH,PH-CEB,"Lapu-Lapu City",1,RPVM,CEB,,http://www.mactan-cebuairport.com.ph/,http://en.wikipedia.org/wiki/Mactan-Cebu_International_Airport,,1275,2015-10-07T10:54:54+00:00
5687,RPLC,large_airport,"Diosdado Macapagal International Airport",15.186,120.559998,484,AS,PH,PH-PAM,Angeles/Mabalacat,1,RPLC,CRK,,http://www.clarkairport.com/,http://en.wikipedia.org/wiki/Diosdado_Macapagal_International_Airport,"Clark International Airport, Paliparang Pandaigdig ng Diosdado Macapagal, Clark Air Base",1275,2018-04-01T23:02:05+00:00
5741,RPVK,medium_airport,"Kalibo International Airport",11.679400444,122.375999451,14,AS,PH,PH-AKL,Kalibo,1,RPVK,KLO,,,http://en.wikipedia.org/wiki/Kalibo_International_Airport,,800,2010-09-08T22:32:54+00:00
5686,RPLB,medium_airport,"Subic Bay International Airport",14.794400215148926,120.27100372314453,64,AS,PH,PH-ZMB,"Olongapo City",1,RPLB,SFS,,,http://en.wikipedia.org/wiki/Subic_Bay_International_Airport,"Paliparang Pandaigdig ng Look ng Subic, Naval Air Station Cubi Point",1050,2008-06-13T14:30:04+00:00
5736,RPVE,medium_airport,"Godofredo P. Ramos Airport",11.9245,121.954002,7,AS,PH,PH-AKL,Malay,1,RPVE,MPH,,,http://en.wikipedia.org/wiki/Godofredo_P._Ramos_Airport,"Godofredo P. Ramos Airport",800,2016-11-24T12:43:40+00:00
5747,RPVT,medium_airport,"Tagbilaran Airport",9.665442,123.853533,38,AS,PH,PH-BOH,"Tagbilaran City",1,RPVT,TAG,,,http://en.wikipedia.org/wiki/Tagbilaran_Airport,,800,2018-01-21T04:22:37+00:00
5726,RPUS,medium_airport,"San Fernando Airport",16.595600128173828,120.3030014038086,13,AS,PH,PH-LUN,,1,RPUS,SFE,,,http://en.wikipedia.org/wiki/San_Fernando_Airport,,800,2008-06-13T14:30:04+00:00
5744,RPVP,medium_airport,"Puerto Princesa Airport",9.742119789123535,118.75900268554688,71,AS,PH,PH-PLW,"Puerto Princesa City",1,RPVP,PPS,,,http://en.wikipedia.org/wiki/Puerto_Princesa_Airport,,825,2008-06-13T14:30:04+00:00
5718,RPUG,small_airport,"Lingayen Airport",16.034799575805664,120.24099731445312,7,AS,PH,PH-PAN,,0,RPUG,,,,,,50,2008-06-13T14:30:04+00:00
5690,RPLP,medium_airport,"Legazpi City International Airport",13.1575,123.735,66,AS,PH,PH-ALB,"Legazpi City",1,RPLP,LGP,,,http://en.wikipedia.org/wiki/Legazpi_Airport,,800,2009-09-21T05:52:34+00:00
5735,RPVD,medium_airport,"Sibulan Airport",9.3337097168,123.300003052,15,AS,PH,PH-NER,"Dumaguete City",1,RPVD,DGT,,,http://en.wikipedia.org/wiki/Sibulan_Airport,,250,2010-11-06T03:49:08+00:00
