id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
2637,EPWA,large_airport,"Warsaw Chopin Airport",52.1656990051,20.967100143399996,362,EU,PL,PL-MZ,Warsaw,1,EPWA,WAW,,http://www.lotnisko-chopina.pl/?lang=en,http://en.wikipedia.org/wiki/Warsaw_Frederic_Chopin_Airport,Okęcie,51275,2010-09-18T17:31:27+00:00
2609,EPKK,large_airport,"Kraków John Paul II International Airport",50.077702,19.7848,791,EU,PL,PL-MA,Kraków,1,EPKK,KRK,,http://www.krakowairport.pl/en/,https://en.wikipedia.org/wiki/Kraków_John_Paul_II_International_Airport,Krakov,1150,2018-09-15T03:35:38+00:00
2608,EPGD,large_airport,"Gdańsk Lech Wałęsa Airport",54.377601623535156,18.46619987487793,489,EU,PL,PL-PM,Gdańsk,1,EPGD,GDN,,http://www.airport.gdansk.pl/,http://en.wikipedia.org/wiki/Gda%C5%84sk_Lech_Wa%C5%82%C4%99sa_Airport,Gdańsk-Rębiechowo,1150,2009-01-24T11:53:55+00:00
2625,EPPO,large_airport,"Poznań-Ławica Airport",52.421001434299995,16.8262996674,308,EU,PL,PL-WP,Poznań,1,EPPO,POZ,,http://www.airport-poznan.com.pl/en/,http://en.wikipedia.org/wiki/Pozna%C5%84-%C5%81awica_Airport,,1050,2012-10-29T11:44:08+00:00
2613,EPKT,large_airport,"Katowice International Airport",50.4743,19.08,995,EU,PL,PL-SL,Katowice,1,EPKT,KTW,,http://katowice.airport.com,http://en.wikipedia.org/wiki/Katowice_International_Airport,"Pyrzowice, Dąbrowa Górnicza, Katowice, Silesia, GOP, Silesia Metropolis, Gliwice, Piekary Śląskie, Bytom, Zabrze, Sosnowiec",975,2016-11-23T11:52:09+00:00
2622,EPMO,large_airport,"Modlin Airport",52.451099,20.6518,341,EU,PL,PL-MZ,Warsaw,1,EPMO,WMI,,http://modlinairport.pl/,https://en.wikipedia.org/wiki/Warsaw_Modlin_Airport,"Nowy Dwor Mazowiecki",50,2018-09-15T06:36:14+00:00
2638,EPWR,large_airport,"Copernicus Wrocław Airport",51.1026992798,16.885799408,404,EU,PL,PL-DS,Wrocław,1,EPWR,WRO,,http://www.airport.wroclaw.pl/en/index.php,http://en.wikipedia.org/wiki/Copernicus_Airport_Wroc%C5%82aw,"Strachowice, Breslau",1050,2012-10-29T11:57:39+00:00
2604,EPBY,medium_airport,"Bydgoszcz Ignacy Jan Paderewski Airport",53.096801757799994,17.9776992798,235,EU,PL,PL-KP,Bydgoszcz,1,EPBY,BZG,,http://www.plb.pl/,http://en.wikipedia.org/wiki/Bydgoszcz_Ignacy_Jan_Paderewski_Airport,"Szwederowo, Bromberg",1025,2012-10-29T12:07:48+00:00
2630,EPSC,medium_airport,"Szczecin-Goleniów ""Solidarność"" Airport",53.584701538100006,14.902199745199999,154,EU,PL,PL-ZP,Goleniow,1,EPSC,SZZ,,http://www.airport.com.pl/en/index.php,http://en.wikipedia.org/wiki/Szczecin-Goleni%C3%B3w_%22Solidarno%C5%9B%C4%87%22_Airport,,975,2012-10-29T12:05:46+00:00
2629,EPRZ,medium_airport,"Rzeszów-Jasionka Airport",50.1100006104,22.0189990997,675,EU,PL,PL-PK,Rzeszów,1,EPRZ,RZE,,http://www.lotnisko-rzeszow.pl/?lang=en,http://en.wikipedia.org/wiki/Rzesz%C3%B3w-Jasionka_Airport,,975,2012-10-29T12:06:54+00:00
2616,EPLL,medium_airport,"Łódź Władysław Reymont Airport",51.721900939899996,19.3980998993,604,EU,PL,PL-LD,Łódź,1,EPLL,LCJ,,,http://en.wikipedia.org/wiki/%C5%81%C3%B3d%C5%BA_W%C5%82adys%C5%82aw_Reymont_Airport,Lublinek,1050,2012-10-29T12:05:21+00:00
2603,EPBC,small_airport,"Babice Airport",52.26850128173828,20.910999298095703,352,EU,PL,PL-MZ,,0,EPBC,,,,,,50,2009-01-24T11:51:35+00:00
2610,EPKM,small_airport,"Muchowiec Airport",50.23809814453125,19.03420066833496,909,EU,PL,PL-SL,,0,EPKM,,,,http://en.wikipedia.org/wiki/Katowice-Muchowiec_Airport,,50,2008-06-13T14:30:04+00:00
31012,EPBP,medium_airport,"Biała Podlaska Airfield",52.00078,23.1325278,485,EU,PL,PL-LU,"Biała Podlaska",0,EPBP,BXP,,,http://en.wikipedia.org/wiki/Bia%C5%82a_Podlaska_Airport,"Biała Podlaska Air Base",250,2016-09-27T10:49:09+00:00
2617,EPLU,small_airport,"Lubin Airport",51.4230003357,16.1961994171,512,EU,PL,PL-DS,,0,EPLU,,,http://www.eplu.eu/,http://en.wikipedia.org/wiki/Lubin-Obora_Airport,,50,2011-06-15T17:13:01+00:00
30088,EPLR,small_airport,"Lublin Radwiec Airfield",51.221901,22.394699,791,EU,PL,PL-LU,,0,EPLR,,,,,,50,2016-10-26T08:26:54+00:00
2620,EPML,small_airport,"Mielec Airport",50.32229995727539,21.462099075317383,548,EU,PL,PL-PK,,0,EPML,,,,,,50,2008-06-13T14:30:04+00:00
29897,EPGL,small_airport,"Gliwice  Airport",50.269402,18.6728,830,EU,PL,PL-SL,,0,EPGL,,,,,,50,2017-01-07T05:53:10+00:00
29843,EPEL,small_airport,"Elblag Airport",54.14080047607422,19.42329978942871,10,EU,PL,PL-WN,,0,EPEL,,,,,,50,2008-08-17T18:51:46+00:00
29700,EPBK,small_airport,"Białystok-Krywlany Airport",53.101398,23.170601,502,EU,PL,PL-PD,Białystok,0,EPBK,,,,https://en.wikipedia.org/wiki/Bia%C5%82ystok-Krywlany_Airport,QYY,50,2017-01-07T15:00:18+00:00
2606,EPCH,small_airport,Częstochowa-Rudniki,50.884998,19.2047,860,EU,PL,PL-SL,Częstochowa,0,EPRU,CZW,,,,,50,2016-08-19T13:04:09+00:00
30272,EPKP,small_airport,"Pobiednik Wielki Airport",50.089698791503906,20.20170021057129,650,EU,PL,PL-MA,Kraków,0,EPKP,,,,,,50,2009-01-24T09:56:20+00:00
30050,EPKR,small_airport,"Krosno Airport",49.68109893798828,21.737199783325195,922,EU,PL,PL-PK,Krosno,0,EPKR,,,,,,50,2008-08-17T20:17:10+00:00
30072,EPLS,small_airport,"Leszno Strzyzewi Airport",51.834999084472656,16.521900177001953,312,EU,PL,PL-WP,Leszno,0,EPLS,,,,,,50,2009-01-24T09:58:30+00:00
30578,EPZR,small_airport,"Żar Airport",49.77109909057617,19.21809959411621,1260,EU,PL,PL-SL,"Międzybrodzie  Żywieckie",0,EPZR,,,,,"Góra Żar",50,2009-01-24T10:14:15+00:00
30213,EPOD,small_airport,"Lotnisko Olsztyn-Dajtki",53.77295,20.414486,440,EU,PL,PL-WN,Olsztyn,0,EPOD,,,http://www.aeroklub.olsztyn.pl/,,,50,2016-12-18T04:55:41+00:00
30224,EPOM,small_airport,"Ostrów Wielkopolski Michałków Airport",51.700767,17.84663,476,EU,PL,PL-WP,"Ostrów Wielkopolski",0,EPOM,,,http://michalkow.pl/pl/,,,50,2016-11-01T06:10:22+00:00
30284,EPPK,small_airport,"Poznań-Kobylnica Airport",52.43389892,17.044201,279,EU,PL,PL-WP,Poznań,0,EPPK,,,,,,50,2015-11-01T23:57:24+00:00
2628,EPRA,medium_airport,"Radom Airport",51.3891983032,21.213300705,610,EU,PL,PL-MZ,Radom,1,EPRA,RDO,,http://lotnisko-radom.eu/pl/,https://en.wikipedia.org/wiki/Radom_Airport,"Radom Military Air Base, Radom-Sadków Airport",50,2016-01-19T05:21:26+00:00
30434,EPST,small_airport,"Stalowa Wola-Turbia Airport",50.627498626708984,21.998300552368164,489,EU,PL,PL-PK,"Stalowa Wola",0,EPST,,,,,,50,2009-01-24T10:08:29+00:00
30577,EPZA,small_airport,"Zamość-Mokre Airport",50.701698303222656,23.20439910888672,751,EU,PL,PL-LU,Zamość,0,EPZA,,,,,,50,2009-01-24T10:13:01+00:00
30582,EPZP,small_airport,"Zielona Góra-Przylep Airport",51.97890090942383,15.463899612426758,249,EU,PL,PL-LB,"Zielona Góra",0,EPZP,,,,,,50,2009-01-24T10:15:08+00:00
44738,EPKW,small_airport,"Bielsko-Bialo Kaniow Airfield",49.9399986267,19.021999359099997,1316,EU,PL,PL-SL,Czechowice-Dziedzice,0,EPKW,QEO,,http://www.parklotniczy.pl/,,"Czechowice-Dziedzice Airfield, Lotnisko Bielsko-Biała Kaniów",0,2011-10-16T12:41:35+00:00
2639,EPZG,medium_airport,"Zielona Góra-Babimost Airport",52.138500213600004,15.7986001968,194,EU,PL,PL-LB,Babimost,1,EPZG,IEG,,http://www.lotnisko.zielonagora.pl/,http://en.wikipedia.org/wiki/Zielona_G%C3%B3ra_Airport,,825,2012-10-29T12:03:19+00:00
2623,EPOK,medium_airport,"Oksywie Military Air Base",54.57970047,18.51720047,144,EU,PL,PL-PM,Gdynia,0,EPOK,QYD,,,http://en.wikipedia.org/wiki/Gdynia-Kosakowo_Airport,"Oksywie Airport, Gdynia-Oksywie, Gdynia-Babie Doły, Gdynia-Kosakowo Airport",250,2015-01-27T14:18:47+00:00
30271,EPPL,small_airport,"Plock Airport",52.562198638916016,19.721399307250977,331,EU,PL,PL-MZ,,0,EPPL,,,,,,50,2008-08-03T11:28:13+00:00
2611,EPKN,small_airport,"Kamien Slaski Airport",50.529202,18.0849,683,EU,PL,PL-OP,,0,EPKN,,,http://www.opole.airport.aero,,,50,2018-03-18T03:37:49+00:00
30019,EPKB,small_airport,"Kazimierz Biskup Airport",52.31999969482422,18.170000076293945,361,EU,PL,PL-WP,,0,EPKB,,,,,,50,2008-08-03T11:28:03+00:00
31010,EPAR,small_airport,"Arłamów Airport",49.657501,22.514298,1455,EU,PL,PL-PK,Bircza,0,EPAR,,,,http://en.wikipedia.org/wiki/Ar%C5%82am%C3%B3w_Airport,"Krajna, Wola Korzeniecka",50,2017-07-23T13:45:08+00:00
43185,PL-0062,small_airport,"Watorowo Airport",53.296669006347656,18.413330078125,299,EU,PL,PL-KP,Chełmno,0,,,,,,,50,2009-01-24T11:33:25+00:00
2607,EPDE,medium_airport,"Deblin Military Air Base",51.551399231,21.8936004639,392,EU,PL,PL-LU,Dęblin,0,EPDE,,,,,"Wyższa Szkoła Oficerska Sił Powietrznych",50,2012-10-30T03:30:08+00:00
43170,PL-0049,small_airport,"Łagowo Airport",51.96666717529297,16.983333587646484,295,EU,PL,PL-WP,Dolsk,0,,,,,,,50,2009-01-24T11:32:57+00:00
29991,EPJG,small_airport,"Jelenia Góra Glider Airport",50.89889907836914,15.785599708557129,1119,EU,PL,PL-DS,"Jelenia Góra",0,EPJG,,,,,,50,2009-01-24T09:54:38+00:00
30024,EPKE,small_airport,"Kȩtrzyn-Wilamowo Airport",54.04359817504883,21.432199478149414,417,EU,PL,PL-WN,Kȩtrzyn,0,EPKE,,,,,,50,2009-01-24T09:55:40+00:00
