id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
4461,LPPT,large_airport,"Humberto Delgado Airport (Lisbon Portela Airport)",38.7813,-9.13592,374,EU,PT,PT-11,Lisbon,1,LPPT,LIS,,http://www.ana.pt/en-US/Aeroportos/lisboa/Lisboa/Pages/HomeLisboa.aspx,http://en.wikipedia.org/wiki/Lisbon_Portela_Airport,Lisboa,1011275,2018-03-17T17:43:44+00:00
4448,LPFR,large_airport,"Faro Airport",37.0144004822,-7.96590995789,24,EU,PT,PT-08,Faro,1,LPFR,FAO,,http://www.ana.pt/en-US/Aeroportos/algarve/Faro/Pages/HomeFaro.aspx,http://en.wikipedia.org/wiki/Faro_Airport_(Portugal),,1150,2015-08-27T10:07:07+00:00
4459,LPPR,large_airport,"Francisco de Sá Carneiro Airport",41.2481002808,-8.68138980865,228,EU,PT,PT-13,Porto,1,LPPR,OPO,,http://www.ana.pt/en-US/Aeroportos/porto/Porto/Pages/Homepage-Porto.aspx,http://en.wikipedia.org/wiki/Francisco_S%C3%A1_Carneiro_Airport,,1150,2015-08-27T10:05:51+00:00
4452,LPMA,medium_airport,"Madeira Airport",32.697899,-16.7745,192,EU,PT,PT-30,Funchal,1,LPMA,FNC,,http://www.ana.pt/en-US/Aeroportos/Madeira/Funchal/Pages/default.aspx,http://en.wikipedia.org/wiki/Madeira_Airport,LPFU,875,2018-09-19T01:15:53+00:00
4456,LPPD,large_airport,"João Paulo II Airport",37.7411994934,-25.6979007721,259,EU,PT,PT-20,"Ponta Delgada",1,LPPD,PDL,,http://www.ana.pt/en-US/Aeroportos/acores/PontaDelgada/Pages/Homepage-PontaDelgada.aspx,http://en.wikipedia.org/wiki/Jo%C3%A3o_Paulo_II_Airport,,875,2015-08-27T10:09:19+00:00
4451,LPLA,large_airport,"Lajes Airport",38.761799,-27.090799,180,EU,PT,PT-20,"Praia da Vitória",1,LPLA,TER,,http://aerogarelajes.azores.gov.pt,http://en.wikipedia.org/wiki/Lajes_Field,"Terceira Island",1050,2017-02-01T18:48:37+00:00
4439,LPAZ,medium_airport,"Santa Maria Airport",36.97140121459961,-25.17060089111328,308,EU,PT,PT-20,"Vila do Porto",1,LPAZ,SMA,,,http://en.wikipedia.org/wiki/Santa_Maria_Airport,,1050,2008-08-17T17:28:25+00:00
4458,LPPM,medium_airport,"Portimão Airport",37.1493,-8.58396,5,EU,PT,PT-08,Portimão,1,LPPM,PRM,,,https://en.wikipedia.org/wiki/Portim%C3%A3o_Airport,,250,2018-03-24T21:14:16+00:00
4444,LPCS,medium_airport,"Cascais Airport",38.724998,-9.35523,325,EU,PT,PT-11,Cascais,1,LPCS,CAT,,http://aerodromo-cascais.pt/?lang=en,http://en.wikipedia.org/wiki/Cascais_Aerodrome,,50,2018-03-24T21:19:46+00:00
