id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
6384,TJSJ,large_airport,"Luis Munoz Marin International Airport",18.4393997192,-66.0018005371,9,NA,PR,PR-U-A,"San Juan",1,TJSJ,SJU,SJU,,http://en.wikipedia.org/wiki/Luis_Mu%C3%B1oz_Mar%C3%ADn_International_Airport,"Isla Verde",1012275,2013-08-29T11:26:26+00:00
6381,TJIG,medium_airport,"Fernando Luis Ribas Dominicci Airport",18.45680046081543,-66.09809875488281,10,NA,PR,PR-U-A,"San Juan",1,TJIG,SIG,SIG,,http://en.wikipedia.org/wiki/Fernando_Luis_Ribas_Dominicci_Airport,"Isla Grande",800,2008-10-17T20:07:18+00:00
6379,TJBQ,medium_airport,"Rafael Hernandez Airport",18.49489974975586,-67.12940216064453,237,NA,PR,PR-U-A,Aguadilla,1,TJBQ,BQN,BQN,,http://en.wikipedia.org/wiki/Rafael_Hern%C3%A1ndez_Airport,"Ramey, TJFF",875,2008-10-17T20:07:16+00:00
6385,TJVQ,small_airport,"Antonio Rivera Rodriguez Airport",18.1347999573,-65.493598938,49,NA,PR,PR-U-A,"Vieques Island",0,TJVQ,VQS,VQS,,http://en.wikipedia.org/wiki/Antonio_Rivera_Rodr%C3%ADguez_Airport,,50,2012-11-22T01:28:35+00:00
42321,TJRV,small_airport,"José Aponte de la Torre Airport",18.245300293,-65.6434020996,38,NA,PR,PR-U-A,Ceiba,1,TJRV,NRR,RVR,,http://en.wikipedia.org/wiki/Jos%C3%A9_Aponte_de_la_Torre_Airport,"Formerly Roosevelt Roads Naval Air Station, Formerly NRR, Formerly TJNR",50,2015-12-19T23:27:05+00:00
42320,TJCP,small_airport,"Benjamin Rivera Noriega Airport",18.313289,-65.304324,49,NA,PR,PR-U-A,"Culebra Island",0,TJCP,CPX,CPX,,http://en.wikipedia.org/wiki/Benjam%C3%ADn_Rivera_Noriega_Airport,"Culebra Airport",50,2010-02-21T12:01:27+00:00
24223,PR20,small_airport,"Adjuntas Airport",18.1802,-66.756897,2340,NA,PR,PR-U-A,Adjuntas,0,PR20,,PR20,,,,50,2016-07-31T13:18:48+00:00
6382,TJMZ,medium_airport,"Eugenio Maria De Hostos Airport",18.255699157714844,-67.14849853515625,28,NA,PR,PR-U-A,Mayaguez,1,TJMZ,MAZ,MAZ,,http://en.wikipedia.org/wiki/Eugenio_Mar%C3%ADa_de_Hostos_Airport,,875,2008-06-13T14:30:04+00:00
6383,TJPS,medium_airport,"Mercedita Airport",18.00830078125,-66.56300354003906,29,NA,PR,PR-U-A,Ponce,1,TJPS,PSE,PSE,,http://en.wikipedia.org/wiki/Mercedita_Airport,,875,2008-06-13T14:30:04+00:00
6378,TJAB,medium_airport,"Antonio Nery Juarbe Pol Airport",18.4500007629,-66.6753005981,23,NA,PR,PR-U-A,Arecibo,0,TJAB,ARE,ABO,,http://en.wikipedia.org/wiki/Antonio_(Nery)_Juarbe_Pol_Airport,,250,2012-06-17T19:03:18+00:00
6380,TJFA,medium_airport,"Diego Jimenez Torres Airport",18.308900833129883,-65.66190338134766,64,NA,PR,PR-U-A,Fajardo,0,TJFA,FAJ,X95,,http://en.wikipedia.org/wiki/Diego_Jim%C3%A9nez_Torres_Airport,,250,2008-06-13T14:30:04+00:00
42317,PR-HUC,small_airport,"Humacao Airport",18.1380996704,-65.8013000488,33,NA,PR,PR-U-A,Humacao,0,,HUC,X63,,http://en.wikipedia.org/wiki/Humacao_Airport,,50,2010-01-04T07:15:05+00:00
24236,PR34,seaplane_base,"San Juan Seaplane Base",18.457799911499997,-66.1211013794,10,NA,PR,PR-U-A,"San Juan",1,PR34,,PR34,,,,25,2012-09-12T01:25:19+00:00
308018,PR-0005,closed,"[DELETE] Areopuerto Internacional Michael Gonzalez Figueroa",17.9578321023,-66.8408203125,9,NA,PR,PR-U-A,Adjuntas,1,,,,,,,0,2012-11-23T09:22:15+00:00
42324,PR-0003,small_airport,"Labadle Airport",18.448699951171875,-67.0625991821289,540,NA,PR,PR-U-A,Aceitunas,0,,,,,,,50,2008-10-17T20:07:22+00:00
