id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
5653,RKSI,large_airport,"Incheon International Airport",37.46910095214844,126.45099639892578,23,AS,KR,KR-28,Seoul,1,RKSI,ICN,,,http://en.wikipedia.org/wiki/Incheon_International_Airport,,51675,2008-12-19T20:11:18+00:00
5656,RKSS,large_airport,"Gimpo International Airport",37.5583,126.791,59,AS,KR,KR-11,Seoul,1,RKSS,GMP,,http://gimpo.airport.co.kr/eng/index.jsp,http://en.wikipedia.org/wiki/Gimpo_International_Airport,,51675,2017-12-17T08:39:33+00:00
5642,RKPK,large_airport,"Gimhae International Airport",35.1795005798,128.93800354,6,AS,KR,KR-26,Busan,1,RKPK,PUS,,http://gimhae.airport.co.kr/eng/index.jsp,http://en.wikipedia.org/wiki/Gimhae_International_Airport,"Kimhae, Pusan",1275,2011-12-08T13:48:11+00:00
5639,RKPC,large_airport,"Jeju International Airport",33.51129913330078,126.49299621582031,118,AS,KR,KR-49,"Jeju City",1,RKPC,CJU,,,http://en.wikipedia.org/wiki/Jeju_International_Airport,,51275,2009-01-29T22:03:40+00:00
5655,RKSO,large_airport,"Osan Air Base",37.090599,127.029999,38,AS,KR,KR-41,,0,RKSO,OSN,,,https://en.wikipedia.org/wiki/Osan_Air_Base,,850,2016-05-31T09:38:02+00:00
5643,RKPS,medium_airport,"Sacheon Air Base/Airport",35.088591,128.071747,25,AS,KR,KR-48,Sacheon,1,RKPS,HIN,,,http://en.wikipedia.org/wiki/Sacheon_Airport,,1050,2017-04-13T05:14:23+00:00
5630,RKJJ,medium_airport,"Gwangju Airport",35.123173,126.805444,39,AS,KR,KR-29,Gwangju,1,RKJJ,KWJ,,http://gwangju.airport.co.kr/doc/gwangju/index.jsp,http://en.wikipedia.org/wiki/Gwangju_Airport,,1050,2017-04-12T01:54:34+00:00
5663,RKTU,large_airport,"Cheongju International Airport/Cheongju Air Base (K-59/G-513)",36.717008,127.498741,191,AS,KR,KR-43,Cheongju,1,RKTU,CJJ,,http://cheongju.airport.co.kr/doc/cheongju_eng/,http://en.wikipedia.org/wiki/Cheongju_Airport,,1050,2017-05-13T17:39:13+00:00
5661,RKTN,medium_airport,"Daegu Airport",35.896872,128.65531,116,AS,KR,KR-27,Daegu,1,RKTN,TAE,,,http://en.wikipedia.org/wiki/Daegu_Airport,,1050,2017-04-10T02:49:16+00:00
