id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
4482,LROP,large_airport,"Henri Coandă International Airport",44.5711111,26.085,314,EU,RO,RO-B,Bucharest,1,LROP,OTP,,http://www.bucharestairports.ro/en/,http://en.wikipedia.org/wiki/Henri_Coand%C4%83_International_Airport,"BUH, Otopeni Airport, RoAF 90th Airlift Base",1675,2016-09-09T07:42:26+00:00
4474,LRBS,medium_airport,"Băneasa International Airport",44.50320053100586,26.102100372314453,297,EU,RO,RO-B,Bucharest,1,LRBS,BBU,,http://www.baneasa-airport.ro/,http://en.wikipedia.org/wiki/Aurel_Vlaicu_International_Airport,"BUH, Aurel Vlaicu International Airport",975,2008-07-13T21:58:18+00:00
4476,LRCL,medium_airport,"Cluj-Napoca International Airport",46.78519821166992,23.686199188232422,1036,EU,RO,RO-CJ,Cluj-Napoca,1,LRCL,CLJ,,http://www.airportcluj.ro/,http://en.wikipedia.org/wiki/Cluj-Napoca_International_Airport,"Someşeni Airport",975,2008-06-13T14:30:04+00:00
4488,LRTR,medium_airport,"Timişoara Traian Vuia Airport",45.809898376464844,21.337900161743164,348,EU,RO,RO-TM,Timişoara,1,LRTR,TSR,,http://www.aerotim.ro/,http://en.wikipedia.org/wiki/Traian_Vuia_International_Airport,"RoAF 93rd Air Base, Giarmata Airport, Temesvár, Temeschburg, Temeswar, Temeschwar, Тимишоара, Темишвар, Temišvar, Banat",1050,2008-06-13T14:30:04+00:00
4483,LRSB,medium_airport,"Sibiu International Airport",45.78559875488281,24.091299057006836,1496,EU,RO,RO-SB,Sibiu,1,LRSB,SBZ,,http://www.sibiuairport.ro/,http://en.wikipedia.org/wiki/Sibiu_International_Airport,,800,2008-06-13T14:30:04+00:00
4475,LRCK,medium_airport,"Mihail Kogălniceanu International Airport",44.36220169067383,28.488300323486328,353,EU,RO,RO-CT,Constanţa,1,LRCK,CND,,,http://en.wikipedia.org/wiki/Mihail_Kog%C4%83lniceanu_International_Airport,"Mihail Kogalniceanu, RoAF 57th Air Base",1050,2008-06-13T14:30:04+00:00
4480,LRIA,medium_airport,"Iaşi Airport",47.17850112915039,27.6205997467041,397,EU,RO,RO-IS,Iaşi,1,LRIA,IAS,,http://www.aeroport.ro/,http://en.wikipedia.org/wiki/Ia%C5%9Fi_International_Airport,"Iasi, Jassy",800,2008-06-13T14:30:04+00:00
4479,LRCV,medium_airport,"Craiova Airport",44.31809997558594,23.888599395751953,626,EU,RO,RO-DJ,Craiova,0,LRCV,CRA,,http://www.aeroportcraiova.ro/,http://en.wikipedia.org/wiki/Craiova_Airport,,250,2008-06-13T14:30:04+00:00
4487,LRTM,medium_airport,"Transilvania Târgu Mureş International Airport",46.46770095825195,24.412500381469727,963,EU,RO,RO-MS,"Târgu Mureş",1,LRTM,TGM,,,http://en.wikipedia.org/wiki/T%C3%A2rgu_Mure%C5%9F_International_Airport,"Vidrasau, Vidrasău",975,2008-06-13T14:30:04+00:00
4472,LRBC,medium_airport,"Bacău Airport",46.52190017700195,26.91029930114746,607,EU,RO,RO-BC,Bacău,1,LRBC,BCM,,http://www.bacauairport.ro/,http://en.wikipedia.org/wiki/Bac%C4%83u_International_Airport,"Bacau, RoAF 95th Air Base",800,2008-06-13T14:30:04+00:00
4485,LRSV,medium_airport,"Suceava Stefan cel Mare Airport",47.6875,26.35409927368164,1375,EU,RO,RO-SV,Suceava,1,LRSV,SCV,,http://www.aeroportsuceava.ro/index_en.html,http://en.wikipedia.org/wiki/Suceava_Airport,,800,2008-06-13T14:30:04+00:00
4486,LRTC,medium_airport,"Tulcea Airport",45.0625,28.71430015563965,200,EU,RO,RO-TL,Tulcea,0,LRTC,TCE,,,http://en.wikipedia.org/wiki/Tulcea_Airport,"Cataloi Airport",250,2008-06-13T14:30:04+00:00
4481,LROD,medium_airport,"Oradea International Airport",47.025299072265625,21.90250015258789,465,EU,RO,RO-BH,Oradea,1,LROD,OMR,,,http://en.wikipedia.org/wiki/Oradea_International_Airport,,975,2008-06-13T14:30:04+00:00
30501,LRTZ,small_airport,"Tuzla Romania Airport",43.98419952392578,28.609699249267578,161,EU,RO,RO-CT,,0,LRTZ,,,,,,50,2008-06-13T14:30:04+00:00
4471,LRAR,medium_airport,"Arad International Airport",46.17660140991211,21.261999130249023,352,EU,RO,RO-AR,Arad,1,LRAR,ARW,,,http://en.wikipedia.org/wiki/Arad_International_Airport,,975,2008-06-13T14:30:04+00:00
4477,LRCS,medium_airport,"Caransebeş Airport",45.41999816894531,22.253299713134766,866,EU,RO,RO-CS,Caransebeş,0,LRCS,CSB,,,http://en.wikipedia.org/wiki/Caransebe%C5%9F_Airport,"Caransebes, Reşiţa",250,2008-06-13T14:30:04+00:00
313619,RO-0004,small_airport,"Ineu ""King's Land"" field",47.079167,22.100278,498,EU,RO,RO-BN,,0,,,,http://www.fly2romania.com/,,,0,2015-01-11T13:56:19+00:00
311939,RO-0002,small_airport,Banesti,45.068671,25.80637,,EU,RO,RO-PH,,0,,,,,,,0,2016-04-29T07:14:28+00:00
309711,lrpv,small_airport,"Aerodromul Strejnic",44.923669841599995,25.9634184837,240,EU,RO,RO-PH,Ploiesti,0,LRPV,,,http://aeroclubulromaniei.ro/schools/ploiesti---gheorghe-banciulescu.html,,,0,2013-10-06T04:13:00+00:00
4473,LRBM,medium_airport,"Tautii Magheraus Airport",47.65840148925781,23.469999313354492,605,EU,RO,RO-MM,"Baia Mare",1,LRBM,BAY,,,http://en.wikipedia.org/wiki/Baia_Mare_Airport,,800,2008-06-13T14:30:04+00:00
4484,LRSM,medium_airport,"Satu Mare Airport",47.70330047607422,22.885700225830078,405,EU,RO,RO-SM,"Satu Mare",1,LRSM,SUJ,,,http://en.wikipedia.org/wiki/Satu_Mare_International_Airport,,800,2008-06-13T14:30:04+00:00
5670,LR82,medium_airport,"Boboc Air Base",45.2164,26.9786,344,EU,RO,RO-BZ,Boboc,0,LRBO,,,,,"RoAF Aurel Vlaicu Flight School",250,2017-10-21T01:27:14+00:00
4478,LRCT,medium_airport,"Câmpia Turzii Air Base",46.50230026245117,23.885900497436523,1083,EU,RO,RO-CJ,"Câmpia Turzii",0,LRCT,,,http://www.roaf.ro/en/unitati/bz71_en.php,http://en.wikipedia.org/wiki/RoAF_71st_Air_Base,"Campia Turzii, Luna Airport, RoAF 71st Air Base",250,2008-06-13T14:30:04+00:00
5668,LR80,medium_airport,"Feteşti Air Base",44.3923,27.7267,180,EU,RO,RO-IL,Feteşti,0,LRFT,,,http://www.roaf.ro/en/unitati/bz86_en.php,http://en.wikipedia.org/wiki/RoAF_86th_Air_Base,"Fetesti, Cocargeaua Airport, RoAF 86th Air Base",250,2017-10-19T02:41:42+00:00
5667,LR79,medium_airport,"Ianca Air Base",45.158699,27.430901,131,EU,RO,RO-BR,Ianca,0,,,,,,,250,2017-10-21T01:25:55+00:00
5669,LR81,closed,"Deveselu Air Base",44.0773010254,24.4164009094,289,EU,RO,RO-OT,Deveselu,0,,,,,,LR81,50,2009-09-10T15:13:29+00:00
323634,RO-0026,small_airport,"Salonti Airstrip",45.9416179,23.7606823,,EU,RO,RO-AB,,0,,,,,,,0,2017-06-03T23:57:41+00:00
315893,RO-0010,small_airport,"Aerodrom Ghimbav",45.6978996,25.5283994,,EU,RO,RO-BV,,0,,,,,,,0,2015-10-20T03:27:05+00:00
315897,RO-0011,small_airport,"Aerodrom Prejmer",45.6976714,25.7797231,548,EU,RO,RO-BV,,0,,,,http://www.aerodromprejmer.ro/,,,0,2015-10-20T03:43:32+00:00
315478,RO-0005,small_airport,"Aerodrom Sălicea",46.6830919,23.5076486,,EU,RO,RO-CJ,,0,,,,,,,0,2015-09-18T15:57:35+00:00
