id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
26396,UUEE,large_airport,"Sheremetyevo International Airport",55.972599,37.4146,622,EU,RU,RU-MOS,Moscow,1,UUEE,SVO,,http://www.svo.aero/en/,http://en.wikipedia.org/wiki/Sheremetyevo_International_Airport,"MOW, Международный аэропорт Шереметьево, svo, sheremetyevo, moscow",1012675,2016-10-24T15:52:44+00:00
26394,UUDD,large_airport,"Domodedovo International Airport",55.40879821777344,37.90629959106445,588,EU,RU,RU-MOS,Moscow,1,UUDD,DME,,http://www.domodedovo.ru/en/,http://en.wikipedia.org/wiki/Domodedovo_International_Airport,"MOW, Аэропорт Домоде́дово",51200,2008-06-13T14:30:04+00:00
6489,ULLI,large_airport,"Pulkovo Airport",59.80030059814453,30.262500762939453,78,EU,RU,RU-SPE,"St. Petersburg",1,ULLI,LED,,http://www.pulkovoairport.ru/,http://en.wikipedia.org/wiki/Pulkovo_Airport,"Аэропо́рт Пу́лково, Leningrad, Shosseynaya Airport, Saint Petersburg, Petrograd",1200,2008-06-13T14:30:04+00:00
26401,UUWW,large_airport,"Vnukovo International Airport",55.5914993286,37.2615013123,685,EU,RU,RU-MOS,Moscow,1,UUWW,VKO,,http://www.vnukovo.ru/eng,http://en.wikipedia.org/wiki/Vnukovo_International_Airport,"MOW, Международный аэропорт Внуково",875,2013-10-06T05:53:16+00:00
6519,URSS,large_airport,"Sochi International Airport",43.449902,39.9566,89,EU,RU,RU-KDA,Sochi,1,URSS,AER,,http://basel.aero/en/sochi/,http://en.wikipedia.org/wiki/Sochi_International_Airport,"Adler Airport, Black Sea, Международный Аэропорт Сочи",1200,2017-01-20T16:06:45+00:00
6507,UNNT,large_airport,"Tolmachevo Airport",55.012599945068,82.650703430176,365,AS,RU,RU-NVS,Novosibirsk,1,UNNT,OVB,,http://eng.tolmachevo.ru/,http://en.wikipedia.org/wiki/Tolmachevo_Airport,,875,2015-08-21T19:49:29+00:00
26378,USSS,large_airport,"Koltsovo Airport",56.743099212646,60.802700042725,764,AS,RU,RU-SVE,Yekaterinburg,1,USSS,SVX,,http://www.koltsovo.ru/en/,http://en.wikipedia.org/wiki/Koltsovo_Airport,,1150,2015-07-26T09:12:21+00:00
6462,UHWW,medium_airport,"Vladivostok International Airport",43.39899826049805,132.1479949951172,46,AS,RU,RU-PRI,Vladivostok,1,UHWW,VVO,,http://www.vladivostokavia.ru/en/airport/,http://en.wikipedia.org/wiki/Vladivostok_International_Airport,"Vladivostok-Knevichi Airport",875,2009-01-08T14:05:27+00:00
6455,UHHH,large_airport,"Khabarovsk-Novy Airport",48.52799987793,135.18800354004,244,AS,RU,RU-KHA,Khabarovsk,1,UHHH,KHV,,http://airkhv.ru/,http://en.wikipedia.org/wiki/Khabarovsk_Novy_Airport,"Аэропорт Хабаровск-Новый",875,2015-09-02T13:28:16+00:00
