id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
5097,OEJN,large_airport,"King Abdulaziz International Airport",21.6796,39.156502,48,AS,SA,SA-02,Jeddah,1,OEJN,JED,,http://www.jed-airport.com/,http://en.wikipedia.org/wiki/King_Abdulaziz_International_Airport,"Mecca, Hajj",1013075,2016-11-17T21:21:49+00:00
5112,OERK,large_airport,"King Khaled International Airport",24.957599639892578,46.69879913330078,2049,AS,SA,SA-01,Riyadh,1,OERK,RUH,,,http://en.wikipedia.org/wiki/King_Khalid_International_Airport,Riyad,51600,2008-06-13T14:30:04+00:00
5087,OEDF,large_airport,"King Fahd International Airport",26.471200942993164,49.79790115356445,72,AS,SA,SA-04,"Ad Dammam",1,OEDF,DMM,,,http://en.wikipedia.org/wiki/King_Fahd_International_Airport,,1675,2008-06-13T14:30:04+00:00
5101,OEMA,large_airport,"Prince Mohammad Bin Abdulaziz Airport",24.5534,39.705101,2151,AS,SA,SA-03,Medina,1,OEMA,MED,,http://www.tibahairports.com/en-EN/Pages/Main.aspx,http://en.wikipedia.org/wiki/Prince_Mohammad_Bin_Abdulaziz_Airport,Medinah,1475,2017-03-16T04:19:53+00:00
5121,OETB,medium_airport,"Tabuk Airport",28.3654,36.6189,2551,AS,SA,SA-07,Tabuk,1,OETB,TUU,,,http://en.wikipedia.org/wiki/Tabuk_Regional_Airport,,1050,2016-02-13T23:27:11+00:00
5090,OEGN,medium_airport,"Jizan Regional Airport",16.901100158691406,42.58580017089844,20,AS,SA,SA-09,Jizan,1,OEGN,GIZ,,,http://en.wikipedia.org/wiki/Gizan_Regional_Airport,"Gizan, King Abdullah Bin Abdulaziz Airport",1000,2008-06-13T14:30:04+00:00
5122,OETF,medium_airport,"Ta’if Regional Airport",21.483001,40.543442,4848,AS,SA,SA-02,Ta’if,1,OETF,TIF,,,http://en.wikipedia.org/wiki/Ta%E2%80%99if_Regional_Airport,"Taif Airport",875,2016-02-13T23:43:31+00:00
5089,OEDR,large_airport,"King Abdulaziz Air Base",26.265399932900003,50.152000427199994,84,AS,SA,SA-04,,0,OEDR,DHA,,,http://en.wikipedia.org/wiki/Dhahran_International_Airport,,1075,2010-01-22T17:44:27+00:00
5091,OEGS,medium_airport,"Gassim Airport",26.302799224853516,43.77439880371094,2126,AS,SA,SA-05,,1,OEGS,ELQ,,,http://en.wikipedia.org/wiki/Gassim_Regional_Airport,,1000,2008-06-13T14:30:04+00:00
5082,OEAB,medium_airport,"Abha Regional Airport",18.240400314299997,42.65660095210001,6858,AS,SA,SA-14,Abha,1,OEAB,AHB,,,http://en.wikipedia.org/wiki/Abha_Regional_Airport,,1050,2010-09-02T22:09:53+00:00
5114,OERR,medium_airport,"Arar Domestic Airport",30.906600952148438,41.13819885253906,1813,AS,SA,SA-08,Arar,1,OERR,RAE,,,http://en.wikipedia.org/wiki/Arar_Domestic_Airport,,800,2008-06-13T14:30:04+00:00
5083,OEAH,medium_airport,"Al Ahsa Airport",25.28529930114746,49.485198974609375,588,AS,SA,SA-04,,1,OEAH,HOF,,,http://en.wikipedia.org/wiki/Al-Ahsa_Domestic_Airport,,1050,2008-06-13T14:30:04+00:00
5084,OEBA,medium_airport,"Al Baha Airport",20.2961006165,41.6343002319,5486,AS,SA,SA-11,,1,OEBA,ABT,,,http://en.wikipedia.org/wiki/Al-Baha_Domestic_Airport,Al-Aqiq,1050,2012-06-08T23:25:17+00:00
5093,OEHL,medium_airport,"Ha'il Airport",27.437901,41.686298,3331,AS,SA,SA-06,Ha'il,1,OEHL,HAS,,,http://en.wikipedia.org/wiki/Ha'il_Regional_Airport,"Hail Airport",1050,2016-10-05T12:28:09+00:00
5125,OETR,medium_airport,"Turaif Domestic Airport",31.692188,38.731544,2803,AS,SA,SA-08,Turaif,1,OETR,TUI,,,http://en.wikipedia.org/wiki/Turaif_Domestic_Airport,,875,2016-02-13T23:48:14+00:00
5092,OEGT,medium_airport,"Gurayat Domestic Airport",31.412413,37.278898,1672,AS,SA,SA-08,Gurayat,1,OEGT,URY,,,http://en.wikipedia.org/wiki/Gurayat_Domestic_Airport,"Guriat Airport",800,2016-02-13T23:35:32+00:00
5103,OEPA,medium_airport,"Al Qaisumah/Hafr Al Batin Airport",28.335199,46.125099,1174,AS,SA,SA-04,Qaisumah,1,OEPA,AQI,,,https://en.wikipedia.org/wiki/Al_Qaisumah/Hafr_Al_Batin_Airport,"Qaisumah Domestic Airport",800,2016-05-29T13:18:40+00:00
5127,OEWD,medium_airport,"Wadi Al Dawasir Airport",20.504299163800003,45.199600219699995,2062,AS,SA,SA-01,,1,OEWD,WAE,,,http://en.wikipedia.org/wiki/Wadi_al-Dawasir_Domestic_Airport,,1050,2013-03-31T19:19:51+00:00
5119,OESK,medium_airport,"Al-Jawf Domestic Airport",29.78510093688965,40.099998474121094,2261,AS,SA,SA-12,Al-Jawf,1,OESK,AJF,,,http://en.wikipedia.org/wiki/Al-Jawf_Domestic_Airport,"Al Jouf Airport",1000,2008-07-11T08:55:34+00:00
5129,OEYN,medium_airport,"Prince Abdulmohsin Bin Abdulaziz Airport",24.144199,38.0634,26,AS,SA,SA-03,Yanbu,1,OEYN,YNB,,https://gaca.gov.sa/web/en-gb/airport/prince-abdulmohsin-bin-abdulaziz-airport,http://en.wikipedia.org/wiki/Yenbo_Airport,Yenbo,1000,2016-04-29T09:17:34+00:00
5085,OEBH,medium_airport,"Bisha Airport",19.984399795532227,42.62089920043945,3887,AS,SA,SA-14,,1,OEBH,BHH,,,http://en.wikipedia.org/wiki/Bisha_Domestic_Airport,,875,2008-06-13T14:30:04+00:00
5102,OENG,medium_airport,"Nejran Airport",17.611400604248047,44.4192008972168,3982,AS,SA,SA-10,,1,OENG,EAM,,,http://en.wikipedia.org/wiki/Najran_Domestic_Airport,,800,2008-06-13T14:30:04+00:00
5116,OERY,medium_airport,"Riyadh Air Base",24.709800720214844,46.72520065307617,2082,AS,SA,SA-01,Riyadh,0,OERY,XXN,,,http://en.wikipedia.org/wiki/Riyadh_Air_Base,Riyad,475,2008-06-13T14:30:04+00:00
5118,OESH,medium_airport,"Sharurah Airport",17.466899871826172,47.12139892578125,2363,AS,SA,SA-10,,1,OESH,SHW,,,http://en.wikipedia.org/wiki/Sharurah_Domestic_Airport,,1000,2008-06-13T14:30:04+00:00
5128,OEWJ,medium_airport,"Al Wajh Domestic Airport",26.19860076904297,36.47639846801758,66,AS,SA,SA-07,"Al Wajh",1,OEWJ,EJH,,,http://en.wikipedia.org/wiki/Wedjh_Domestic_Airport,Wejh,1000,2008-06-13T14:30:04+00:00
5098,OEKK,medium_airport,"King Khaled Military City Airport",27.9009,45.528198,1352,AS,SA,SA-04,"King Khaled Military City",1,OEKK,KMC,,,https://en.wikipedia.org/wiki/King_Khaled_Military_City_Airport,,875,2016-05-29T13:11:01+00:00
