id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
3125,GOOY,large_airport,"Léopold Sédar Senghor International Airport",14.739700317382812,-17.49020004272461,85,AF,SN,SN-DK,Dakar,1,GOOY,DKR,,http://www.aeroportdakar.com/,http://en.wikipedia.org/wiki/Dakar-Yoff-L%C3%A9opold_S%C3%A9dar_Senghor_International_Airport,,1050,2009-04-01T13:54:29+00:00
3123,GOGS,medium_airport,"Cap Skirring Airport",12.39533,-16.748,52,AF,SN,SN-ZG,"Cap Skirring",1,GOGS,CSK,,,http://en.wikipedia.org/wiki/Cap_Skirring_Airport,,875,2017-05-05T14:42:55+00:00
3127,GOTB,medium_airport,"Bakel Airport",14.847299575805664,-12.468299865722656,98,AF,SN,SN-TC,Bakel,0,GOTB,BXE,,,http://en.wikipedia.org/wiki/Bakel_Airport,,250,2009-04-01T13:51:48+00:00
3124,GOOK,medium_airport,"Kaolack Airport",14.146900177001953,-16.051300048828125,26,AF,SN,SN-FK,Kaolack,0,GOOK,KLC,,,http://en.wikipedia.org/wiki/Kaolack_Airport,,250,2009-04-01T13:55:44+00:00
325736,GOBD,large_airport,"Blaise Diagne International Airport",14.67,-17.073333,290,AF,SN,SN-DK,Dakar,1,GOBD,DSS,,http://www.dakaraeroport.com/,https://en.wikipedia.org/wiki/Blaise_Diagne_International_Airport,"dakar,new dakar airport, dakar airport, diass airport",0,2019-01-13T13:49:28+00:00
3126,GOSS,medium_airport,"Saint Louis Airport",16.050800323486328,-16.463199615478516,9,AF,SN,SN-SL,"Saint Louis",1,GOSS,XLS,,,http://en.wikipedia.org/wiki/Saint_Louis_Airport,,875,2008-12-30T14:07:23+00:00
3129,GOTT,medium_airport,"Tambacounda Airport",13.736800193786621,-13.65310001373291,161,AF,SN,SN-TC,Tambacounda,1,GOTT,TUD,,,http://en.wikipedia.org/wiki/Tambacounda_Airport,,800,2008-12-30T14:07:23+00:00
3122,GOGG,medium_airport,"Ziguinchor Airport",12.5556,-16.281799,75,AF,SN,SN-ZG,Ziguinchor,1,GOGG,ZIG,,,http://en.wikipedia.org/wiki/Ziguinchor_Airport,"Basse Casamance",800,2016-02-17T17:37:16+00:00
3128,GOTK,medium_airport,"Kédougou Airport",12.57229995727539,-12.22029972076416,584,AF,SN,SN-TC,Kédougou,0,GOTK,KGG,,,http://en.wikipedia.org/wiki/K%C3%A9dougou_Airport,,250,2009-04-01T13:56:34+00:00
6196,GO66,small_airport,"Dodji Airport",15.543899536132812,-14.95829963684082,66,AF,SN,SN-LG,Dodji,0,GO66,,GO66,,,,50,2008-12-30T14:07:23+00:00
6197,GODK,small_airport,"Kolda North Airport",12.898500442504883,-14.968099594116211,33,AF,SN,SN-KD,Kolda,0,GODK,KDA,GODK,,http://en.wikipedia.org/wiki/Kolda_North_Airport,,50,2009-04-01T13:57:34+00:00
31879,GOSM,medium_airport,"Ouro Sogui Airport",15.593600273132324,-13.322799682617188,85,AF,SN,SN-SL,Matam,1,GOSM,MAX,,,http://en.wikipedia.org/wiki/Ouro_Sogui_Airport,,50,2009-04-01T13:58:41+00:00
32169,GOSP,small_airport,"Podor Airport",16.683000564575195,-14.967000007629395,20,AF,SN,SN-SL,Podor,0,GOSP,POD,,,http://en.wikipedia.org/wiki/Podor_Airport,,50,2009-04-01T13:59:44+00:00
32202,GOSR,small_airport,"Richard Toll Airport",16.433000564575195,-15.649999618530273,20,AF,SN,SN-SL,"Richard Toll",0,GOSR,RDT,,,http://en.wikipedia.org/wiki/Richard_Toll_Airport,,50,2009-04-01T14:00:21+00:00
32332,GOTS,small_airport,"Simenti Airport",13.046799659729004,-13.29539966583252,171,AF,SN,SN-TC,Simenti,0,GOTS,SMY,,,http://en.wikipedia.org/wiki/Simenti_Airport,,50,2009-04-01T13:50:43+00:00
318894,SN-0001,small_airport,"Thiès Airport",14.809398,-16.95066,,AF,SN,SN-TH,Thiès,0,,,,,,,0,2016-06-18T17:36:36+00:00
