id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
4610,LYBE,large_airport,"Belgrade Nikola Tesla Airport",44.8184013367,20.3090991974,335,EU,RS,RS-00,Belgrade,1,LYBE,BEG,,http://www.beg.aero/,http://en.wikipedia.org/wiki/Belgrade_Nikola_Tesla_Airport,"Beograd, Surčin Airport",1275,2014-03-22T11:38:00+00:00
4612,LYNI,medium_airport,"Nis Airport",43.337299,21.853701,648,EU,RS,RS-20,Nis,1,LYNI,INI,,,http://en.wikipedia.org/wiki/Ni%C5%A1_Constantine_the_Great_Airport,,875,2009-10-20T12:07:03+00:00
46639,LYSP,small_airport,"Rudine airfield",44.351389,20.96,,EU,RS,RS-16,"Smederevska palanka",0,LYSP,,,,,,0,2016-05-01T12:00:18+00:00
4611,LYBT,medium_airport,"Batajnica Air Base",44.935299,20.2575,265,EU,RS,RS-07,Batajnica,0,LYBT,BJY,,,http://en.wikipedia.org/wiki/Batajnica_Air_Base,,250,2009-10-20T12:07:03+00:00
4616,LYVR,small_airport,"Vršac International Airport",45.1469,21.3099,276,EU,RS,RS-04,,0,LYVR,,,,http://en.wikipedia.org/wiki/Vr%C5%A1ac_International_Airport,,50,2009-10-20T12:07:03+00:00
32190,LYNS,small_airport,"Cenej Airport",45.385799,19.839199,266,EU,RS,RS-06,"Novi Sad",0,LYNS,QND,,,,,50,2009-10-20T12:07:03+00:00
301358,LYBJ,small_airport,"Airport Lisicji Jarak",44.9397222,20.4455556,233,EU,RS,RS-00,Belgrade,0,LYBJ,,,,http://en.wikipedia.org/wiki/Lisi%C4%8Dji_Jarak_Airport,"Лисичји Јарак, Beograd-Lisičji Jarak",0,2016-09-18T05:19:38+00:00
319554,LYKA,small_airport,"Kraljevo Brege",43.7318,20.717969,660,EU,RS,RS-18,Kraljevo,0,LYKA,,,,,"Aeroklub „Mihajlo Petrović”",0,2016-07-20T08:15:10+00:00
302301,LYZR,small_airport,"Zrenjanin Airport",45.339756,20.454078,246,EU,RS,RS-02,Zrenjanin,0,LYZR,,,,http://en.wikipedia.org/wiki/Zrenjanin_Airport,,0,2016-10-31T11:09:06+00:00
