id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
2993,FSIA,large_airport,"Seychelles International Airport",-4.67434,55.521801,10,AF,SC,SC-20,"Mahe Island",1,FSIA,SEZ,,,http://en.wikipedia.org/wiki/Seychelles_International_Airport,,1050,2019-01-13T21:34:25+00:00
2994,FSPP,medium_airport,"Praslin Airport",-4.3192901611328125,55.69139862060547,10,AF,SC,SC-14,"Praslin Island",1,FSPP,PRI,,,http://en.wikipedia.org/wiki/Praslin_Island_Airport,,800,2008-12-30T14:07:23+00:00
30886,FSDR,small_airport,"Desroches Airport",-5.6967,53.6558,10,AF,SC,SC-15,"Desroches Island",0,FSDR,DES,,,http://en.wikipedia.org/wiki/Desroches_Airport,,50,2012-10-17T20:29:51+00:00
30691,FSSB,small_airport,"Bird Island Airport",-3.72472,55.205299,6,AF,SC,SC-15,"Bird Island",0,FSSB,BDI,,,,,50,2009-10-20T12:07:05+00:00
2992,FSFA,small_airport,"Farquhar Airport",-10.1096,51.176102,10,AF,SC,SC-15,"Farquhar Group",0,FSFA,,,,,,50,2009-10-20T12:07:06+00:00
2990,FSAL,small_airport,"Alphonse Airport",-7.00478,52.7262,10,AF,SC,SC-15,"Alphonse Island",1,FSAL,,,,http://en.wikipedia.org/wiki/Alphonse_Airport,,50,2012-11-24T05:46:15+00:00
2991,FSAS,small_airport,"Assumption Island Airport",-9.7422199993,46.506802,10,AF,SC,SC-U-A,"Assumption Island",0,FSAS,,,,,"assumption airport, assumption island",50,2017-06-10T01:36:14+00:00
2995,FSSC,small_airport,"Coetivy Airport",-7.13457,56.278198,10,AF,SC,SC-15,"Coetivy Island",0,FSSC,,,,,,50,2009-10-20T12:07:05+00:00
31205,FSDA,small_airport,"Darros Airport",-5.417,53.299999,10,AF,SC,SC-15,"Darros Island",0,FSDA,,,,http://en.wikipedia.org/wiki/D'Arros_Island_Airport,,50,2011-10-08T18:30:58+00:00
30884,FSSD,small_airport,"Denis Island Airport",-3.80222,55.666901,10,AF,SC,SC-15,"Denis Island",0,FSSD,DEI,,,,,50,2009-10-20T12:07:05+00:00
31204,FSSF,small_airport,"Frégate Island Airport",-4.583,55.950001,610,AF,SC,SC-15,"Frégate Island",0,FSSF,FRK,,,http://en.wikipedia.org/wiki/Fr%C3%A9gate_Island_Airport,,50,2012-02-09T15:21:12+00:00
31206,FSMA,small_airport,"Marie-Louise Airport",-6.17416,53.144402,9,AF,SC,SC-15,"Marie-Louise Island",0,FSMA,,,,,,50,2009-10-20T12:07:06+00:00
31207,FSPL,small_airport,"Platte Airport",-5.85916,55.383301,9,AF,SC,SC-15,"Platte Island",0,FSPL,,,,,,50,2009-10-20T12:07:06+00:00
31208,FSSR,small_airport,"Remire Island Airport",-5.11722,53.312199,9,AF,SC,SC-15,"Remire Island",0,FSSR,,,,,,50,2009-10-20T12:07:06+00:00
329055,SC-0003,heliport,"Ste Anne Helipad",-4.614632,55.499347,,AF,SC,SC-U-A,,0,,,,,,,0,2018-08-20T13:14:21+00:00
324057,FSSA,small_airport,"Astove Island Airport",-10.060872,47.749184,,AF,SC,SC-U-A,"Astove Island",0,FSSA,,,,,,0,2017-06-24T11:13:15+00:00
45098,SC-0001,closed,"[Duplicate] Praslin Island Airport",-4.32,55.69,3,AF,SC,SC-14,"Praslin Island",0,,PRI,,,,,0,2015-01-27T15:09:06+00:00
45158,SC-0002,closed,"[Duplicate] Praslin Island Airport",-4.320172,55.692365,3,AF,SC,SC-14,"Praslin Island",0,,PRI,,,,,0,2015-01-27T15:09:30+00:00
