id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
4617,LZIB,large_airport,"M. R. Štefánik Airport",48.17020034790039,17.21269989013672,436,EU,SK,SK-BL,Bratislava,1,LZIB,BTS,,,http://en.wikipedia.org/wiki/M._R._%C5%A0tef%C3%A1nik_Airport,,1275,2008-06-13T14:30:04+00:00
4618,LZKZ,medium_airport,"Košice Airport",48.66310119628906,21.241100311279297,755,EU,SK,SK-KI,Košice,1,LZKZ,KSC,,,http://en.wikipedia.org/wiki/Ko%C5%A1ice_International_Airport,,975,2008-06-13T14:30:04+00:00
4621,LZSL,medium_airport,"Sliač Airport",48.63779830932617,19.13409996032715,1043,EU,SK,SK-BC,Sliač,1,LZSL,SLD,,http://www.airportsliac.sk/home-engle.html,http://en.wikipedia.org/wiki/Slia%C4%8D_Airport,,900,2008-06-13T14:30:04+00:00
4623,LZTT,medium_airport,"Poprad-Tatry Airport",49.073600769,20.2411003113,2356,EU,SK,SK-KI,Poprad,1,LZTT,TAT,,,http://en.wikipedia.org/wiki/Poprad-Tatry_Airport,,375,2013-03-17T00:09:40+00:00
4622,LZTN,medium_airport,"Trenčín Airport",48.8650016785,17.9923000336,676,EU,SK,SK-TC,Trenčín,0,LZTN,,,,http://en.wikipedia.org/wiki/Tren%C4%8D%C3%ADn_Airport,,250,2015-10-08T17:00:02+00:00
30044,LZKS,closed,"Kralova pri Senci Airport",48.201099,17.471901,400,EU,SK,SK-BL,Senec,0,LZKS,,,,,,50,2018-01-22T12:42:18+00:00
30187,LZNI,small_airport,"Nitra Airfield",48.27939987,18.1327991,440,EU,SK,SK-NJ,Nitra,0,LZNI,,,,,,50,2015-11-07T14:52:27+00:00
4624,LZZI,medium_airport,"Žilina Airport",49.231498718299996,18.6135005951,1020,EU,SK,SK-ZI,Žilina,1,LZZI,ILZ,,,http://en.wikipedia.org/wiki/%C5%BDilina_Airport,,800,2013-09-26T05:56:06+00:00
4620,LZPP,medium_airport,"Piešťany Airport",48.62519836425781,17.828399658203125,545,EU,SK,SK-TA,Piešťany,0,LZPP,PZY,,http://www.ba.psg.sk/prezenta/airport-piestany/,http://en.wikipedia.org/wiki/Pie%C5%A1%C5%A5any_Airport,,300,2008-06-13T14:30:04+00:00
30288,LZPW,small_airport,"Prešov Air Base",49.02970123291,21.315599441528,1060,EU,SK,SK-PV,Prešov,0,LZPW,POV,,,https://en.wikipedia.org/wiki/Pre%C5%A1ov_Air_Base,,50,2016-01-08T13:08:22+00:00
30292,LZPE,small_airport,"Prievidza Airfield",48.766102,18.5867,850,EU,SK,SK-TC,Prievidza,0,LZPE,,,,,,50,2017-02-13T01:54:46+00:00
30408,LZSE,small_airport,"Senica Airport",48.656898498535156,17.332199096679688,610,EU,SK,SK-TA,Senica,0,LZSE,,,,,,50,2008-06-13T14:30:04+00:00
30432,LZSV,small_airport,"Spišská Nová Ves",48.940833,20.533889,,EU,SK,SK-KI,"Spišská Nová Ves",0,LZSV,,,http://www.lzsv.sk,,"Spišská Nová Ves",50,2015-11-08T02:50:58+00:00
314805,LZOC,small_airport,"Ocova airfield",48.595333333333,19.265805555556,1191,EU,SK,SK-BC,,0,LZOC,,,,,,0,2015-06-17T05:40:37+00:00
4619,LZMC,medium_airport,"Kuchyňa Air Base",48.402000427246094,17.11840057373047,679,EU,SK,SK-BL,Malacky,0,LZMC,,,,,,250,2008-06-13T14:30:04+00:00
29716,LZTR,small_airport,Trnava,48.4557991,17.5263996,656,EU,SK,SK-TA,Boleráz,0,LZTR,,,http://www.aktrnava.sk,,,50,2015-11-08T03:06:37+00:00
29830,LZDB,small_airport,Dubnica,48.996899,18.1922,771,EU,SK,SK-TC,"Dubnica nad Váhom",0,LZDB,,,http://www.akdubnica.sk,,Slávnica,50,2016-04-29T06:23:08+00:00
31861,LZLU,small_airport,"Lučenec Airport",48.33940124511719,19.73579978942871,,EU,SK,SK-BC,Lučenec,0,LZLU,LUE,,,,,50,2008-07-14T08:45:10+00:00
30119,LZMA,small_airport,Martin,49.0653,18.9508,1381,EU,SK,SK-ZI,Martin,0,LZMA,,,http://www.aeroklubmartin.sk,http://en.wikipedia.org/wiki/Martin_Airport_(Slovakia),,50,2016-04-29T06:50:41+00:00
30450,LZSK,small_airport,"Svidník Airport",49.333900451660156,21.57029914855957,1161,EU,SK,SK-PV,Svidník,0,LZSK,,,,,,50,2008-06-13T14:30:04+00:00
316354,LZNZ,small_airport,"Nové Zámky",47.961944,18.184444,377,EU,SK,SK-NJ,,0,LZNZ,,,,,,0,2015-11-15T05:47:06+00:00
322255,SK-0057,small_airport,"Čerín-Čačín Airstrip",48.674911,19.245273,1545,EU,SK,SK-U-A,,0,,,,,,,0,2018-01-22T12:20:48+00:00
317682,LZRU,small_airport,Ružomberok,49.085833,19.370278,1617,EU,SK,SK-ZI,,0,LZRU,,,http://letisko.zssos.sk,,,0,2016-04-29T06:06:14+00:00
308331,LZHL,small_airport,"Holič Airport",48.8103,17.1338,520,EU,SK,SK-TA,Holič,0,LZHL,,,,,,0,2013-03-18T00:33:51+00:00
316301,SK-0010,small_airport,Trnava-Kopánka,48.4,17.611667,,EU,SK,SK-TA,Trnava,0,,,,,,,0,2015-11-11T02:11:03+00:00
315707,SK-0001,small_airport,"Dobra Niva airfield",48.488716,19.101749,1143,EU,SK,SK-BC,ZVOLEN,0,,,LZNIVA,http://lsk.sk/letisko/,,,0,2017-06-04T04:25:48+00:00
30519,LZVB,closed,"Vajnory Slovaki Airport",48.2043991089,17.1916999817,430,EU,SK,SK-BL,Bratislava,0,LZVB,,,,,,50,2009-09-10T15:14:29+00:00
30103,LZPT,small_airport,"Male Bielice",48.61920166,18.3297,600,EU,SK,SK-TC,Partizánske,0,LZPT,,,"http://www.partizanske.aeroklub.sk_\_http://www.freefly.sk",,,50,2015-11-08T03:17:49+00:00
321946,SK-0039,small_airport,"Bátka Airstrip",48.3716771,20.153322,,EU,SK,SK-BC,,0,,,,,,,0,2017-01-24T03:12:20+00:00
316298,SK-0007,closed,"Malý Madaras",48.142222,17.377222,,EU,SK,SK-BL,,0,,,,,,,0,2019-01-07T14:47:27+00:00
315674,CZ-0052,small_airport,"Letisko Veľká Ida",48.5992279,21.1598857,,EU,SK,SK-KI,,0,,,,,,,0,2015-10-07T06:39:51+00:00
316295,SK-0004,small_airport,Hrabušice,48.969167,20.386389,,EU,SK,SK-KI,,0,,,,,,,0,2015-11-11T01:50:03+00:00
321295,SK-0018,small_airport,"Kačanov Airstrip",48.615499,21.835203,,EU,SK,SK-KI,,0,,,,,,,0,2018-07-29T05:09:11+00:00
321944,SK-0037,small_airport,"Drienovec Airstrip",48.6078638,20.9385034,,EU,SK,SK-KI,,1,,,,,,,0,2017-01-24T03:08:22+00:00
321997,SK-0040,small_airport,"Buzica Airstrip",48.5508549,21.0931852,,EU,SK,SK-KI,,0,,,,,,,0,2017-01-29T03:28:38+00:00
321998,SK-0041,small_airport,"Kecerovce Airstrip",48.833554,21.4042387,,EU,SK,SK-KI,,0,,,,,,,0,2017-01-29T03:30:17+00:00
322058,SK-0045,small_airport,"Seleška Airstrip",48.6214327,21.0828401,,EU,SK,SK-KI,,0,,,,,,,0,2017-02-05T06:20:04+00:00
322239,SK-0055,small_airport,"Senné Airstrip",48.659681,22.0141099,,EU,SK,SK-KI,,0,,,,,,,0,2017-02-25T01:04:44+00:00
322259,SK-0059,small_airport,"Kalša Airstrip",48.624699,21.5060067,,EU,SK,SK-KI,,0,,,,,,,0,2017-02-26T08:08:09+00:00
322439,SK-0064,small_airport,"Vyšná Myšľa Airstrip",48.6446431,21.3753435,,EU,SK,SK-KI,,0,,,,,,,0,2017-03-18T03:40:50+00:00
315500,LZSY,small_airport,Šurany,48.075971,18.114002,384,EU,SK,SK-NJ,,0,LZSY,,,,,,0,2017-11-29T06:42:01+00:00
316296,SK-0005,small_airport,"Kamenný Most",47.863889,18.65,,EU,SK,SK-NJ,,0,,,,,,,0,2015-11-11T01:52:35+00:00
316300,SK-0009,small_airport,"Tekovský Hrádok",48.171389,18.541667,,EU,SK,SK-NJ,,0,,,,,,,0,2015-11-11T02:03:43+00:00
316302,SK-0011,small_airport,Želiezovce,48.047222,18.596111,,EU,SK,SK-NJ,,0,,,,,,,0,2015-11-11T02:12:55+00:00
321211,SK-0017,small_airport,"Bojná Airstrip",48.5419025,18.0526032,,EU,SK,SK-NJ,,0,,,,,,,0,2016-11-15T20:58:44+00:00
321296,SK-0019,small_airport,"Ludanice Airstrip",48.5100021,18.1323556,,EU,SK,SK-NJ,,0,,,,,,,0,2016-11-24T05:56:26+00:00
321527,SK-0031,small_airport,"Letisko Šalgovce-Orešany",48.5084792,17.9218674,,EU,SK,SK-NJ,,0,,,,,,,0,2016-12-16T02:46:21+00:00
316495,SK-0013,small_airport,Zborov,49.3741064,21.2925752,,EU,SK,SK-PV,,0,,,,,,,0,2015-12-08T12:46:43+00:00
321945,SK-0038,small_airport,"Ďačov Airstrip",49.147171,20.945805,,EU,SK,SK-PV,,0,,,,,,,0,2018-07-29T05:03:25+00:00
321999,SK-0042,small_airport,"Volica Airstrip",49.1637807,21.9129184,,EU,SK,SK-PV,,0,,,,,,,0,2017-01-29T03:36:52+00:00
322073,SK-0047,small_airport,"Hertník Airstrip",49.2111575,21.2644107,,EU,SK,SK-PV,,0,,,,,,,0,2017-02-06T02:28:14+00:00
322483,SK-0066,small_airport,"Kamienka/Hniezdne Airstrip",49.319881,20.635033,,EU,SK,SK-PV,,0,,,,,,,0,2018-07-29T05:00:22+00:00
316294,SK-0003,small_airport,"Dunajská Streda",48.018056,17.613056,,EU,SK,SK-TA,,0,,,,,,,0,2015-11-11T01:47:48+00:00
316297,SK-0006,small_airport,Krakovany,48.633889,17.732222,,EU,SK,SK-TA,,0,,,,,,,0,2015-11-11T01:54:41+00:00
316299,SK-0008,small_airport,Sládkovicovo,48.188889,17.633889,,EU,SK,SK-TA,,0,,,,,,,0,2015-11-11T02:01:30+00:00
321297,SK-0020,small_airport,"Rybany Airstrip",48.6660912,18.228065,,EU,SK,SK-TC,,0,,,,,,,0,2016-11-24T05:58:44+00:00
321484,SK-0026,small_airport,"Babin Most Airstrip",48.3780778,19.9311701,,EU,SK,SK-U-A,,0,,,,,,,0,2016-12-12T06:43:23+00:00
321487,SK-0029,small_airport,"Letisko Sklabiná",48.151621,19.363439,,EU,SK,SK-U-A,,0,,,,,,,0,2016-12-12T08:32:10+00:00
321686,SK-0034,small_airport,"Hontianske Nemce",48.2619643,19.0090026,,EU,SK,SK-U-A,,0,,,,,,,0,2017-01-01T05:55:38+00:00
322122,SK-0051,small_airport,"Jasenov Airstrip",48.7925753,22.1796188,,EU,SK,SK-U-A,,0,,,,,,,0,2017-02-12T06:35:33+00:00
322123,SK-0052,small_airport,"Novosad Airstrip",48.5318014,21.7292934,,EU,SK,SK-U-A,,0,,,,,,,0,2017-02-12T06:37:55+00:00
322240,SK-0056,small_airport,"Haniska Airstrip",48.6098632,21.2486966,,EU,SK,SK-U-A,,0,,,,,,,0,2017-02-25T01:13:01+00:00
322256,SK-0058,small_airport,"Rimavská Seč Airstrip",48.3182925,20.2502328,,EU,SK,SK-U-A,,0,,,,,,,0,2017-02-26T05:00:44+00:00
317756,LZJS,small_airport,Jasná,49.048056,19.506667,2103,EU,SK,SK-ZI,,0,LZJS,,,http://www.letisko-jasna.sk,,,0,2016-04-29T06:15:35+00:00
321100,SK-0016,small_airport,"Višňové Airstrip",49.1713752,18.7785977,,EU,SK,SK-ZI,,0,,,,,,,0,2016-11-09T23:47:54+00:00
323648,SK-0070,small_airport,"Mokraď Airstrip",49.0964161,19.7334988,,EU,SK,SK-ZI,,0,,,,,,,0,2017-06-05T18:22:37+00:00
321667,SK-0033,small_airport,"Bystričany Airstrip",48.6585923,18.5440885,,EU,SK,SK-TC,Bystričany,0,,,,,,,0,2016-12-31T06:01:54+00:00
320704,SK-0015,small_airport,"Čab Airstrip",48.3888085,18.0043553,,EU,SK,SK-NJ,Čab,0,,,,,,,0,2016-10-08T04:42:22+00:00
322000,SK-0043,small_airport,"Chotín Airstrip",47.81415,18.194275,,EU,SK,SK-NJ,Chotín,0,,,,,,,0,2017-01-29T03:39:48+00:00
322150,SK-0054,small_airport,"Dlžín Airstrip",48.8044756,18.5067176,,EU,SK,SK-TC,Dlžín,0,,,,,,,0,2017-02-13T01:47:07+00:00
316458,SK-0012,small_airport,"Gajary UL",48.4511666667,16.9409166667,502,EU,SK,SK-BL,Dolečky,0,,,,http://jozinko.szm.sk/Web/letiskogajary.htm,,Malacky,0,2015-12-02T11:10:10+00:00
322298,SK-0060,small_airport,"Dolná Strehová Airstrip",48.256185,19.5049614,,EU,SK,SK-U-A,"Dolná Strehová",0,,,,,,,0,2017-03-04T06:35:51+00:00
322441,SK-0065,small_airport,"Dolná Štubňa Airstrip",48.8348083,18.843625,,EU,SK,SK-U-A,"Dolná Štubňa",0,,,,,,,0,2017-03-18T04:03:50+00:00
