id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
31899,HCMM,medium_airport,"Aden Adde International Airport",2.0144400596618652,45.3046989440918,29,AF,SO,SO-BN,Mogadishu,1,HCMM,MGQ,,,http://en.wikipedia.org/wiki/Aden_Adde_International_Airport,HCCM,800,2008-06-13T14:30:04+00:00
3172,HCMI,medium_airport,"Berbera Airport",10.389200210571289,44.94110107421875,30,AF,SO,SO-WO,Berbera,1,HCMI,BBO,,,http://en.wikipedia.org/wiki/Berbera_Airport,,800,2008-12-30T14:07:23+00:00
3171,HCMH,medium_airport,"Egal International Airport",9.518170356750488,44.08879852294922,4423,AF,SO,SO-WO,Hargeisa,1,HCMH,HGA,,,http://en.wikipedia.org/wiki/Hargeisa_International_Airport,,800,2008-12-30T14:07:23+00:00
30792,HCMF,small_airport,"Bosaso Airport",11.275300025939941,49.14939880371094,3,AF,SO,SO-BR,Bosaso,1,HCMF,BSA,,,,,450,2008-08-03T11:41:30+00:00
3173,HCMK,medium_airport,"Kisimayu Airport",-0.3773530125617981,42.45920181274414,49,AF,SO,SO-JH,,0,HCMK,KMU,,,,,250,2008-06-13T14:30:04+00:00
308229,SO-0002,small_airport,"Baledogle Airfield",2.670742,44.792897,297,AF,SO,SO-SH,Wanlaweyn,0,HC01,,HC01,,https://en.wikipedia.org/wiki/Baledogle_Airfield,"Wanlawayn Airport",0,2017-05-05T12:04:47+00:00
31536,HCMR,small_airport,"Galcaio Airport",6.78082990646,47.45470047,975,AF,SO,SO-MU,Galcaio,1,HCMR,GLK,,,http://en.wikipedia.org/wiki/Galkacyo_Airport,"Galkacyo Airport",450,2011-10-22T02:24:35+00:00
30711,HCMB,small_airport,"Baidoa Airport",3.102220058441162,43.62860107421875,1820,AF,SO,SO-BY,Baidoa,0,HCMB,BIB,,,,,50,2008-08-03T11:41:24+00:00
31018,HCMU,small_airport,"Erigavo Airport",10.642050549,47.3879814148,5720,AF,SO,SO-SA,Erigavo,0,HCMU,ERA,,,http://en.wikipedia.org/wiki/Ceerigaabo_Airport,,50,2009-12-11T17:47:12+00:00
