id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
2792,FAJS,large_airport,"OR Tambo International Airport",-26.1392,28.246,5558,AF,ZA,ZA-GT,Johannesburg,1,FAOR,JNB,,http://www.acsa.co.za/home.asp?pid=228,http://en.wikipedia.org/wiki/OR_Tambo_International_Airport,"Johannesburg International Airport",1014475,2017-12-30T08:54:28+00:00
2775,FACT,large_airport,"Cape Town International Airport",-33.9648017883,18.6016998291,151,AF,ZA,ZA-WC,"Cape Town",1,FACT,CPT,,http://www.airports.co.za/home.asp?pid=229,http://en.wikipedia.org/wiki/Cape_Town_International_Airport,"Kaapstad Internasionale Lughawe, CTIA, DF Malan Airport",51275,2013-12-06T22:30:37+00:00
2800,FALA,medium_airport,"Lanseria Airport",-25.938499450699997,27.9260997772,4517,AF,ZA,ZA-GT,Johannesburg,1,FALA,HLA,,,http://en.wikipedia.org/wiki/Lanseria_Airport,,1050,2013-12-06T22:53:46+00:00
2820,FAPE,medium_airport,"Port Elizabeth Airport",-33.9849014282,25.6173000336,226,AF,ZA,ZA-EC,"Port Elizabeth",1,FAPE,PLZ,,http://www.acsa.co.za/home.asp?pid=236,http://en.wikipedia.org/wiki/Port_Elizabeth_Airport,"Verwoerd International Airport",875,2013-12-06T23:55:07+00:00
2854,FAWB,medium_airport,"Wonderboom Airport",-25.6539,28.224199,4095,AF,ZA,ZA-GT,Pretoria,1,FAWB,PRY,,http://www.wonderboomairport.co.za/,http://en.wikipedia.org/wiki/Wonderboom_Airport,,250,2016-05-10T14:30:58+00:00
2795,FAKN,medium_airport,"Kruger Mpumalanga International Airport",-25.3831996918,31.1056003571,2829,AF,ZA,ZA-MP,Mpumalanga,1,FAKN,MQP,,,http://en.wikipedia.org/wiki/Kruger_Mpumalanga_International_Airport,,800,2013-12-06T23:25:51+00:00
2782,FAGC,medium_airport,"Grand Central Airport",-25.986299514799995,28.1401004791,5325,AF,ZA,ZA-GT,Midrand,0,FAGC,GCJ,,,http://en.wikipedia.org/wiki/Grand_Central_Airport,,250,2013-12-06T22:52:19+00:00
2778,FADN,small_airport,"Air Force Base Durban",-29.9701,30.9505,33,AF,ZA,ZA-NL,Durban,0,FADN,,,,http://en.wikipedia.org/wiki/Durban_International_Airport,"Louis Botha International Airport, DUR, Durban International Airport",1050,2016-05-10T23:49:03+00:00
2784,FAGM,medium_airport,"Rand Airport",-26.2425003052,28.1511993408,5483,AF,ZA,ZA-GT,Johannesburg,1,FAGM,QRA,,,http://en.wikipedia.org/wiki/Rand_Airport,,800,2013-12-06T22:57:44+00:00
300795,FALE,large_airport,"King Shaka International Airport",-29.6144444444,31.1197222222,295,AF,ZA,ZA-NL,Durban,1,FALE,DUR,,,http://en.wikipedia.org/wiki/King_Shaka_International_Airport,"La Mercy Airport",0,2013-12-06T22:34:17+00:00
2832,FARG,medium_airport,"Rustenburg Airport",-25.6443004608,27.271099090599996,3700,AF,ZA,ZA-NW,Rustenburg,0,FARG,,,,http://en.wikipedia.org/wiki/Rustenburg_Airfield,,250,2012-12-30T09:14:48+00:00
27289,FANS,small_airport,"Nelspruit Airport",-25.5,30.9137992859,2875,AF,ZA,ZA-MP,Nelspruit,0,FANS,NLP,,,http://en.wikipedia.org/wiki/Nelspruit_Airport,,50,2013-12-06T23:27:32+00:00
2783,FAGG,large_airport,"George Airport",-34.0056,22.378902,648,AF,ZA,ZA-WC,George,1,FAGG,GRJ,,,http://en.wikipedia.org/wiki/George_Airport,"PW Botha Airport",1275,2018-02-25T15:19:19+00:00
2779,FAEL,medium_airport,"Ben Schoeman Airport",-33.0355987549,27.825899124099998,435,AF,ZA,ZA-EC,"East London",1,FAEL,ELS,,http://www.airports.co.za/home.asp?pid=415,http://en.wikipedia.org/wiki/East_London_Airport,,1050,2013-12-06T22:38:22+00:00
2772,FABL,medium_airport,"Bram Fischer International Airport",-29.092699050900002,26.302400589,4458,AF,ZA,ZA-FS,Bloemfontain,1,FABL,BFN,,,http://en.wikipedia.org/wiki/Bloemfontein_Airport,,875,2013-12-06T22:28:43+00:00
