id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
3247,HSSJ,large_airport,"Juba International Airport",4.87201023102,31.6011009216,1513,AF,SS,SS-17,Juba,1,HSSJ,JUB,,,http://en.wikipedia.org/wiki/Juba_Airport,JIA,825,2014-10-08T20:31:10+00:00
3248,HSSM,medium_airport,"Malakal Airport",9.55897045135498,31.65220069885254,1291,AF,SS,SS-23,Malakal,1,HSSM,MAK,,,http://en.wikipedia.org/wiki/Malakal_Airport,,825,2008-08-11T09:30:06+00:00
31614,HSAW,small_airport,"Aweil Airport",8.767000198364258,27.399999618530273,1394,AF,SS,SS-15,Aweil,0,HSAW,,,,http://en.wikipedia.org/wiki/Aweil_Airport,,50,2009-04-03T07:26:42+00:00
31615,HSBR,small_airport,"Bor Airport",6.195865,31.600485,1394,AF,SS,SS-20,Bor,0,HSBR,,,,http://en.wikipedia.org/wiki/Bor_Airport_(Sudan),,50,2014-09-14T23:06:52+00:00
31623,HSMK,small_airport,"Rumbek Airport",6.8249998092699995,29.6690006256,1378,AF,SS,SS-18,Rumbek,0,HSMK,RBX,,,http://en.wikipedia.org/wiki/Rumbek_Airport,,50,2012-12-07T21:34:49+00:00
308309,SS-0011,small_airport,"Ayod Airstrips",8.13052406119,31.407251358,,AF,SS,SS-20,,0,,,,,,,0,2013-03-04T08:07:15+00:00
308314,SS-0016,small_airport,"Panyagor Airstrip",7.32998059644,31.422260999699997,,AF,SS,SS-20,,0,,,,,,,0,2013-03-04T08:58:35+00:00
308307,SS-0009,small_airport,"Turuk Airstrip",7.98800762753,31.9675540924,,AF,SS,SS-23,,0,,,,,,,0,2013-03-04T07:53:56+00:00
300862,HSFA,medium_airport,"Paloich Airport, Heliport",10.529167,32.500556,1290,AF,SS,SS-23,Higleig,0,HSFA,HGI,,,https://en.wikipedia.org/wiki/Paloich_Airport,"Palouge, DPOC",0,2017-04-01T14:09:04+00:00
31616,HSBT,small_airport,"Bentu Airport",9.217000007629395,29.816999435424805,2000,AF,SS,SS-22,Bentu,0,HSBT,,,,http://en.wikipedia.org/wiki/Bentu_Airport,,50,2009-04-03T07:14:01+00:00
31620,HSKJ,small_airport,"Kago Kaju Airport",3.9170000553131104,31.66699981689453,2500,AF,SS,SS-17,"Kago Kaju",0,HSKJ,,,,http://en.wikipedia.org/wiki/Kago_Kaju_Airport,,50,2009-04-04T09:38:06+00:00
31621,HSKP,small_airport,"Kapoeta Airport",4.7829999923706055,33.58300018310547,2220,AF,SS,SS-19,Kapoeta,0,HSKP,,,,,,50,2008-12-30T14:07:23+00:00
31622,HSMD,small_airport,"Marida Airport",4.916999816894531,29.466999053955078,1901,AF,SS,SS-16,Marida,0,HSMD,,,,,,50,2008-12-30T14:07:23+00:00
31626,HSNM,small_airport,"Nimuli Airport",3.617000102996826,32.132999420166016,2059,AF,SS,SS-19,Nimuli,0,HSNM,,,,,,50,2008-12-30T14:07:23+00:00
31627,HSPA,small_airport,"Pachella Airport",7.178563117980957,34.09735870361328,2000,AF,SS,SS-20,Pachella,0,HSPA,,,,http://en.wikipedia.org/wiki/Pachella_Airport,,50,2009-03-04T21:40:18+00:00
31628,HSRJ,small_airport,"Raga Airport",8.461110115050001,25.681100845299998,1788,AF,SS,SS-14,Raga,0,HSRJ,,,,http://en.wikipedia.org/wiki/Raga_Airport,,50,2012-11-10T11:51:48+00:00
31630,HSTO,small_airport,"Tong Airport",7.267000198364258,28.982999801635742,1413,AF,SS,SS-21,Tong,0,HSTO,,,,,,50,2008-12-30T14:07:23+00:00
31631,HSTR,small_airport,"Torit Airport",4.400000095367432,32.58300018310547,2050,AF,SS,SS-19,Torit,0,HSTR,,,,,,50,2008-12-30T14:07:23+00:00
31632,HSTU,small_airport,"Tumbura Airport",5.599999904632568,27.450000762939453,2230,AF,SS,SS-16,Tumbura,0,HSTU,,,,,,50,2008-12-30T14:07:23+00:00
