id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
4004,LEBL,large_airport,"Barcelona International Airport",41.2971,2.07846,12,EU,ES,ES-CT,Barcelona,1,LEBL,BCN,,http://www.aena.es/en/barcelona-airport/index.html,https://en.wikipedia.org/wiki/Barcelona%E2%80%93El_Prat_Airport,"El Prat Airport",1020675,2018-09-15T03:30:02+00:00
4019,LEMD,large_airport,"Adolfo Suárez Madrid–Barajas Airport",40.471926,-3.56264,1998,EU,ES,ES-M,Madrid,1,LEMD,MAD,,http://www.aena.es/en/passengers/passengers.html,https://en.wikipedia.org/wiki/Adolfo_Su%C3%A1rez_Madrid%E2%80%93Barajas_Airport,"Leganés, Madrid Barajas International Airport",1041675,2018-09-13T12:25:48+00:00
4035,LEPA,large_airport,"Palma De Mallorca Airport",39.551700592,2.73881006241,27,EU,ES,ES-PM,"Palma De Mallorca",1,LEPA,PMI,,http://www.aena.es/csee/Satellite?cid=1046276292735&pagename=subHome&Language=EN_GB&SiteName=PMI&c=Page,http://en.wikipedia.org/wiki/Son_Sant_Joan_Airport,"Son Sant Joan Airport, LESJ",51200,2010-08-31T21:55:29+00:00
4020,LEMG,large_airport,"Málaga Airport",36.67490005493164,-4.499110221862793,53,EU,ES,ES-AN,Málaga,1,LEMG,AGP,,,http://en.wikipedia.org/wiki/M%C3%A1laga_Airport,"Costa del Sol",51275,2009-03-10T12:41:55+00:00
3081,GCLP,large_airport,"Gran Canaria Airport",27.931900024414062,-15.38659954071045,78,EU,ES,ES-CN,"Gran Canaria Island",1,GCLP,LPA,,http://www.aena.es/csee/Satellite?pagename=subHome&Language=EN_GB&c=Page&SiteName=LPA&cid=1048858940184,http://en.wikipedia.org/wiki/Gran_Canaria_Airport,"Canary Islands, Las Palmas Airport, Gando Airport",1012275,2009-03-10T12:41:08+00:00
3083,GCTS,large_airport,"Tenerife South Airport",28.044500351,-16.5725002289,209,EU,ES,ES-CN,"Tenerife Island",1,GCTS,TFS,,,http://en.wikipedia.org/wiki/Tenerife_South_Airport,"Canary Islands, Reina Sofía, TCI",1010675,2009-11-01T22:38:14+00:00
3997,LEAL,large_airport,"Alicante International Airport",38.28219985961914,-0.5581560134887695,142,EU,ES,ES-V,Alicante,1,LEAL,ALC,,http://www.aena.es/csee/Satellite?cid=1049437849176&pagename=subHome&Language=EN_GB&SiteName=ALC&c=Page,http://en.wikipedia.org/wiki/Alicante_Airport,,51150,2009-01-29T20:25:57+00:00
4010,LEGE,medium_airport,"Girona Airport",41.901000977,2.7605500221,468,EU,ES,ES-GE,Girona,1,LEGE,GRO,,,http://en.wikipedia.org/wiki/Girona-Costa_Brava_Airport,,1050,2015-10-19T09:24:00+00:00
4049,LEZL,medium_airport,"Sevilla Airport",37.417999267578125,-5.8931097984313965,112,EU,ES,ES-AN,Sevilla,1,LEZL,SVQ,,,http://en.wikipedia.org/wiki/San_Pablo_Airport,,1050,2009-03-10T12:42:06+00:00
4042,LEVC,medium_airport,"Valencia Airport",39.4893,-0.481625,240,EU,ES,ES-V,Valencia,1,LEVC,VLC,,,http://en.wikipedia.org/wiki/Valencia_Airport,,1050,2017-10-23T02:52:09+00:00
4013,LEIB,medium_airport,"Ibiza Airport",38.872898101800004,1.3731199502899998,24,EU,ES,ES-PM,Ibiza,1,LEIB,IBZ,,,http://en.wikipedia.org/wiki/Ibiza_Airport,,1050,2010-08-31T21:54:45+00:00
3082,GCRR,medium_airport,"Lanzarote Airport",28.945499,-13.6052,46,EU,ES,ES-CN,"Lanzarote Island",1,GCRR,ACE,,http://www.aena.es/en/lanzarote-airport/index.html,https://en.wikipedia.org/wiki/Lanzarote_Airport,"Arrecife Airport",1050,2018-09-15T03:37:55+00:00
4001,LEBB,medium_airport,"Bilbao Airport",43.30110168457031,-2.9106099605560303,138,EU,ES,ES-PV,Bilbao,1,LEBB,BIO,,http://www.aena.es/csee/Satellite?cid=1047658432525&pagename=subHome&Language=EN_GB&SiteName=BIO&c=Page,http://en.wikipedia.org/wiki/Bilbao_Airport,,1050,2008-06-13T14:30:04+00:00
3077,GCFV,medium_airport,"Fuerteventura Airport",28.452699661254883,-13.863800048828125,85,EU,ES,ES-CN,"Fuerteventura Island",1,GCFV,FUE,,,http://en.wikipedia.org/wiki/El_Matorral_Airport,,1050,2009-03-10T12:41:08+00:00
3084,GCXO,large_airport,"Tenerife Norte Airport",28.4827003479,-16.3414993286,2076,EU,ES,ES-CN,"Tenerife Island",1,GCXO,TFN,,,http://en.wikipedia.org/wiki/Los_Rodeos_Airport,"Canary Islands, Los Rodeos, TCI",850,2016-01-04T17:23:07+00:00
4021,LEMH,medium_airport,"Menorca Airport",39.86259841918945,4.218649864196777,302,EU,ES,ES-PM,"Menorca Island",1,LEMH,MAH,,,http://en.wikipedia.org/wiki/Menorca_Airport,,1050,2009-03-10T12:41:55+00:00
4038,LEST,large_airport,"Santiago de Compostela Airport",42.89630126953125,-8.415140151977539,1213,EU,ES,ES-GA,"Santiago de Compostela",1,LEST,SCQ,,,http://en.wikipedia.org/wiki/Santiago_de_Compostela_Airport,,1275,2008-06-13T14:30:04+00:00
4015,LEJR,medium_airport,"Jerez Airport",36.744598388671875,-6.060110092163086,93,EU,ES,ES-AN,"Jerez de la Forntera",1,LEJR,XRY,,,http://en.wikipedia.org/wiki/Jerez_Airport,,975,2009-03-10T12:41:55+00:00
4031,LERS,medium_airport,"Reus Air Base",41.14739990234375,1.1671700477600098,233,EU,ES,ES-CT,Reus,1,LERS,REU,,,http://en.wikipedia.org/wiki/Reus_Airport,,1050,2009-03-10T12:41:57+00:00
