id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
26463,VCBI,large_airport,"Bandaranaike International Colombo Airport",7.180759906768799,79.88410186767578,30,AS,LK,LK-1,Colombo,1,VCBI,CMB,,http://www.airport.lk/,http://en.wikipedia.org/wiki/Bandaranaike_International_Airport,"RAF Negombo, Katunayake International Airport",1275,2009-08-26T21:30:39+00:00
26466,VCCC,medium_airport,"Colombo Ratmalana Airport",6.821990013122559,79.88619995117188,22,AS,LK,LK-1,Colombo,1,VCCC,RML,,,http://en.wikipedia.org/wiki/Ratmalana_Airport,,800,2009-08-26T19:26:57+00:00
26469,VCCK,medium_airport,"Koggala Airport",5.993680000305176,80.32029724121094,10,AS,LK,LK-3,Galle,1,VCCK,KCT,,,http://en.wikipedia.org/wiki/Koggala_Airport,"SLAF Koggala",800,2009-08-26T21:22:17+00:00
26472,VCCW,small_airport,"Weerawila Airport",6.25448989868,81.23519897460001,50,AS,LK,LK-3,Weerawila,1,VCCW,WRZ,,,http://en.wikipedia.org/wiki/Weerawila_Airport,"Wirawila Airport",450,2013-09-16T06:45:15+00:00
26467,VCCG,medium_airport,"Ampara Airport",7.33776,81.62594,150,AS,LK,LK-5,Ampara,0,VCCG,ADP,,,http://en.wikipedia.org/wiki/Amparai_Airport,"GOY, Gal Oya Airport",250,2015-01-23T16:05:08+00:00
26464,VCCA,medium_airport,"Anuradhapura Air Force Base",8.30148983002,80.42790222170001,324,AS,LK,LK-7,Anuradhapura,0,VCCA,ACJ,,,http://en.wikipedia.org/wiki/Anuradhapura_Airport,"SLAF Anuradhapura",250,2012-06-10T03:27:37+00:00
26465,VCCB,medium_airport,"Batticaloa Airport",7.70576,81.678802,20,AS,LK,LK-5,Batticaloa,1,VCCB,BTC,,,http://en.wikipedia.org/wiki/Batticaloa_Airport,,250,2016-05-28T22:03:04+00:00
26468,VCCJ,medium_airport,"Kankesanturai Airport",9.792329788208008,80.07009887695312,33,AS,LK,LK-4,Jaffna,1,VCCJ,JAF,,,http://en.wikipedia.org/wiki/Kankesanturai_Airport,"SLAF Palaly",250,2009-08-26T21:18:54+00:00
26471,VCCT,medium_airport,"China Bay Airport",8.5385103225708,81.18190002441406,6,AS,LK,LK-5,Trincomalee,1,VCCT,TRR,,,http://en.wikipedia.org/wiki/China_Bay_Airport,"SLAF China Bay, RAF China Bay, Trincomalee Airport",250,2009-08-26T21:17:05+00:00
26470,VCCN,small_airport,"Katukurunda Air Force Base",6.55212020874,79.9775009155,10,AS,LK,LK-1,Kalutara,0,VCCN,KTY,VC14,,http://en.wikipedia.org/wiki/Katukurunda_Airport,"SLAF Katukurunda",50,2015-02-11T00:19:32+00:00
31927,VCCH,medium_airport,"Hingurakgoda Air Force Base",8.04981,80.9814,170,AS,LK,LK-7,"Polonnaruwa Town",0,VCCH,HIM,,http://www.airforce.lk/pages.php?pages=hingurakgoda,https://en.wikipedia.org/wiki/Hingurakgoda_Airport,"MNH, Minneriya Airport",50,2016-03-14T00:31:00+00:00
4392,VCCS,small_airport,"Sigiriya Air Force Base",7.956669807430001,80.7285003662,630,AS,LK,LK-2,Sigiriya,0,VCCS,GIU,,http://www.airforce.lk/pages.php?pages=sigiriya,,"VC15, SLAF Sigiriya",50,2010-02-16T07:17:14+00:00
4391,VCCV,small_airport,"Vavuniya Airport",8.741390228271484,80.49739837646484,299,AS,LK,LK-4,Vavuniya,0,VCCV,,,,,VC13,50,2009-08-26T21:26:22+00:00
309579,VCRI,large_airport,"Mattala Rajapaksa International Airport",6.284467,81.124128,157,AS,LK,LK-3,,1,VCRI,HRI,VCRI,http://www.mria.lk/,http://en.wikipedia.org/wiki/Mattala_Rajapaksa_International_Airport,"Hambantota International Airport",0,2015-10-06T05:20:29+00:00
309041,AFK,seaplane_base,"Kondavattavana Tank Seaplane Base",7.284,81.644,95,AS,LK,LK-5,Ampara,0,,AFK,,,,,0,2013-07-15T05:36:15+00:00
300794,PQD,heliport,"Passikudah Helipad",7.92310659595,81.567735672,26,AS,LK,LK-5,Batticaloa,0,,PQD,,,,Kalkudah,0,2012-02-19T13:36:04+00:00
312172,BJT,seaplane_base,"Bentota River Waterdrome",6.431,79.996,,AS,LK,LK-1,Bentota,1,,BJT,,,http://en.wikipedia.org/wiki/Bentota_River_Airport,,0,2014-06-10T01:53:12+00:00
300806,BYV,seaplane_base,"Beira Lake Seaplane Base",6.9294444444400005,79.85416666670001,17,AS,LK,LK-1,Colombo,0,,BYV,,,,,0,2012-02-23T00:11:20+00:00
317274,DGM,seaplane_base,"Dandugama Seaplane Base",7.1079,79.8721,0,AS,LK,LK-1,Colombo,0,,DGM,,,,,0,2016-03-13T00:16:53+00:00
317278,KEZ,seaplane_base,"Kelani-Peliyagoda Seaplane Base",6.95,79.93,,AS,LK,LK-1,Colombo,0,,KEZ,,,https://en.wikipedia.org/wiki/Kelani_River-Peliyagoda_Waterdrome,,0,2016-03-13T08:42:04+00:00
312783,DBU,seaplane_base,"Dambulu Oya Tank Seaplane Base",7.8604,80.6304,535,AS,LK,LK-2,Dambulla,0,,DBU,,,,"Ibbankatuwa Tank Waterdrome",0,2014-08-28T20:48:17+00:00
317279,DIW,seaplane_base,"Mawella Lagoon Seaplane Base",5.990192,80.733129,16,AS,LK,LK-3,Dickwella,0,,DIW,,,,,0,2016-03-13T08:58:52+00:00
318151,HBT,seaplane_base,"Hambantota Seaplane Base",6.124043,81.103,0,AS,LK,LK-3,Hambantota,1,,HBT,,,,,0,2016-05-29T12:46:19+00:00
317282,NUF,seaplane_base,"Castlereagh Lake Seaplane Base",6.86,80.584,3580,AS,LK,LK-2,Hatton,0,,NUF,,,,"Castlereigh Reservoir",0,2016-03-13T12:03:53+00:00
317284,IRU,seaplane_base,"Iranamadu Seaplane Base",9.299746,80.448627,102,AS,LK,LK-4,Iranamadu,0,,IRU,,,,,0,2016-03-13T13:01:04+00:00
315621,DBK,seaplane_base,"Dutch Bay SPB",8.273,79.756,0,AS,LK,LK-6,"Kalpitiya Island",0,,DBK,,,,,0,2015-10-01T21:33:44+00:00
313409,KDW,seaplane_base,"Victoria Reservoir Seaplane Base",7.2415,80.7834,1402,AS,LK,LK-2,Kandy,0,,KDW,,,,,0,2014-12-19T01:54:53+00:00
313410,KDZ,seaplane_base,"Polgolla Reservoir Seaplane Base",7.3251,80.6422,1473,AS,LK,LK-2,Kandy,1,,KDZ,,,,,0,2016-05-28T22:01:27+00:00
317283,LK-0001,small_airport,"Iranamadu Airport",9.3066,80.489,183,AS,LK,LK-4,Kilinochchi,1,,,,,https://en.wikipedia.org/wiki/Iranamadu_Airport,"Kilinochchi Airport, SLAF Iranamadu",0,2016-03-13T12:29:08+00:00
318125,DWO,seaplane_base,"Diyawanna Oya Seaplane Base",6.906585,79.909,10,AS,LK,LK-1,Kotte,1,,DWO,,,,,0,2016-05-28T21:54:32+00:00
300786,AYY,seaplane_base,"Arugam Bay SPB",6.86,81.82388888890002,,AS,LK,LK-5,Pottuvil,0,,AYY,,,,,0,2012-02-17T19:50:25+00:00
317288,LK-0002,small_airport,"Palaviya Airport",7.979668,79.856495,92,AS,LK,LK-6,Puttalam,0,,,,,,"Puttalam Airport",0,2016-03-13T23:58:11+00:00
309422,TTW,seaplane_base,"Tissa Tank Waterdrome",6.2876,81.2906,75,AS,LK,LK-3,Tissamaharama,1,,TTW,,,,,0,2013-08-24T00:21:56+00:00
313984,THW,seaplane_base,"Trincomalee Harbor Waterdrome",8.56,81.22,0,AS,LK,LK-5,Trincomalee,0,,THW,,,,,0,2015-03-07T00:30:18+00:00
