id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
3249,HSSS,large_airport,"Khartoum International Airport",15.589500427246094,32.553199768066406,1265,AF,SD,SD-03,Khartoum,1,HSSS,KRT,,,http://en.wikipedia.org/wiki/Khartoum_International_Airport,,875,2009-02-08T12:38:56+00:00
3241,HSFS,medium_airport,"El Fasher Airport",13.614899635314941,25.324600219726562,2393,AF,SD,SD-02,"El Fasher",1,HSFS,ELF,,,http://en.wikipedia.org/wiki/El_Fasher_Airport,"El Fashir Airport",250,2009-07-09T08:46:27+00:00
3246,HSPN,medium_airport,"Port Sudan New International Airport",19.4335994720459,37.234100341796875,135,AF,SD,SD-26,"Port Sudan",1,HSPN,PZU,,,http://en.wikipedia.org/wiki/Port_Sudan_New_International_Airport,,825,2008-08-11T09:32:53+00:00
3244,HSNN,small_airport,"Nyala Airport",12.053500175476074,24.956199645996094,2106,AF,SD,SD-11,Nyala,1,HSNN,UYL,,,http://en.wikipedia.org/wiki/Nyala_Airport,,450,2008-08-11T09:31:17+00:00
31553,HSGF,small_airport,"Azaza Airport",14.133000373840332,35.31700134277344,1640,AF,SD,SD-06,Gedaref,0,HSGF,GSU,,,,,50,2008-12-30T14:10:29+00:00
30990,HSGN,small_airport,"Geneina Airport",13.48169994354248,22.467199325561523,2650,AF,SD,SD-12,Geneina,0,HSGN,EGN,,,http://en.wikipedia.org/wiki/Geneina_Airport,,50,2009-04-04T09:25:01+00:00
3245,HSOB,medium_airport,"El Obeid Airport",13.153200149536133,30.23270034790039,1927,AF,SD,SD-09,Al-Ubayyid,1,HSOB,EBD,,,http://en.wikipedia.org/wiki/El_Obeid_Airport,,825,2008-08-11T09:24:32+00:00
3239,HSDN,medium_airport,"Dongola Airport",19.153900146499996,30.430099487299998,772,AF,SD,SD-01,Dongola,1,HSDN,DOG,,,http://en.wikipedia.org/wiki/Dongola_Airport,,800,2012-02-06T00:05:01+00:00
32648,HSSW,small_airport,"Wadi Halfa Airport",21.802698135375977,31.521577835083008,961,AF,SD,SD-01,"Wadi Halfa",1,HSSW,WHF,,,http://en.wikipedia.org/wiki/Wadi_Halfa_Airport,,350,2009-02-08T12:30:08+00:00
3242,HSKA,medium_airport,"Kassala Airport",15.387499809265137,36.328800201416016,1671,AF,SD,SD-05,Kassala,1,HSKA,KSL,,,http://en.wikipedia.org/wiki/Kassala_Airport,,825,2008-08-11T09:28:13+00:00
30654,HSAT,small_airport,"Atbara Airport",17.710344314575195,34.0570182800293,1181,AF,SD,SD-04,Atbara,1,HSAT,ATB,,,http://en.wikipedia.org/wiki/Atbara_Airport,,450,2009-04-03T07:25:40+00:00
3240,HSDZ,small_airport,"Damazin Airport",11.7859,34.3367,1582,AF,SD,SD-24,"Ad Damazin",0,HSDZ,RSS,,,http://en.wikipedia.org/wiki/Damazin_Airport,,50,2017-05-05T14:59:45+00:00
3243,HSLI,small_airport,"Kadugli Airport",11.137999534600002,29.7010993958,1848,AF,SD,SD-13,Kadugli,0,HSLI,KDX,,,http://en.wikipedia.org/wiki/Kadugli_Airport,,50,2012-03-29T01:35:47+00:00
31779,HSKI,small_airport,"Kosti Airport",13.182999610900879,32.733001708984375,1289,AF,SD,SD-08,Kosti,0,HSKI,KST,,,,,50,2008-12-30T14:10:33+00:00
31978,HSMR,small_airport,"Merowe Airport",18.455,31.8185,864,AF,SD,SD-01,Merowe,0,HSMR,,,,,,50,2015-04-04T11:08:23+00:00
31625,HSND,small_airport,"Shendi Airport",16.700000762939453,33.43299865722656,1181,AF,SD,SD-04,Shendi,0,HSND,,,,,,50,2008-12-30T14:10:25+00:00
31636,HSZA,small_airport,"Zalingei Airport",12.9437,23.5631,3020,AF,SD,SD-12,Zalingei,0,HSZA,ZLX,,,https://en.wikipedia.org/wiki/Zalingei_Airport,"Zalengei Airport",50,2015-09-24T08:43:23+00:00
318353,SD-0004,small_airport,"Gereida Airport",11.256023,25.143714,,AF,SD,SD-11,Gereida,0,,,,,,,0,2016-06-08T05:12:37+00:00
308038,HSHG,small_airport,"Heglig Airport",9.994933,29.397718,1325,AF,SD,SD-13,"Heglig Oilfield",0,HSHG,HEG,,,,,0,2012-11-25T00:47:30+00:00
318344,SD-0003,small_airport,"Kutum Airport",14.220586,24.633616,,AF,SD,SD-02,Kutum,0,,,,,,,0,2016-06-08T04:21:40+00:00
300673,HSMN,medium_airport,"Merowe New Airport",18.4433333333,31.8433333333,897,AF,SD,SD-01,Merowe,0,HSMN,MWE,,,,"Merowe International",0,2015-04-04T12:18:13+00:00
41135,SD-0001,medium_airport,"Wadi Seidna Air Base",15.817399978637695,32.51599884033203,,AF,SD,SD-03,Khartoum,0,,,,,,"Wadi Saidna",250,2008-08-11T09:42:14+00:00
31617,HSCG,small_airport,"Carthago Airport",18.75,37,3230,AF,SD,SD-26,Carthago,0,HSCG,,,,http://en.wikipedia.org/wiki/Carthago_Airport,,50,2009-04-03T07:29:09+00:00
31618,HSDL,small_airport,"Dilling Airport",11.990599632263184,29.673200607299805,2206,AF,SD,SD-13,Dilling,0,HSDL,,,,http://en.wikipedia.org/wiki/Dilling_Airport,,50,2009-07-16T13:27:48+00:00
30932,HSGG,small_airport,"Galegu Airport",12.532999992370605,35.06700134277344,1640,AF,SD,SD-25,Dinder,0,HSGG,DNX,,,http://en.wikipedia.org/wiki/Galegu_Airport,,50,2009-04-04T09:23:59+00:00
30980,HSDB,small_airport,"El Debba Airport",18.0146,30.9595,843,AF,SD,SD-01,"El Debba",0,HSDB,EDB,,,http://en.wikipedia.org/wiki/El_Debba_Airport,,50,2013-08-24T13:52:45+00:00
32054,HSNH,small_airport,"En Nahud Airport",12.666999816894531,28.33300018310547,1955,AF,SD,SD-09,"En Nahud",0,HSNH,NUD,,,http://en.wikipedia.org/wiki/En_Nahud_Airport,,50,2009-04-04T09:22:59+00:00
31619,HSGO,small_airport,"Gogrial Airport",18.867000579833984,28.117000579833984,1640,AF,SD,SD-01,Gogrial,0,HSGO,,,,http://en.wikipedia.org/wiki/Gogrial_Airport,,50,2009-04-04T09:36:24+00:00
31518,HSKG,small_airport,"Khashm El Girba Airport",14.925000190734863,35.87799835205078,1560,AF,SD,SD-06,"Khashm El Girba",0,HSKG,GBU,,,,,50,2008-12-30T14:10:31+00:00
32027,HSNW,small_airport,"New Halfa Airport",15.355600357055664,35.72779846191406,1480,AF,SD,SD-05,"New Halfa",0,HSNW,NHF,,,,,50,2008-12-30T14:10:27+00:00
31629,HSSP,small_airport,"Port Sudan Air Base",19.576499938964844,37.21590042114258,10,AF,SD,SD-26,"Port Sudan",0,HSSP,,,,,,50,2008-06-13T14:30:04+00:00
300790,BJE,small_airport,"Baleela Airport",11.199444444400001,28.5230555556,1690,AF,SD,SD-13,"Baleela Base Camp",0,,BJE,,,,,0,2012-02-18T14:46:05+00:00
323602,SD-0005,small_airport,"Carthago Airport",18.751389,18.751389,,AF,SD,SD-26,Carthago,0,,,,,,,0,2017-06-03T00:10:49+00:00
309426,ADV,small_airport,"El Daein Airport",11.4023,26.1186,1560,AF,SD,SD-DE,"El Daein",0,,ADV,,,http://en.wikipedia.org/wiki/Ed_Daein_Airport,,0,2013-09-21T16:17:50+00:00
330405,SD-0006,small_airport,"Songo Airstrip",9.774332,24.306231,1813,AF,SD,SD-11,Songo,0,,,,,,"Radom National Park",0,2019-02-10T11:38:38+00:00
318069,HSWD,small_airport,"Wad Medani Airport",14.383605,33.526387,1350,AF,SD,SD-07,"Wad Medani",0,HSWD,DNI,,,https://en.wikipedia.org/wiki/Wad_Medani_Airport,,0,2016-05-27T04:59:49+00:00
315527,SD-0002,heliport,"Zalengei Heliport",12.9029,23.4635,2955,AF,SD,SD-12,Zalengei,0,,,,,,,0,2015-09-24T08:57:14+00:00
