id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
6195,SMJP,medium_airport,"Johan Adolf Pengel International Airport",5.4528298377999995,-55.1878013611,59,SA,SR,SR-PR,Zandery,1,SMJP,PBM,,http://www.japi-airport.com,http://en.wikipedia.org/wiki/Johan_Adolf_Pengel_International_Airport,"Zanderij, JAP International Airport, JAPI Airport, JAPIA, ZY Airport",1050,2013-10-09T13:51:59+00:00
32127,SMZO,small_airport,"Zorg en Hoop Airport",5.81108,-55.190701,10,SA,SR,SR-PM,Paramaribo,1,SMZO,ORG,,,https://en.wikipedia.org/wiki/Zorg_en_Hoop_Airport,,450,2018-09-15T16:23:36+00:00
32328,SMKA,small_airport,"Kabalebo Airport",4.406,-57.223,535,SA,SR,SR-SI,Kabalebo,0,SMKA,,,,https://en.wikipedia.org/wiki/Kabalebo_Airstrip,,50,2017-06-10T20:10:45+00:00
41505,SMBN,small_airport,"Albina Airport",5.512720108032227,-54.05009841918945,19,SA,SR,SR-MA,Albina,0,SMBN,ABN,,,,,50,2008-08-23T17:37:16+00:00
41503,GY-LDO,small_airport,"Ladouanie Airport",4.37610828345,-55.407056808499995,236,SA,SR,SR-SI,Aurora,1,SMDO,LDO,,,http://en.wikipedia.org/wiki/Laduani_Airstrip,"Aurora Airstrip",50,2013-02-10T16:43:07+00:00
30606,SR-AAJ,small_airport,"Cayana Airstrip",3.898681,-55.577907,360,SA,SR,SR-SI,Awaradam,0,SMCA,AAJ,,,http://en.wikipedia.org/wiki/Cayana_Airstrip,"Kajana, Cajana",50,2013-02-10T15:11:54+00:00
41501,GY-BTO,small_airport,"Botopasi Airport",4.21751109352,-55.4470539093,242,SA,SR,SR-SI,Botopasi,1,SMBO,BTO,,,http://en.wikipedia.org/wiki/Botopassi_Airstrip,,50,2013-02-10T14:28:01+00:00
32327,SMCI,small_airport,"Coeroeni Airport",3.370684,-57.346046,479,SA,SR,SR-SI,Coeroeni,0,SMCI,,,,https://en.wikipedia.org/wiki/Coeroenie_Airstrip,,50,2017-06-10T20:03:18+00:00
41502,GY-DOE,small_airport,"Djumu-Djomoe Airport",4.00571261057,-55.4816436768,290,SA,SR,SR-SI,Djumu-Djomoe,1,SMDJ,DOE,,,http://en.wikipedia.org/wiki/Djoemoe_Airstrip,,50,2013-02-10T16:07:51+00:00
41506,SMDA,small_airport,"Drietabbetje Airport",4.111359,-54.672766,236,SA,SR,SR-SI,Drietabbetje,1,SMDA,DRJ,,,http://en.wikipedia.org/wiki/Drietabbetje_Airstrip,,50,2017-06-11T11:33:03+00:00
31732,SR-KCB,small_airport,"Tepoe Airstrip",3.15000009537,-55.716999054,596,SA,SR,SR-SI,Kasikasima,0,SMTP,KCB,,,http://en.wikipedia.org/wiki/Tepoe_Airstrip,,50,2013-02-12T00:48:33+00:00
32329,SMKE,small_airport,"Kayser Airport",3.094343,-56.472702,849,SA,SR,SR-SI,Kayserberg,0,SMKE,,,,https://en.wikipedia.org/wiki/Kayser_Airstrip,,50,2017-06-10T20:13:25+00:00
41508,SMSM,small_airport,"Kwamalasoemoetoe Airport",2.354427,-56.792431,905,SA,SR,SR-SI,"Kwamalasoemoetoe Airport",0,SMSM,,,,https://en.wikipedia.org/wiki/Kwamelasemoetoe_Airstrip,,50,2017-06-11T11:25:26+00:00
31663,SMNI,small_airport,"Nieuw Nickerie Airport",5.955560207366943,-57.039398193359375,9,SA,SR,SR-NI,"Nieuw Nickerie",0,SMNI,ICK,,,,,50,2008-08-03T11:50:03+00:00
32092,SMPA,small_airport,"Vincent Fayks Airport",3.3452799320220947,-55.442501068115234,714,SA,SR,SR-SI,Paloemeu,0,SMPA,OEM,,,,,50,2008-08-23T17:37:19+00:00
41507,SMSI,small_airport,"Sipaliwini Airport",2.026438,-56.126412,744,SA,SR,SR-SI,Sipaliwini,0,SMSI,,,,https://en.wikipedia.org/wiki/Sipaliwini_Airstrip,,50,2017-06-11T11:39:34+00:00
41509,SMST,small_airport,"Stoelmanseiland Airport",4.349999904632568,-54.41666793823242,187,SA,SR,SR-SI,Stoelmanseiland,0,SMST,SMZ,,,,,50,2008-08-23T17:37:22+00:00
32331,SMTB,small_airport,"Rudi Kappel Airport",3.787625,-56.149487,1112,SA,SR,SR-SI,Tafelberg,0,SMTB,,,,https://en.wikipedia.org/wiki/Tafelberg_Airstrip,,50,2017-06-11T11:41:08+00:00
32470,SMCO,small_airport,"Totness Airport",5.865829944610596,-56.32749938964844,10,SA,SR,SR-CR,Totness,0,SMCO,TOT,,,,,50,2008-08-23T17:37:18+00:00
41510,SMWA,small_airport,"Wageningen Airstrip",5.841128,-56.673328,6,SA,SR,SR-NI,Wageningen,1,SMWA,AGI,,,http://en.wikipedia.org/wiki/Wageningen_Airstrip,,50,2017-06-11T11:47:37+00:00
41504,GY-WSO,small_airport,"Washabo Airport",5.215277,-57.185302,68,SA,SR,SR-SI,Washabo,0,SMWS,WSO,,,https://en.wikipedia.org/wiki/Washabo_Airport,,50,2017-06-11T11:48:51+00:00
323762,SMGR,small_airport,"Gross Rosebel Airstrip",5.091667,-55.249167,,SA,SR,SR-BR,,0,SMGR,,,,https://en.wikipedia.org/wiki/Gross_Rosebel_Airstrip,,0,2017-06-10T20:06:35+00:00
323763,SMHA,small_airport,"Henri Alwies Airstrip",5.831944,-55.6375,22,SA,SR,SR-SA,,0,SMHA,,,,https://en.wikipedia.org/wiki/Henri_Alwies_Airstrip,,0,2017-06-10T20:08:12+00:00
323754,SMOL,small_airport,"Oelemari Airport",3.104167,-54.543056,483,SA,SR,SR-SI,,0,SMOL,,,,https://en.wikipedia.org/wiki/Oelemari_Airport,,0,2017-06-10T19:27:36+00:00
308263,SMAF,small_airport,"Afobakka Airstrip",4.998505,-54.992033,80,SA,SR,SR-BR,Afobakka,1,SMAF,,,,http://en.wikipedia.org/wiki/Afobaka_Airstrip,,0,2013-02-10T12:35:02+00:00
308269,SMDU,small_airport,"Alalapadu Airstrip",2.5235,-56.3247,880,SA,SR,SR-SI,Alalapadi,0,SMDU,,,,http://en.wikipedia.org/wiki/Alalapadu_Airstrip,,0,2013-02-13T01:17:24+00:00
323795,SR-0004,small_airport,"Alupi Airstrip",5.821147,-56.81464,,SA,SR,SR-NI,Alupi,0,,,,,,,0,2017-06-11T11:57:38+00:00
323752,SR-0001,small_airport,"Amatopo Airstrip",3.547885,-57.633958,,SA,SR,SR-SI,Amatopo,0,SMAM,,,,https://en.wikipedia.org/wiki/Amatopo_Airstrip,,0,2017-06-10T19:36:53+00:00
323757,SMLA,small_airport,"Lawa Anapaike Airstrip",3.411301,-54.028049,373,SA,SR,SR-SI,Anapaike,0,SMLA,,,,https://en.wikipedia.org/wiki/Lawa_Anapaike_Airstrip,,0,2017-06-10T19:50:10+00:00
323751,SMPT,small_airport,"Apetina Airstrip",3.50278,-55.058791,,SA,SR,SR-SI,Apetina,0,SMPT,,,,https://en.wikipedia.org/wiki/Apetina_Airstrip,,0,2017-06-10T19:16:16+00:00
323753,SMVO,small_airport,"Avanavero Airstrip",4.825685,-57.282415,,SA,SR,SR-SI,Avanavero,0,SMVO,,,,https://en.wikipedia.org/wiki/Avanavero_Airstrip,,0,2017-06-10T19:25:52+00:00
323755,SMBG,small_airport,"Bakhuys Airstrip",4.778882,-56.768699,307,SA,SR,SR-SI,Bakhuys,0,SMBG,,,,https://en.wikipedia.org/wiki/Bakhuys_Airstrip,,0,2017-06-10T19:30:28+00:00
308265,SMTA,small_airport,"Tabiki Airstrip",3.679806,-54.085207,309,SA,SR,SR-SI,Benzdorp,1,SMTA,,,,http://en.wikipedia.org/wiki/Lawa_Tabiki_Airstrip,,0,2017-06-10T19:57:11+00:00
323758,SMAN,small_airport,"Lawa Antino Airstrip",3.619932,-54.142714,740,SA,SR,SR-SI,Benzdorp,0,SMAN,,,,https://en.wikipedia.org/wiki/Lawa_Antino_Airstrip,,0,2017-06-10T19:56:19+00:00
323765,SR-0003,small_airport,"Brownsweg Airstrip",5.022859,-55.165171,,SA,SR,SR-BR,Brownsweg,0,,,,,,,0,2017-06-10T20:16:00+00:00
323759,SMCB,small_airport,"Cabana Airstrip",4.852778,-55.593056,,SA,SR,SR-SI,Cabana,0,SMCB,,,,https://en.wikipedia.org/wiki/Cabana_Airstrip,,0,2017-06-10T20:00:39+00:00
323756,SMDK,small_airport,"Donderskamp Airstrip",5.350385,-56.363047,,SA,SR,SR-SI,Donderskamp,0,SMDK,,,,https://en.wikipedia.org/wiki/Donderskamp_Airstrip,,0,2017-06-10T19:33:10+00:00
323761,SMGA,small_airport,"Gakaba Airstrip",4.454167,-54.445833,192,SA,SR,SR-SI,Gakaba,0,SMGA,,,,https://en.wikipedia.org/wiki/Gakaba_Airstrip,,0,2017-06-10T20:05:00+00:00
323764,SMJA,small_airport,"Jarikaba Airstrip",5.826389,-55.3375,19,SA,SR,SR-SA,Jarikaba,0,SMJA,,,,https://en.wikipedia.org/wiki/Jarikaba_Airstrip,,0,2017-06-10T20:09:49+00:00
323786,SMLT,small_airport,"Langatabbetje Airstrip",4.996111,-54.441667,33,SA,SR,SR-SI,Langatabbetje,0,SMLT,,,,https://en.wikipedia.org/wiki/Langatabbetje_Airstrip,,0,2017-06-11T11:27:29+00:00
308264,SMCT,small_airport,"Cottica Airstrip",3.85216,-54.228201,330,SA,SR,SR-SI,"Lawa Cottica",1,SMCT,,,,http://en.wikipedia.org/wiki/Lawa_Cottica_Airstrip,,0,2013-02-10T15:58:46+00:00
323787,SMLI,small_airport,"Lelygebergte Airstrip",4.268056,-54.743056,2217,SA,SR,SR-SI,Lelygebergte,0,SMLI,,,,https://en.wikipedia.org/wiki/Lelygebergte_Airstrip,,0,2017-06-11T11:28:55+00:00
308267,SMMO,small_airport,"Moengo Airstrip",5.6076,-54.4003,49,SA,SR,SR-MA,Moengo,1,SMMO,MOJ,,,http://en.wikipedia.org/wiki/Moengo_Airstrip,,0,2013-02-13T00:13:04+00:00
323760,SR-0002,small_airport,"Nieuw Jacobkondre Airstrip",4.935714,-55.534735,82,SA,SR,SR-SI,"Nieuw Jacobkondre",0,SMJK,,,,https://en.wikipedia.org/wiki/Njoeng_Jacob_Kondre_Airstrip,,0,2017-06-11T11:30:24+00:00
308268,SMGH,small_airport,"Godo Holo Airstrip",4.0583,-54.7861,280,SA,SR,SR-SI,"Pikienkondre of Miranda",1,SMGH,,,,http://en.wikipedia.org/wiki/Godo_Holo_Airstrip,,0,2013-02-13T00:49:08+00:00
323788,SMPE,small_airport,"Poeketi Airstrip",4.126389,-54.623611,,SA,SR,SR-SI,Poeketi,0,SMPE,,,,https://en.wikipedia.org/wiki/Poeketi_Airstrip,,0,2017-06-11T11:34:12+00:00
308266,SMPG,small_airport,"Poesoegroenoe(Pusugrunu) Airstrip",4.397914,-55.793374,390,SA,SR,SR-SI,Poesoegroenoe,0,SMPG,,,,http://en.wikipedia.org/wiki/Poesoegroenoe_Airstrip,,0,2013-02-12T02:27:05+00:00
323789,SMRN,small_airport,"Ragoebarsing Airstrip",4.884722,-56.940278,141,SA,SR,SR-SI,Ragoebarsing,0,SMRN,,,,https://en.wikipedia.org/wiki/Ragoebarsing_Airstrip,,0,2017-06-11T11:35:49+00:00
323790,SMRA,small_airport,"Ralleigh Airstrip",4.722778,-56.208333,109,SA,SR,SR-SI,Ralleigh,0,SMRA,,,,https://en.wikipedia.org/wiki/Ralleigh_Airstrip,,0,2017-06-11T11:37:11+00:00
323791,SMSK,small_airport,"Sarakreek Airstrip",4.319444,-54.966667,223,SA,SR,SR-BR,Sarakreek,0,SMSK,,,,https://en.wikipedia.org/wiki/Sarakreek_Airstrip,,0,2017-06-11T11:38:33+00:00
323792,SMVG,small_airport,"Vier Gebroeders Airstrip",1.9625,-55.929167,1110,SA,SR,SR-SI,"Vier Gebroeders",0,SMVG,,,,https://en.wikipedia.org/wiki/Vier_Gebroeders_Airstrip,,0,2017-06-11T11:44:40+00:00
