id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
2701,ESSA,large_airport,"Stockholm-Arlanda Airport",59.651901245117,17.918600082397,137,EU,SE,SE-AB,Stockholm,1,ESSA,ARN,,http://www.swedavia.se/arlanda/,http://en.wikipedia.org/wiki/Stockholm-Arlanda_Airport,,1019975,2015-07-28T21:54:56+00:00
2648,ESGG,large_airport,"Gothenburg-Landvetter Airport",57.662799835205,12.279800415039,506,EU,SE,SE-Q,Gothenburg,1,ESGG,GOT,,https://www.swedavia.com/landvetter/,http://en.wikipedia.org/wiki/Gothenburg-Landvetter_Airport,Göteborg-Landvetter,1275,2015-07-30T15:03:17+00:00
2660,ESKN,medium_airport,"Stockholm Skavsta Airport",58.78860092163086,16.912200927734375,140,EU,SE,SE-D,"Stockholm / Nyköping",1,ESKN,NYO,,,http://en.wikipedia.org/wiki/Stockholm-Skavsta_Airport,,1050,2008-07-13T14:17:54+00:00
2702,ESSB,medium_airport,"Stockholm-Bromma Airport",59.354400634765625,17.941699981689453,47,EU,SE,SE-AB,Stockholm,1,ESSB,BMA,,,http://en.wikipedia.org/wiki/Stockholm-Bromma_Airport,,1050,2008-07-13T14:22:15+00:00
2669,ESMS,large_airport,"Malmö Sturup Airport",55.536305364,13.376197814900001,236,EU,SE,SE-M,Malmö,1,ESMS,MMX,,http://www.swedavia.com/malmo/,http://en.wikipedia.org/wiki/Malm%C3%B6_Airport,,1275,2012-04-02T10:55:30+00:00
2652,ESGP,medium_airport,"Gothenburg City Airport",57.7747,11.8704,59,EU,SE,SE-Q,Gothenburg,0,ESGP,GSE,,http://www.goteborgairport.se/,http://en.wikipedia.org/wiki/Gothenburg_City_Airport,"Säve Airport, Göteborg City Airport",975,2019-01-11T11:11:03+00:00
2689,ESNU,medium_airport,"Umeå Airport",63.791801452637,20.282800674438,24,EU,SE,SE-AC,Umeå,1,ESNU,UME,,https://www.swedavia.com/umea/,http://en.wikipedia.org/wiki/Ume%C3%A5_Airport,,1050,2015-07-30T15:00:58+00:00
2706,ESSL,medium_airport,"Linköping City Airport",58.4062004089,15.680500030500001,172,EU,SE,SE-E,Linköping,1,ESSL,LPI,,http://www.linkopingsflygplats.se/,http://en.wikipedia.org/wiki/Link%C3%B6ping_SAAB_Airport,,1050,2013-07-08T13:40:53+00:00
2697,ESPA,large_airport,"Luleå Airport",65.543800354004,22.121999740601,65,EU,SE,SE-BD,Luleå,1,ESPA,LLA,,https://www.swedavia.com/lulea/,http://en.wikipedia.org/wiki/Lule%C3%A5_Airport,"Kallax Air Base",1050,2015-07-30T15:01:43+00:00
2685,ESNQ,medium_airport,"Kiruna Airport",67.821998596191,20.336799621582,1508,EU,SE,SE-BD,Kiruna,1,ESNQ,KRN,,https://www.swedavia.com/kiruna/,http://en.wikipedia.org/wiki/Kiruna_Airport,,975,2015-11-02T10:19:48+00:00
2710,ESSV,medium_airport,"Visby Airport",57.662799835205,18.346200942993,164,EU,SE,SE-I,Visby,1,ESSV,VBY,,https://www.swedavia.com/visby/,http://en.wikipedia.org/wiki/Visby_Airport,,975,2015-07-30T15:01:17+00:00
2668,ESMQ,medium_airport,"Kalmar Airport",56.68550109863281,16.287599563598633,17,EU,SE,SE-H,,1,ESMQ,KLR,,,http://en.wikipedia.org/wiki/Kalmar_Airport,,975,2008-06-13T14:30:04+00:00
2696,ESOW,medium_airport,"Stockholm Västerås Airport",59.58940124511719,16.63360023498535,21,EU,SE,SE-U,"Stockholm / Västerås",1,ESOW,VST,,,http://en.wikipedia.org/wiki/Stockholm-V%C3%A4ster%C3%A5s_Airport,,975,2008-07-13T14:18:48+00:00
29358,ESNZ,medium_airport,"Åre Östersund Airport",63.194400787354,14.50030040741,1233,EU,SE,SE-Z,Östersund,1,ESNZ,OSD,,https://www.swedavia.com/ostersund/,https://en.wikipedia.org/wiki/%C3%85re_%C3%96stersund_Airport,"F4 Frösön Air Base, ESPC",800,2015-07-30T15:02:10+00:00
2682,ESNN,medium_airport,"Sundsvall-Härnösand Airport",62.528099060058594,17.443899154663086,16,EU,SE,SE-Y,"Sundsvall/ Härnösand",1,ESNN,SDL,,,http://en.wikipedia.org/wiki/Sundsvall-H%C3%A4rn%C3%B6sand_Airport,,1050,2008-07-13T14:24:11+00:00
2646,ESDF,medium_airport,"Ronneby Airport",56.266700744629,15.265000343323,191,EU,SE,SE-K,,1,ESDF,RNB,,https://www.swedavia.com/ronneby/,http://en.wikipedia.org/wiki/Ronneby_Airport,,975,2015-07-30T15:02:33+00:00
2711,ESTA,medium_airport,"Ängelholm-Helsingborg Airport",56.29610061645508,12.847100257873535,68,EU,SE,SE-M,Ängelholm,1,ESTA,AGH,,http://www.lfv.se/templates/LFV_AirportStartPage____4777.aspx,http://en.wikipedia.org/wiki/%C3%84ngelholm-Helsingborg_Airport,"ESDB, Ängelholm Air Base",975,2008-06-14T14:34:32+00:00
