id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
28118,VTBS,large_airport,"Suvarnabhumi Airport",13.681099891662598,100.74700164794922,5,AS,TH,TH-10,Bangkok,1,VTBS,BKK,,,http://en.wikipedia.org/wiki/Suvarnabhumi_Airport,,51150,2009-01-29T16:23:22+00:00
26638,VTBD,large_airport,"Don Mueang International Airport",13.9125995636,100.607002258,9,AS,TH,TH-10,Bangkok,1,VTBD,DMK,,http://www2.airportthai.co.th/airportnew/bangkok/index.asp?lang=en,http://en.wikipedia.org/wiki/Don_Mueang_International_Airport,"Old Bangkok International Airport, Don Muang Royal Thai Air Force Base",875,2014-01-27T11:03:44+00:00
26674,VTSP,large_airport,"Phuket International Airport",8.1132,98.316902,82,AS,TH,TH-83,Phuket,1,VTSP,HKT,,,http://en.wikipedia.org/wiki/Phuket_International_Airport,,1050,2017-04-28T19:11:13+00:00
26647,VTCC,large_airport,"Chiang Mai International Airport",18.766799926799997,98.962600708,1036,AS,TH,TH-50,"Chiang Mai",1,VTCC,CNX,,,http://en.wikipedia.org/wiki/Chiang_Mai_International_Airport,,1050,2010-09-01T19:15:28+00:00
26672,VTSM,medium_airport,"Samui Airport",9.547789573669998,100.06199646,64,AS,TH,TH-80,"Na Thon (Ko Samui Island)",1,VTSM,USM,,http://www.samuiairportonline.com,http://en.wikipedia.org/wiki/Samui_Airport,,800,2010-08-30T15:52:48+00:00
26669,VTSG,medium_airport,"Krabi Airport",8.09912014008,98.9861984253,82,AS,TH,TH-81,Krabi,1,VTSG,KBV,,,http://en.wikipedia.org/wiki/Krabi_Airport,,1050,2010-09-01T19:17:14+00:00
26676,VTSS,medium_airport,"Hat Yai International Airport",6.93320989609,100.392997742,90,AS,TH,TH-90,"Hat Yai",1,VTSS,HDY,,,http://en.wikipedia.org/wiki/Hat_Yai_International_Airport,,1050,2010-09-02T20:40:57+00:00
26645,VTBU,medium_airport,"U-Tapao International Airport",12.679900169372559,101.00499725341797,42,AS,TH,TH-21,Rayong,1,VTBU,UTP,,http://www.utapao.com/,http://en.wikipedia.org/wiki/U-Tapao_International_Airport,"Utapao, U-Taphao, U-Tapao Royal Thai Navy Airfield",1000,2009-03-04T17:46:31+00:00
26653,VTCT,medium_airport,"Chiang Rai International Airport",19.952299118,99.88289642330001,1280,AS,TH,TH-57,"Chiang Rai",1,VTCT,CEI,,,http://en.wikipedia.org/wiki/Chiang_Rai_International_Airport,,1050,2010-09-02T19:17:37+00:00
26678,VTUD,medium_airport,"Udon Thani Airport",17.386400222800003,102.788002014,579,AS,TH,TH-41,"Udon Thani",1,VTUD,UTH,,http://www.udonthaniairport.com/,http://en.wikipedia.org/wiki/Udon_Thani_International_Airport,,1050,2010-09-02T20:43:32+00:00
