id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
4573,LWSK,large_airport,"Skopje Alexander the Great Airport",41.961601,21.621401,781,EU,MK,MK-004,Skopje,1,LWSK,SKP,,http://skp.airports.com.mk/,http://en.wikipedia.org/wiki/Skopje_Airport,,1050,2019-02-16T10:00:26+00:00
4572,LWOH,medium_airport,"Ohrid St. Paul the Apostle Airport",41.18,20.7423,2313,EU,MK,MK-003,Ohrid,1,LWOH,OHD,,http://ohd.airports.com.mk/,http://en.wikipedia.org/wiki/Ohrid_Airport,,1050,2016-02-24T09:51:02+00:00
4677,LW75,small_airport,"Stenkovec Brazda Airport",42.059101,21.391002,1150,EU,MK,MK-004,Brazda,0,,,LW75,https://www.aeroclub.mk,https://en.wikipedia.org/wiki/Stenkovec_Brazda_Airport,,50,2019-02-16T09:58:39+00:00
4676,LW74,small_airport,"Logovardi Airport",41.022449,21.424006,1950,EU,MK,MK-005,Bitola,0,,,LW74,,http://en.wikipedia.org/wiki/Logovardi_Airport,LW74,50,2017-10-19T00:54:55+00:00
4671,LW69,small_airport,"Dolneni Airport",41.429298,21.4025,1970,EU,MK,MK-005,Dolneni,0,,,,,,LW69,50,2016-02-24T09:59:42+00:00
4669,LW67,small_airport,"Kumanovo Airbase",42.154884,21.699821,1217,EU,MK,MK-007,Kumanovo,0,,,,,,LW67,50,2016-02-24T10:10:48+00:00
4668,LW66,small_airport,"Malo Konjari Sport Airfield",41.333099,21.4491,2034,EU,MK,MK-005,"Malo Konjari",0,,,,,,LW66,50,2016-02-24T10:03:59+00:00
4678,LW76,closed,"Mavrovica Airport",41.912399,21.9554,1237,EU,MK,MK-001,Mavrovica,0,,,,,,LW76,50,2016-02-24T09:39:49+00:00
4674,LW72,small_airport,"Negotino Airfield",41.5172,22.087099,500,EU,MK,MK-001,Negotino,0,,,LW72,,,LW72,50,2017-10-19T00:55:55+00:00
4670,LW68,small_airport,"Srpci Airfield",41.151734,21.40687,1900,EU,MK,MK-005,Srpci,0,,,LW68,,,LW68,50,2017-10-19T01:01:01+00:00
4675,LW73,small_airport,"Štip Airport",41.798058,22.109863,900,EU,MK,MK-002,Stip,0,,,,,,LW73,50,2016-02-24T09:47:36+00:00
4673,LW71,small_airport,"Sveti Nikole Airport",41.827702,21.9869,794,EU,MK,MK-001,"Sveti Nikole",0,,,,,,LW71,50,2016-02-24T09:40:18+00:00
4672,LW70,small_airport,"Veles Airport",41.759628,21.841293,1112,EU,MK,MK-001,Veles,0,,,,,,"Titov Veles, LW70, Велес",50,2016-02-24T09:42:12+00:00
316169,MK-0001,small_airport,"Gradsko Airfield",41.552778,21.948889,623,EU,MK,MK-001,Gradsko,0,,,,,,,0,2016-02-24T09:36:47+00:00
