id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
2133,DTTA,large_airport,"Tunis Carthage International Airport",36.85100173950195,10.22719955444336,22,AF,TN,TN-11,Tunis,1,DTTA,TUN,,http://www.oaca.nat.tn/english/div_horizontal_tunis_airport_eng.htm,http://en.wikipedia.org/wiki/Tunis-Carthage_International_Airport,"Aéroport international de Tunis-Carthage, مطار تونس قرطاج الدولي",1275,2009-06-25T16:28:14+00:00
2132,DTMB,medium_airport,"Monastir Habib Bourguiba International Airport",35.75809860229492,10.75469970703125,9,AF,TN,TN-52,Monastir,1,DTMB,MIR,,,http://en.wikipedia.org/wiki/Habib_Bourguiba_International_Airport,,1050,2009-06-25T16:23:45+00:00
2139,DTTJ,medium_airport,"Djerba Zarzis International Airport",33.875,10.775500297546387,19,AF,TN,TN-82,Djerba,1,DTTJ,DJE,,,http://en.wikipedia.org/wiki/Djerba-Zarzis_Airport,,1050,2009-06-25T16:15:41+00:00
44483,TN-0002,large_airport,"Enfidha - Hammamet International Airport",36.075833,10.438611,21,AF,TN,TN-51,Enfidha,1,DTNH,NBE,DTNH,http://www.enfidhahammametairport.com/,http://en.wikipedia.org/wiki/Enfidha_%E2%80%93_Hammamet_International_Airport,DTNH,0,2019-01-02T20:15:22+00:00
2142,DTTZ,medium_airport,"Tozeur Nefta International Airport",33.939701080322266,8.110560417175293,287,AF,TN,TN-72,Tozeur,1,DTTZ,TOE,,,http://en.wikipedia.org/wiki/Nefta_Airport,,1050,2009-06-25T16:27:49+00:00
2137,DTTG,medium_airport,"Gabès Matmata International Airport",33.87689971923828,10.103300094604492,26,AF,TN,TN-81,Gabès,1,DTTG,GAE,,,http://en.wikipedia.org/wiki/Gab%C3%A8s_-_Matmata_International_Airport,,250,2009-06-25T16:30:40+00:00
2131,DTKA,medium_airport,"Tabarka 7 Novembre Airport",36.97999954223633,8.87693977355957,230,AF,TN,TN-32,Tabarka,1,DTKA,TBJ,,,http://en.wikipedia.org/wiki/Tabarka_-_7_Novembre_International_Airport,,1050,2009-06-25T16:26:47+00:00
2141,DTTX,medium_airport,"Sfax Thyna International Airport",34.71799850463867,10.690999984741211,85,AF,TN,TN-61,Sfax,1,DTTX,SFA,,,http://en.wikipedia.org/wiki/Thyna_Airport,,875,2009-06-25T16:25:52+00:00
2140,DTTR,medium_airport,"El Borma Airport",31.704299926757812,9.254619598388672,827,AF,TN,TN-83,"El Borma",0,DTTR,EBM,,,,,275,2009-06-29T07:14:01+00:00
2136,DTTF,medium_airport,"Gafsa Ksar International Airport",34.422000885009766,8.822500228881836,1060,AF,TN,TN-71,Gafsa,1,DTTF,GAF,,,http://en.wikipedia.org/wiki/Gafsa_-_Ksar_International_Airport,,275,2009-06-25T16:31:27+00:00
2135,DTTD,medium_airport,"Remada Air Base",32.30619812011719,10.382100105285645,1004,AF,TN,TN-83,Remada,0,DTTD,,,,,,250,2009-06-25T16:25:23+00:00
2134,DTTB,medium_airport,"Sidi Ahmed Air Base",37.245398,9.79145,20,AF,TN,TN-23,"Sidi Ahmed",0,DTTB,,,,http://en.wikipedia.org/wiki/Bizerte-Sidi_Ahmed_Air_Base,QIZ,250,2017-01-07T12:23:16+00:00
2138,DTTI,small_airport,"Borj El Amri Airport",36.72129821777344,9.94314956665039,110,AF,TN,TN-13,"Borj El Amri",0,DTTI,,,,http://en.wikipedia.org/wiki/Bordj_El_Amri_Airport,,50,2009-06-25T16:06:44+00:00
6401,DT70,small_airport,"Medenine Airport",33.35020065307617,10.444000244140625,427,AF,TN,TN-82,Medenine,0,DT70,,DT70,,,"Madaniyin Airport",50,2009-06-25T16:43:21+00:00
44482,TN-0001,heliport,"La Karouba Air Base",37.247406005859375,9.82906723022461,,AF,TN,TN-23,Pêcherie,0,,,,,,,0,2009-09-01T17:58:42+00:00
