id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
4528,LTBA,large_airport,"Atatürk International Airport",40.976898,28.8146,163,AS,TR,TR-34,Istanbul,1,LTBA,IST,,http://www.ataturkairport.com/eng/,http://en.wikipedia.org/wiki/Atat%C3%BCrk_International_Airport,"Ataturk, Yeşilköy, Yesilkoy",1015875,2018-10-09T06:20:54+00:00
4515,LTAI,large_airport,"Antalya International Airport",36.898701,30.800501,177,AS,TR,TR-07,Antalya,1,LTAI,AYT,,http://www.antalya.dhmi.gov.tr/havaalanlari/default.aspx?hv=4,http://en.wikipedia.org/wiki/Antalya_Airport,,51150,2016-05-20T02:42:02+00:00
4569,LTFJ,large_airport,"Sabiha Gökçen International Airport",40.898601532,29.3092002869,312,AS,TR,TR-34,Istanbul,1,LTFJ,SAW,,http://www.sgairport.com/,http://en.wikipedia.org/wiki/Sabiha_G%C3%B6k%C3%A7en_International_Airport,"Sabiha Gökçen Havalimanı",1275,2010-12-14T17:34:51+00:00
4533,LTBJ,large_airport,"Adnan Menderes International Airport",38.2924003601,27.156999588,412,AS,TR,TR-35,İzmir,1,LTBJ,ADB,,http://www.adnanmenderesairport.com,http://en.wikipedia.org/wiki/Adnan_Menderes_Airport,,1275,2012-03-06T10:39:27+00:00
4509,LTAC,large_airport,"Esenboğa International Airport",40.128101348899996,32.995098114,3125,AS,TR,TR-06,Ankara,1,LTAC,ESB,,,http://en.wikipedia.org/wiki/Esenbo%C4%9Fa_International_Airport,,1675,2010-08-29T21:15:57+00:00
4567,LTFE,large_airport,"Milas Bodrum International Airport",37.25059890749999,27.6643009186,21,AS,TR,TR-48,Bodrum,1,LTFE,BJV,,,http://en.wikipedia.org/wiki/Milas-Bodrum_Airport,,1275,2010-12-14T17:33:32+00:00
4542,LTBS,large_airport,"Dalaman International Airport",36.7131004333,28.7924995422,20,AS,TR,TR-48,Dalaman,1,LTBS,DLM,,,http://en.wikipedia.org/wiki/Dalaman_Airport,,875,2010-12-14T17:42:24+00:00
4512,LTAF,large_airport,"Adana Airport",36.9822006226,35.280399322499996,65,AS,TR,TR-01,Adana,1,LTAF,ADA,,,http://en.wikipedia.org/wiki/Adana_%C5%9Eakirpa%C5%9Fa_Airport,"Şakirpaşa, Sakirpasa",1050,2010-12-09T13:11:13+00:00
4553,LTCG,large_airport,"Trabzon International Airport",40.99509811401367,39.78969955444336,104,AS,TR,TR-61,Trabzon,1,LTCG,TZX,,,http://en.wikipedia.org/wiki/Trabzon_Airport,,1050,2009-06-27T08:41:31+00:00
