id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
4628,MBPV,medium_airport,"Providenciales Airport",21.77359962463379,-72.26589965820312,15,NA,TC,TC-PR,"Providenciales Island",1,MBPV,PLS,,,http://en.wikipedia.org/wiki/Providenciales_International_Airport,,875,2008-12-30T14:07:23+00:00
4626,MBGT,medium_airport,"JAGS McCartney International Airport",21.444499969482422,-71.14230346679688,13,NA,TC,TC-GT,"Cockburn Town",1,MBGT,GDT,,,http://en.wikipedia.org/wiki/JAGS_McCartney_International_Airport,,875,2008-12-30T14:07:23+00:00
308443,MBAC,small_airport,"Harold Charles International Airport",21.302649,-71.637168,9,NA,TC,TC-AC,"Big Ambergris Cay",0,MBAC,,,http://www.ambergristci.com/documents/12(a).%20Ambergris%20Cay%20Paved%20Jet%20Strip.pdf,,"Ambergris Cay Airport",0,2013-04-06T12:44:32+00:00
4627,MBNC,medium_airport,"North Caicos Airport",21.9175,-71.939598,10,NA,TC,TC-NC,,1,MBNC,NCA,,,https://en.wikipedia.org/wiki/North_Caicos_Airport,,800,2018-09-15T16:17:06+00:00
4629,MBSC,medium_airport,"South Caicos Airport",21.515699386599998,-71.528503418,6,NA,TC,TC-SC,,1,MBSC,XSC,,,http://en.wikipedia.org/wiki/South_Caicos_Airport,,800,2011-11-17T23:11:10+00:00
31887,MBMC,small_airport,"Middle Caicos Airport",21.82602,-71.8025,9,NA,TC,TC-MC,"Middle Caicos",0,MBMC,MDS,,,http://en.wikipedia.org/wiki/Middle_Caicos_Airport,,450,2011-10-10T08:52:25+00:00
32325,MBSY,small_airport,"Salt Cay Airport",21.333000183099998,-71.1999969482,3,NA,TC,TC-SL,"Salt Cay",1,MBSY,SLX,,,http://en.wikipedia.org/wiki/Salt_Cay_Airport,,450,2011-11-08T01:52:18+00:00
32159,MBPI,small_airport,"Pine Cay Airport",21.874948,-72.092344,3,NA,TC,TC-PN,"Pine Cay",0,MBPI,PIC,,,,,50,2015-03-23T14:27:35+00:00
308444,TC-0001,closed,"[Duplicate] Harold Charles International Airport",21.301969,-71.638627,9,NA,TC,TC-AC,"Big Ambergris Cay",0,MBAC,,,http://www.ambergristci.com/documents/12(a).%20Ambergris%20Cay%20Paved%20Jet%20Strip.pdf,,"Ambergris Cay Airport",0,2016-07-06T21:31:39+00:00
308445,TC-0002,closed,"[Duplicate] Harold Charles International Airport",21.302369,-71.637833,9,NA,TC,TC-AC,"Big Ambergris Cay",0,MBAC,,,http://www.ambergristci.com/documents/12(a).%20Ambergris%20Cay%20Paved%20Jet%20Strip.pdf,,"Ambergris Cay Airport",0,2016-07-06T21:29:46+00:00
