id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
6467,UKBB,large_airport,"Boryspil International Airport",50.345001220703125,30.894699096679688,427,EU,UA,UA-32,Kiev,1,UKBB,KBP,,http://www.airport-borispol.kiev.ua/,http://en.wikipedia.org/wiki/Boryspil_International_Airport,"Borispol, Міжнародний аеропорт ""Бориспіль""",1600,2009-02-18T19:50:27+00:00
6478,UKKK,medium_airport,"Kiev Zhuliany International Airport",50.40194,30.45194,587,EU,UA,UA-32,Kiev,1,UKKK,IEV,,https://iev.aero/,https://en.wikipedia.org/wiki/Kyiv_International_Airport_(Zhuliany),"Міжнародний аеропорт ""Київ""",1050,2018-09-16T02:24:51+00:00
6487,UKOO,large_airport,"Odessa International Airport",46.42679977416992,30.67650032043457,172,EU,UA,UA-51,Odessa,1,UKOO,ODS,,http://www.airport.od.ua/,http://en.wikipedia.org/wiki/Odessa_International_Airport,"Odesa Central, Міжнародний аеропорт Одеса",1200,2009-01-21T23:07:01+00:00
6474,UKFF,large_airport,"Simferopol International Airport",45.05220031738281,33.975101470947266,639,EU,UA,UA-43,Simferopol,1,UKFF,SIP,,http://www.airport.crimea.ua/,http://en.wikipedia.org/wiki/Simferopol_International_Airport,"Міжнародний аеропорт ""Сімферополь""",1200,2009-01-10T10:03:44+00:00
6471,UKDD,medium_airport,"Dnipropetrovsk International Airport",48.357200622558594,35.10060119628906,481,EU,UA,UA-12,Dnipropetrovsk,1,UKDD,DNK,,,http://en.wikipedia.org/wiki/Dnipropetrovsk_International_Airport,"Міжнародний аеропорт ""Дніпропетровськ""",1200,2009-02-18T18:23:07+00:00
6481,UKLL,medium_airport,"Lviv International Airport",49.8125,23.956100463867188,1071,EU,UA,UA-46,Lviv,1,UKLL,LWO,,http://www.airport.lviv.ua/index.php?id=home&L=1,http://en.wikipedia.org/wiki/Lviv_International_Airport,"Міжнародний аеропорт ""Львів""",1200,2009-02-18T19:52:47+00:00
6468,UKCC,closed,"Donetsk International Airport",48.073601,37.7397,791,EU,UA,UA-14,Donetsk,1,UKCC,DOK,,http://airport.dn.ua/,http://en.wikipedia.org/wiki/Donetsk_International_Airport,"Міжнародний аеропорт ""Донецьк""",1200,2018-01-21T11:41:16+00:00
6476,UKHH,large_airport,"Kharkiv International Airport",49.924800872802734,36.290000915527344,508,EU,UA,UA-63,Kharkiv,1,UKHH,HRK,,http://www.airport.kharkov.ua/,http://en.wikipedia.org/wiki/Kharkiv_International_Airport,"Osnova International Airport, Міжнародний аеропорт ""Харків""",1200,2009-02-18T19:59:24+00:00
6482,UKLN,medium_airport,"Chernivtsi International Airport",48.259300231933594,25.98080062866211,826,EU,UA,UA-77,Chernivtsi,1,UKLN,CWC,,,http://en.wikipedia.org/wiki/Chernivtsi_International_Airport,,1050,2009-02-18T18:21:01+00:00
6485,UKLU,medium_airport,"Uzhhorod International Airport",48.634300231933594,22.263399124145508,383,EU,UA,UA-21,Uzhhorod,1,UKLU,UDJ,,,http://en.wikipedia.org/wiki/Uzhhorod_International_Airport,"Міжнародний аеропорт ""Ужгород""",800,2009-02-18T20:01:50+00:00
6480,UKLI,medium_airport,"Ivano-Frankivsk International Airport",48.88420104980469,24.686100006103516,919,EU,UA,UA-26,Ivano-Frankivsk,1,UKLI,IFO,,http://www.aeroportifua.ifrastudio.com/index.php?area=2,http://en.wikipedia.org/wiki/Ivano-Frankivsk_International_Airport,"Міжнародний аеропорт Івано-Франківськ",1050,2009-02-18T19:46:15+00:00
6470,UKCW,medium_airport,"Luhansk International Airport",48.4174003601,39.3740997314,636,EU,UA,UA-09,Luhansk,1,UKCW,VSG,,,http://en.wikipedia.org/wiki/Luhansk_International_Airport,"Lugansk International Airport, Міжнародний аеропорт Луганськ, Аэропорт Луганск",1050,2010-02-22T15:59:41+00:00
6479,UKKM,medium_airport,"Gostomel Airport",50.60350036621094,30.1919002532959,517,EU,UA,UA-32,Kiev,0,UKKM,GML,,http://www.antonov.com/products/airport/index.xml,http://en.wikipedia.org/wiki/Gostomel_Airport,"Antonov International Airport, Аеропорт „Антонов”, Hostomel Airport",750,2009-01-21T23:11:13+00:00
31747,UKFK,small_airport,"Kerch Airport",45.372501373291016,36.40140151977539,171,EU,UA,UA-43,Kerch,0,UKFK,KHC,,,,,50,2008-08-03T11:50:53+00:00
44436,UA-0038,small_airport,"Kiev West",50.42869567871094,30.298540115356445,,EU,UA,UA-32,Kiev,0,,,,,,,0,2009-05-07T07:46:47+00:00
6473,UKDR,medium_airport,"Kryvyi Rih International Airport",48.04330062866211,33.209999084472656,408,EU,UA,UA-12,"Kryvyi Rih",1,UKDR,KWG,,,http://en.wikipedia.org/wiki/Kryvyi_Rih_International_Airport,"Lozuvatka International Airport, Міжнародний аеропорт ""Кривий Ріг""",1200,2009-02-18T19:49:40+00:00
6472,UKDE,medium_airport,"Zaporizhzhia International Airport",47.867000579833984,35.31570053100586,373,EU,UA,UA-23,Zaporizhia,1,UKDE,OZH,,,http://en.wikipedia.org/wiki/Zaporizhia_International_Airport,"Zaporozhye Airport, Міжнародний аеропорт Запоріжжя, Аэропорт Запорожье",1050,2009-03-19T16:43:50+00:00
6483,UKLR,medium_airport,"Rivne International Airport",50.60710144042969,26.141599655151367,755,EU,UA,UA-19,Rivne,1,UKLR,RWN,,http://www.aeroport.rv.ua/,http://en.wikipedia.org/wiki/Rivne_International_Airport,"Міжнародний аеропорт ""Рівне""",900,2009-02-18T20:00:28+00:00
6486,UKON,medium_airport,"Mykolaiv International Airport",47.057899475097656,31.9197998046875,184,EU,UA,UA-48,Nikolayev,0,UKON,NLV,,http://www.airport.nikolaev.ua/,http://en.wikipedia.org/wiki/Mykolaiv_Airport,"Nikolayev Airport, Nikolaev Airport, Аэропорт Николаев",500,2009-07-18T14:54:01+00:00
6469,UKCM,medium_airport,"Mariupol International Airport",47.07609939575195,37.44960021972656,251,EU,UA,UA-14,Mariupol,1,UKCM,MPW,,http://www.maraero.com/,http://en.wikipedia.org/wiki/Mariupol_International_Airport,"Міжнародний аеропорт ""Маріуполь""",450,2009-02-18T19:55:28+00:00
