id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
5235,OMDB,large_airport,"Dubai International Airport",25.2527999878,55.3643989563,62,AS,AE,AE-DU,Dubai,1,OMDB,DXB,,http://www.dubaiairport.com/dia/english/home/,http://en.wikipedia.org/wiki/Dubai_International_Airport,"مطار دبي الدولي‎",1013675,2013-05-04T06:01:33+00:00
5226,OMAA,large_airport,"Abu Dhabi International Airport",24.433000564575195,54.651100158691406,88,AS,AE,AE-AZ,"Abu Dhabi",1,OMAA,AUH,,http://www.abudhabiairport.ae/,http://en.wikipedia.org/wiki/Abu_Dhabi_International_Airport,,1275,2009-07-05T21:11:13+00:00
5239,OMSJ,large_airport,"Sharjah International Airport",25.32859992980957,55.5172004699707,111,AS,AE,AE-SH,Sharjah,1,OMSJ,SHJ,,,http://en.wikipedia.org/wiki/Sharjah_International_Airport,,1050,2009-07-05T21:21:17+00:00
300320,OMDW,large_airport,"Al Maktoum International Airport",24.896356,55.161389,114,AS,AE,AE-DU,"Jebel Ali",1,OMDW,DWC,,,http://en.wikipedia.org/wiki/Al_Maktoum_International_Airport,,0,2016-02-14T00:45:33+00:00
5237,OMFJ,medium_airport,"Fujairah International Airport",25.112199783325195,56.32400131225586,152,AS,AE,AE-FU,,1,OMFJ,FJR,,,http://en.wikipedia.org/wiki/Fujairah_International_Airport,,1050,2008-08-03T11:48:23+00:00
5238,OMRK,medium_airport,"Ras Al Khaimah International Airport",25.613500595092773,55.93880081176758,102,AS,AE,AE-RK,"Ras Al Khaimah",1,OMRK,RKT,,,http://en.wikipedia.org/wiki/Ras_Al_Khaimah_International_Airport,,875,2008-12-19T20:10:58+00:00
5236,OMDM,medium_airport,"Al Minhad Air Base",25.0268001556,55.3661994934,165,AS,AE,AE-DU,Dubai,0,OMDM,NHD,,,http://en.wikipedia.org/wiki/Al_Minhad_Air_Base,,50,2012-01-01T14:01:33+00:00
5230,OMAL,medium_airport,"Al Ain International Airport",24.261699676513672,55.60919952392578,869,AS,AE,AE-AZ,"Al Ain",1,OMAL,AAN,,,http://en.wikipedia.org/wiki/Al_Ain_International_Airport,,875,2009-07-05T21:13:18+00:00
5227,OMAD,medium_airport,"Bateen Airport",24.428300857543945,54.458099365234375,16,AS,AE,AE-AZ,,0,OMAD,AZI,,,,,250,2008-08-03T11:48:20+00:00
5231,OMAM,medium_airport,"Al Dhafra Air Base",24.248199462900004,54.547698974599996,77,AS,AE,AE-AZ,,0,OMAM,DHF,,https://www.dhafra.af.mil/,http://en.wikipedia.org/wiki/Al_Dhafra_Air_Base,,50,2012-07-19T20:09:31+00:00
42255,OMUQ,small_airport,"Umm Al Quwain",25.57722282409668,55.6511116027832,,AS,AE,AE-UQ,,0,OMUQ,,,,,,50,2008-10-10T10:32:40+00:00
2,OM11,small_airport,"Abu Dhabi Northeast Airport",24.51889991760254,54.980098724365234,88,AS,AE,AE-AZ,"Abu Dhabi",0,,,,,,,50,2009-07-05T21:12:30+00:00
