id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
3260,HTZA,large_airport,"Abeid Amani Karume International Airport",-6.22202,39.224899,54,AF,TZ,TZ-07,Zanzibar,1,HTZA,ZNZ,,,http://en.wikipedia.org/wiki/Zanzibar_International_Airport,"HTAK, Zanzibar Airport, Kiembi Samaki",875,2018-10-21T13:18:33+00:00
3251,HTDA,large_airport,"Julius Nyerere International Airport",-6.87811,39.202599,182,AF,TZ,TZ-02,"Dar es Salaam",1,HTDA,DAR,,http://www.tanzaniairports.com/,http://en.wikipedia.org/wiki/Julius_Nyerere_International_Airport,"HTJN, Mwalimu Julius K. Nyerere, Dar es Salaam International Airport",1050,2017-07-11T20:22:11+00:00
3254,HTKJ,medium_airport,"Kilimanjaro International Airport",-3.42940998077,37.0745010376,2932,AF,TZ,TZ-26,Arusha,1,HTKJ,JRO,,http://www.kilimanjaroairport.co.tz/,http://en.wikipedia.org/wiki/Kilimanjaro_International_Airport,,1050,2010-09-06T16:12:22+00:00
3250,HTAR,medium_airport,"Arusha Airport",-3.3677899837493896,36.63330078125,4550,AF,TZ,TZ-01,Arusha,1,HTAR,ARK,,,http://en.wikipedia.org/wiki/Arusha_Airport,,800,2008-11-12T14:28:21+00:00
3257,HTMW,medium_airport,"Mwanza Airport",-2.4444899559020996,32.932701110839844,3763,AF,TZ,TZ-18,Mwanza,1,HTMW,MWZ,,,http://en.wikipedia.org/wiki/Mwanza_Airport,,875,2008-11-12T14:29:10+00:00
3258,HTPE,medium_airport,"Pemba Airport",-5.257259845733643,39.8114013671875,80,AF,TZ,TZ-25,Chake,0,HTPE,PMA,,,,,250,2008-11-12T14:29:21+00:00
3253,HTIR,medium_airport,"Iringa Airport",-7.668630123138428,35.75210189819336,4678,AF,TZ,TZ-04,Nduli,0,HTIR,IRI,,,,,250,2008-11-12T14:28:27+00:00
3252,HTDO,medium_airport,"Dodoma Airport",-6.170440196990967,35.752601623535156,3673,AF,TZ,TZ-03,Dodoma,0,HTDO,DOD,,,,,250,2008-11-12T14:28:27+00:00
31881,HTMB,small_airport,"Mbeya Airport",-8.919444,33.463889,5600,AF,TZ,TZ-14,Mbeya,0,HTMB,,,,https://en.wikipedia.org/wiki/Mbeya_Airport,,50,2018-05-05T12:45:06+00:00
32283,HTSN,small_airport,"Seronera Airport",-2.45806,34.822498,5080,AF,TZ,TZ-13,Seronera,0,HTSN,SEU,,,https://en.wikipedia.org/wiki/Seronera_Airstrip,,50,2018-05-09T06:29:10+00:00
3256,HTMT,medium_airport,"Mtwara Airport",-10.339099884033203,40.181800842285156,371,AF,TZ,TZ-17,Mtwara,1,HTMT,MYW,,,http://en.wikipedia.org/wiki/Mtwara_Airport,,800,2008-11-12T14:29:08+00:00
3259,HTTG,medium_airport,"Tanga Airport",-5.092360019683838,39.07120132446289,129,AF,TZ,TZ-25,Tanga,1,HTTG,TGT,,,http://en.wikipedia.org/wiki/Tanga_Airport,,800,2008-11-12T14:29:38+00:00
30767,HTBU,small_airport,"Bukoba Airport",-1.332,31.8212,3784,AF,TZ,TZ-05,Bukoba,1,HTBU,BKZ,,,http://en.wikipedia.org/wiki/Bukoba_Airport,,450,2018-03-26T15:27:40+00:00
32454,HTKA,small_airport,"Kigoma Airport",-4.8862,29.6709,2700,AF,TZ,TZ-08,Kigoma,1,HTKA,TKQ,,,http://en.wikipedia.org/wiki/Kigoma_Airport,,450,2011-10-06T19:44:36+00:00
31801,HTLI,small_airport,"Lindi Airport",-9.85111,39.757801,100,AF,TZ,TZ-12,Lindi,1,HTLI,LDI,,,https://en.wikipedia.org/wiki/Lindi_Airport,"Kikwetu Airport",450,2018-09-15T16:30:16+00:00
31972,HTMU,small_airport,"Musoma Airport",-1.503,33.8021,3806,AF,TZ,TZ-13,Musoma,1,HTMU,MUZ,,,http://en.wikipedia.org/wiki/Musoma_Airport,,450,2011-10-06T20:04:02+00:00
32297,HTSY,small_airport,"Shinyanga Airport",-3.6093,33.5035,3800,AF,TZ,TZ-22,Shinyanga,1,HTSY,SHY,,,http://en.wikipedia.org/wiki/Shinyanga_Airport,,450,2011-10-06T19:55:01+00:00
32426,HTTB,small_airport,"Tabora Airport",-5.076389789581299,32.83330154418945,3868,AF,TZ,TZ-24,Tabora,1,HTTB,TBO,,,,,450,2008-11-12T14:29:38+00:00
3255,HTLM,medium_airport,"Lake Manyara Airport",-3.376310110092163,35.81829833984375,4150,AF,TZ,TZ-26,"Lake Manyara National Park",0,HTLM,LKY,,,,,250,2008-11-12T14:28:49+00:00
42487,HTOL,small_airport,"Oltipesi Airport",-4.287732,36.616115,4668,AF,TZ,TZ-26,,0,HTOL,,,,,,50,2013-01-05T15:57:41+00:00
31637,HTCH,small_airport,"Chunya Airport",-8.558318,33.436368,5000,AF,TZ,TZ-14,Chunya,0,HTCH,,,,,,50,2016-06-18T01:03:10+00:00
42491,TZ-GIT,small_airport,"Mchauru Airport",-2.813667,32.172472,3955,AF,TZ,TZ-18,Geita,0,HTRU,GIT,,,,,50,2016-06-16T02:23:28+00:00
42476,HTIY,small_airport,"Inyonga Airport",-6.719232,32.062657,3790,AF,TZ,TZ-20,Inyonga,0,HTIY,,,,,,50,2016-06-18T02:17:35+00:00
42477,HTKB,small_airport,"Kibondo Airport",-3.525979995727539,30.650400161743164,4262,AF,TZ,TZ-08,Kibondo,0,HTKB,,,,,,50,2008-11-12T14:28:31+00:00
31639,HTKT,small_airport,"Kilimatinde Airport",-5.831378,34.966387,3300,AF,TZ,TZ-23,Kilimatinde,0,HTKT,,,,,,50,2016-06-16T02:43:53+00:00
