id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
6369,TIST,medium_airport,"Cyril E. King Airport",18.337299346923828,-64.97339630126953,23,NA,VI,VI-U-A,"Charlotte Amalie, Harry S. Truman Airport",1,TIST,STT,STT,http://www.viport.com/airports.html,http://en.wikipedia.org/wiki/Cyril_E._King_Airport,,1050,2009-03-13T14:28:31+00:00
6370,TISX,medium_airport,"Henry E Rohlsen Airport",17.701900482177734,-64.79859924316406,74,NA,VI,VI-U-A,Christiansted,1,TISX,STX,STX,,http://en.wikipedia.org/wiki/Henry_E._Rohlsen_Airport,,1050,2008-06-13T14:30:04+00:00
25495,VI22,seaplane_base,"Charlotte Amalie Harbor Seaplane Base",18.338600158691406,-64.9406967163086,,NA,VI,VI-U-A,"Charlotte Amalie St Thomas",1,VI22,SPB,VI22,,http://en.wikipedia.org/wiki/Charlotte_Amalie_Harbor_Seaplane_Base,,625,2008-11-13T12:30:40+00:00
25496,VI32,seaplane_base,"Christiansted Harbor Seaplane Base",17.74720001220703,-64.70490264892578,,NA,VI,VI-U-A,"Christiansted St Croix",1,VI32,SSB,VI32,,http://en.wikipedia.org/wiki/Christiansted_Harbor_Seaplane_Base,,625,2008-11-13T12:30:14+00:00
25492,VI02,heliport,"St. Thomas Waterfront Heliport",18.338600158691406,-64.93930053710938,4,NA,VI,VI-U-A,"Charlotte Amalie",0,VI02,,VI02,,,,25,2008-11-13T12:26:24+00:00
25494,VI04,heliport,"Stouffer Grand Beach Resort Heliport",18.345800399780273,-64.90399932861328,125,NA,VI,VI-U-A,"Charlotte Amalie",0,VI04,,VI04,,,,25,2008-11-13T12:26:06+00:00
25491,VI01,heliport,"DPS Heliport",17.708900451660156,-64.79650115966797,50,NA,VI,VI-U-A,"Frederiksted St Croix",0,VI01,,VI01,,,,25,2008-11-13T12:29:58+00:00
25493,VI03,heliport,"Frenchman's Reef Heliport",18.31999969482422,-64.9220962524414,20,NA,VI,VI-U-A,"St Thomas",0,VI03,,VI03,,,,25,2008-11-13T12:26:41+00:00
309465,SJF,seaplane_base,"Cruz Bay Seaplane Base",18.3315,-64.796,0,NA,VI,VI-U-A,"Saint John Island",0,,SJF,,,,,0,2013-08-29T13:24:30+00:00
