id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
26392,UTTT,large_airport,"Tashkent International Airport",41.257900238,69.2811965942,1417,AS,UZ,UZ-TO,Tashkent,1,UTTT,TAS,,,http://en.wikipedia.org/wiki/Tashkent_International_Airport,,1475,2011-10-28T22:35:01+00:00
26387,UTNU,medium_airport,"Urgench Airport",41.58430099487305,60.641700744628906,320,AS,UZ,UZ-XO,Urgench,1,UTNU,UGC,,,http://en.wikipedia.org/wiki/Urgench_Airport,,875,2008-09-05T16:05:33+00:00
32013,UTNN,small_airport,"Nukus Airport",42.488399505615234,59.62329864501953,246,AS,UZ,UZ-QR,Nukus,1,UTNN,NCU,,,,,450,2008-09-05T16:05:29+00:00
26390,UTSS,medium_airport,"Samarkand Airport",39.70050048828125,66.98380279541016,2224,AS,UZ,UZ-SA,Samarkand,1,UTSS,SKD,,,http://en.wikipedia.org/wiki/Samarkand_Airport,,1050,2008-09-05T16:05:40+00:00
26391,UTST,medium_airport,"Termez Airport",37.28670120239258,67.30999755859375,1027,AS,UZ,UZ-SU,Termez,1,UTST,TMJ,,,http://en.wikipedia.org/wiki/Termez_Airport,,1050,2008-09-05T16:05:42+00:00
31118,UTKF,small_airport,"Fergana International Airport",40.358798980699994,71.7450027466,1980,AS,UZ,UZ-FA,Fergana,1,UTFF,FEG,,,http://en.wikipedia.org/wiki/Fergana_International_Airport,,450,2013-04-11T19:17:55+00:00
26388,UTSB,medium_airport,"Bukhara Airport",39.775001525878906,64.4832992553711,751,AS,UZ,UZ-BU,Bukhara,1,UTSB,BHK,,,http://en.wikipedia.org/wiki/Bukhara_Airport,"Buhara Airport",1050,2009-03-17T17:49:07+00:00
30672,UTKA,small_airport,"Andizhan Airport",40.7276992798,72.2939987183,1515,AS,UZ,UZ-AN,Andizhan,1,UTFA,AZN,,,http://en.wikipedia.org/wiki/Andizhan_Airport,"UTKA, Andijan Airport",450,2013-04-11T19:29:51+00:00
26389,UTSL,small_airport,"Karshi Khanabad Airport",38.8335990906,65.9215011597,1365,AS,UZ,UZ-QA,Khanabad,1,UTSK,KSQ,,,http://en.wikipedia.org/wiki/Karshi-Khanabad_Air_Base,"UTSL, K2 Air Base, Qarshi Khanabad Airport",450,2013-04-11T20:42:19+00:00
32038,UTKN,small_airport,"Namangan Airport",40.9846000671,71.5567016602,1555,AS,UZ,UZ-NG,Namangan,1,UTFN,NMA,,,http://en.wikipedia.org/wiki/Namangan_Airport,,450,2013-04-11T19:06:54+00:00
26416,UT1M,small_airport,"Kakaydy Airport",37.624298095703125,67.5176010131836,1207,AS,UZ,UZ-SU,Goran,0,UT1M,,UT1M,,,,50,2008-09-05T16:05:47+00:00
26417,UT1N,small_airport,"Karshi South Airport",38.80189895629883,65.77469635009766,1194,AS,UZ,UZ-QA,Karshi,0,UT1N,,UT1N,,,,50,2008-09-05T16:05:49+00:00
329015,UZ-0148,closed,"Komsomolsk-na-Ustyurte Airport",44.024526,58.2515106,524,AS,UZ,UZ-QR,Komsomolsk-na-Ustyurte,0,,,,,,,0,2018-08-16T21:35:22+00:00
41687,UTTP,medium_airport,"Tashkent East Airport",41.31269836425781,69.39140319824219,1574,AS,UZ,UZ-TO,Tashkent,1,UTTP,,,,,"Tashkent Vostochny Airport",550,2009-01-08T13:47:53+00:00
41689,UZ-0002,small_airport,"Ak Kurgan Airport",40.86330032348633,69.02899932861328,969,AS,UZ,UZ-TO,"Ak Kurgan",0,,,,,,,50,2008-09-05T16:06:01+00:00
41720,UZ-0033,small_airport,"Naubag Airport",37.65290069580078,66.97380065917969,1264,AS,UZ,UZ-SU,Akkurgan,0,,,,,,,50,2008-09-05T16:06:32+00:00
41747,UZ-0060,small_airport,"Alhi Airport",40.93519973754883,69.14109802246094,1091,AS,UZ,UZ-TO,Alhi,0,,,,,,,50,2008-09-05T16:07:06+00:00
41691,UZ-0004,small_airport,"Andizhan Northeast Airport",40.88850021362305,72.4052963256836,1585,AS,UZ,UZ-AN,Andizhan,0,,,,,,,50,2008-09-05T16:06:03+00:00
41748,UZ-0061,small_airport,"Aradzhi Airport",41.50798416137695,60.42179870605469,311,AS,UZ,UZ-XO,Aradzhi,0,,,,,,,50,2008-09-05T16:07:07+00:00
41782,UZ-0095,small_airport,"Karyz Airport",39.01860046386719,66.5188980102539,1674,AS,UZ,UZ-QA,Ayman,0,,,,,,,50,2008-09-05T16:07:43+00:00
41750,UZ-0063,small_airport,"Bakht Southeast Airport",40.70640182495117,68.68879699707031,864,AS,UZ,UZ-SI,Bakht,0,,,,,,,50,2008-09-05T16:07:09+00:00
41751,UZ-0064,small_airport,"Bayaut Pervyy West Airport",40.42599868774414,68.96710205078125,936,AS,UZ,UZ-SI,"Bayaut Pervyy",0,,,,,,,50,2008-09-05T16:07:10+00:00
26418,UT1O,small_airport,"Beleuli North Airport",44.054100036621094,57.54779815673828,413,AS,UZ,UZ-QR,Beleuli,0,UT1O,,UT1O,,,"Zhaslyk Airport, Аэропорт Белеули Северный, Аэропорт Жаслык",50,2009-04-22T15:13:18+00:00
41752,UZ-0065,small_airport,"Beruni Airport",41.68532180786133,60.71579360961914,318,AS,UZ,UZ-QR,Beruni,0,,,,,,,50,2008-09-05T16:07:11+00:00
41693,UZ-0006,small_airport,"Besh Kotan Airport",37.491600036621094,66.97859954833984,1063,AS,UZ,UZ-SU,"Besh Kotan",0,,,,,,,50,2008-09-05T16:06:05+00:00
41817,UZ-0128,small_airport,"Siyazy/Pa Yan Airport",39.82419967651367,64.59500122070312,751,AS,UZ,UZ-NW,Char-Khana,0,,,,,,,50,2008-09-05T16:08:19+00:00
41694,UZ-0007,small_airport,"Charkhin Airport",39.666500091552734,66.77050018310547,2200,AS,UZ,UZ-SA,Charkhin,0,,,,,,,50,2008-09-05T16:06:06+00:00
41695,UZ-0008,small_airport,"Chartak Airport",40.94770050048828,69.0438003540039,999,AS,UZ,UZ-TO,Chartak,0,,,,,,,50,2008-09-05T16:06:07+00:00
41754,UZ-0067,small_airport,"Chim Airport",38.8302001953125,66.26249694824219,1480,AS,UZ,UZ-QA,Chim,0,,,,,,,50,2008-09-05T16:07:13+00:00
