id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
5011,NVVV,medium_airport,"Bauerfield International Airport",-17.699300765991,168.32000732422,70,OC,VU,VU-SEE,"Port Vila",1,NVVV,VLI,,,http://en.wikipedia.org/wiki/Bauerfield_International_Airport,"Efate Field, Vila Field, McDonald Field, Bauer Field",975,2015-06-19T00:43:59+00:00
5012,NVVW,medium_airport,"Tanna Airport",-19.45509910583496,169.2239990234375,19,OC,VU,VU-TAE,,1,NVVW,TAH,,,http://en.wikipedia.org/wiki/White_Grass_Airport,,875,2008-06-13T14:30:04+00:00
5010,NVSS,medium_airport,"Santo Pekoa International Airport",-15.505000114399998,167.220001221,184,OC,VU,VU-SAM,Luganville,1,NVSS,SON,,http://www.airports.vu/Santo%20Pekoa/Santo%20Pekoa.htm,http://en.wikipedia.org/wiki/Santo-Pekoa_International_Airport,,875,2010-09-19T19:50:05+00:00
31682,NVVI,small_airport,"Ipota Airport",-18.856389,169.283333,23,OC,VU,VU-TAE,Ipota,1,NVVI,IPA,,,http://en.wikipedia.org/wiki/Ipota_Airport,,450,2011-10-05T11:27:24+00:00
31841,NVSG,small_airport,"Longana Airport",-15.3066997528,167.966995239,167,OC,VU,VU-PAM,Longana,1,NVSG,LOD,,,http://en.wikipedia.org/wiki/Longana_Airport,,450,2013-12-15T12:55:06+00:00
31836,NVSO,small_airport,"Lonorore Airport",-15.865599632299999,168.17199707,43,OC,VU,VU-PAM,Lonorore,1,NVSO,LNE,,,http://en.wikipedia.org/wiki/Lonorore_Airport,"Pentecost Island",450,2013-12-15T13:01:46+00:00
35161,NVSH,small_airport,"Sara Airport",-15.4708003998,168.151992798,493,OC,VU,VU-PAM,"Pentecost Island",1,NVSH,SSR,,,http://en.wikipedia.org/wiki/Sara_Airport,,450,2013-12-15T14:07:16+00:00
32058,NVVJ,small_airport,"Forari Airport",-17.701099395751953,168.52699279785156,351,OC,VU,VU-SEE,Forari,0,NVVJ,,,,,,50,2008-06-13T14:30:04+00:00
32526,NVVQ,small_airport,"Quion Hill Airport",-17.540000915527344,168.44200134277344,16,OC,VU,VU-SEE,"Quion Hill",0,NVVQ,UIQ,,,,,50,2008-06-13T14:30:04+00:00
35158,NVSQ,medium_airport,"Gaua Island Airport",-14.218099594099998,167.587005615,100,OC,VU,VU-TOB,"Gaua Island",1,NVSQ,ZGU,,,http://en.wikipedia.org/wiki/Gaua_Airport,"Banks Islands",800,2013-12-15T11:50:46+00:00
31964,NVSA,small_airport,"Mota Lava Airport",-13.6660003662,167.712005615,63,OC,VU,VU-TOB,Ablow,1,NVSA,MTV,,,http://en.wikipedia.org/wiki/Mota_Lava_Airport,,450,2013-12-15T13:14:18+00:00
35164,NVSU,small_airport,"Uléi Airport",-16.3297,168.3011,170,OC,VU,VU-MAP,"Ambryn Island",1,NVSU,ULB,,,http://en.wikipedia.org/wiki/Ulei_Airport,,450,2013-12-15T14:45:27+00:00
30663,NVVA,small_airport,"Aneityum Airport",-20.2492008209,169.770996094,7,OC,VU,VU-TAE,"Anatom Island",1,NVVA,AUY,,,http://en.wikipedia.org/wiki/Anatom_Airport,"Anelghowhat Airport, Anatom Airport",450,2013-12-15T10:40:12+00:00
30665,NVVB,small_airport,"Aniwa Airport",-19.2346,169.6009,69,OC,VU,VU-TAE,Aniwa,1,NVVB,AWD,,,http://en.wikipedia.org/wiki/Aniwa_Airport,,450,2013-12-15T10:56:46+00:00
30817,NVSF,small_airport,"Craig Cove Airport",-16.264999,167.923996,69,OC,VU,VU-MAP,"Craig Cove",1,NVSF,CCV,,,https://en.wikipedia.org/wiki/Craig_Cove_Airport,,450,2018-09-22T03:21:42+00:00
30926,NVVD,small_airport,"Dillon's Bay Airport",-18.7693996429,169.00100708,630,OC,VU,VU-TAE,"Dillon's Bay",1,NVVD,DLY,,,http://en.wikipedia.org/wiki/Dillon's_Bay_Airport,,450,2013-12-15T11:12:15+00:00
30961,NVSE,small_airport,"Siwo Airport",-17.0902996063,168.343002319,7,OC,VU,VU-SEE,"Emae Island",1,NVSE,EAE,,,http://en.wikipedia.org/wiki/Siwo_Airport,"Sangafa Airport, Emae Airport",450,2013-12-15T11:29:38+00:00
32583,NVSV,small_airport,"Valesdir Airport",-16.796100616500002,168.177001953,10,OC,VU,VU-SEE,"Epi Island",1,NVSV,VLS,,,http://en.wikipedia.org/wiki/Valesdir_Airport,,450,2013-12-15T14:52:15+00:00
31209,NVVF,small_airport,"Futuna Airport",-19.516399383499998,170.231994629,95,OC,VU,VU-TAE,"Futuna Island",1,NVVF,FTA,,,http://en.wikipedia.org/wiki/Futuna_Airport,,450,2011-11-08T02:47:45+00:00
31847,NVSL,small_airport,"Lamap Airport",-16.4611228,167.829253,7,OC,VU,VU-MAP,Lamap,1,NVSL,LPM,,,https://en.wikipedia.org/wiki/Malekoula_Airport,"Malekoula Airport",450,2018-09-15T16:13:42+00:00
31835,NVSM,small_airport,"Lamen Bay Airport",-16.584199905400002,168.158996582,7,OC,VU,VU-SEE,"Lamen Bay",1,NVSM,LNB,,,http://en.wikipedia.org/wiki/Lamen_Bay_Airport,,450,2013-05-13T00:18:37+00:00
32469,NVSD,small_airport,"Torres Airstrip",-13.3280000687,166.638000488,75,OC,VU,VU-TOB,Loh/Linua,1,NVSD,TOH,,,http://en.wikipedia.org/wiki/Torres_Airport,"Loh Island,",450,2013-12-15T14:37:41+00:00
35159,NVSN,small_airport,"Maewo-Naone Airport",-15,168.082992554,509,OC,VU,VU-PAM,"Maewo Island",1,NVSN,MWF,,,http://en.wikipedia.org/wiki/Maewo-Naone_Airport,,450,2013-12-15T13:10:21+00:00
35162,NVSX,small_airport,"Southwest Bay Airport",-16.4864,167.4472,68,OC,VU,VU-MAP,"Malekula Island",1,NVSX,SWJ,,,http://en.wikipedia.org/wiki/South_West_Bay_Airport,,450,2013-12-15T14:25:33+00:00
