id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
26708,VVTS,large_airport,"Tan Son Nhat International Airport",10.8187999725,106.652000427,33,AS,VN,VN-23,"Ho Chi Minh City",1,VVTS,SGN,,http://www.tsnairport.hochiminhcity.gov.vn/,http://en.wikipedia.org/wiki/Tan_Son_Nhat_International_Airport,"Tansonnhat, Sài Gòn, Saigon, Sân bay Quốc tế Tân Sơn Nhất",51275,2010-09-08T18:23:20+00:00
26700,VVNB,large_airport,"Noi Bai International Airport",21.221200942993164,105.80699920654297,39,AS,VN,VN-15,Hanoi,1,VVNB,HAN,,,http://en.wikipedia.org/wiki/Noi_Bai_International_Airport,"Noibai Airport, Sân bay Quốc tế Nội Bài",1150,2009-01-31T11:22:39+00:00
26697,VVDN,large_airport,"Da Nang International Airport",16.043899536132812,108.1989974975586,33,AS,VN,VN-60,"Da Nang",1,VVDN,DAD,,,http://en.wikipedia.org/wiki/Da_Nang_International_Airport,"Danang, Cảng Hàng không Quốc tế Đà Nẵng",1150,2009-01-31T11:26:30+00:00
26705,VVPQ,medium_airport,"Phu Quoc International Airport",10.1698,103.9931,37,AS,VN,VN-47,"Phu Quoc Island",1,VVPQ,PQC,,,https://en.wikipedia.org/wiki/Phu_Quoc_International_Airport,,800,2016-01-08T21:54:49+00:00
26693,VVCR,medium_airport,"Cam Ranh Airport",11.998200416564941,109.21900177001953,40,AS,VN,VN-34,"Nha Trang",1,VVCR,CXR,,,http://en.wikipedia.org/wiki/Cam_Ranh_Airport,,800,2008-12-30T14:08:33+00:00
26702,VVPB,medium_airport,"Phu Bai Airport",16.401500701899998,107.70300293,48,AS,VN,VN-56,Hue,1,VVPB,HUI,,,http://en.wikipedia.org/wiki/Phu_Bai_Airport,Phubai,925,2010-02-17T14:32:53+00:00
26701,VVNT,closed,"Nha Trang Air Base",12.2275,109.192001,20,AS,VN,VN-34,"Nha Trang",0,VVNT,NHA,,,http://en.wikipedia.org/wiki/Nha_Trang_Air_Base,"Nhatrang, BA 194",250,2016-11-12T15:01:37+00:00
26694,VVCS,medium_airport,"Co Ong Airport",8.73183,106.633003,20,AS,VN,VN-43,"Con Dao",1,VVCS,VCS,,,https://en.wikipedia.org/wiki/Con_Dao_Airport,"Conson Airport",800,2017-08-14T21:44:56+00:00
26695,VVCT,medium_airport,"Can Tho International Airport",10.085100174,105.711997986,9,AS,VN,VN-02,"Can Tho",1,VVCT,VCA,,,http://en.wikipedia.org/wiki/Can_Tho_International_Airport,"Binh Thuy Air Base, Trà Nóc Airport",800,2015-01-27T16:35:31+00:00
26692,VVCI,medium_airport,"Cat Bi International Airport",20.819400787353516,106.7249984741211,6,AS,VN,VN-61,Haiphong,1,VVCI,HPH,,,http://en.wikipedia.org/wiki/Cat_Bi_Airport,"Catbi Airport",800,2008-12-30T14:08:47+00:00
26704,VVPK,medium_airport,"Pleiku Airport",14.004500389099121,108.01699829101562,2434,AS,VN,VN-30,Pleiku,1,VVPK,PXU,,,http://en.wikipedia.org/wiki/Pleiku_Air_Base,,800,2008-12-30T14:08:28+00:00
26703,VVPC,medium_airport,"Phu Cat Airport",13.955,109.042,80,AS,VN,VN-31,"Quy Nohn",1,VVPC,UIH,,https://vietnamairport.vn/phucatairport/,https://en.wikipedia.org/wiki/Phu_Cat_Airport,Phucat,800,2018-09-15T03:48:32+00:00
30923,VVDL,medium_airport,"Lien Khuong Airport",11.75,108.366997,3156,AS,VN,VN-35,"Da Lat",1,VVDL,DLI,,,https://en.wikipedia.org/wiki/Lien_Khuong_Airport,Lienkhang,450,2018-05-11T02:57:15+00:00
26591,VV02,small_airport,"Bien Hoa Air Base",10.9766998291,106.818000793,79,AS,VN,VN-39,"Bien Hoa",0,,,,,http://en.wikipedia.org/wiki/Bien_Hoa_Air_Base,,50,2010-02-17T14:24:38+00:00
