id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
5318,OYSN,medium_airport,"Sana'a International Airport",15.476300239562988,44.21969985961914,7216,AS,YE,YE-SN,Sana'a,1,OYSN,SAH,,,http://en.wikipedia.org/wiki/Sana'a_International_Airport,,875,2008-12-30T14:09:17+00:00
5311,OYAA,medium_airport,"Aden International Airport",12.829500198364258,45.02880096435547,7,AS,YE,YE-AD,Aden,1,OYAA,ADE,,,http://en.wikipedia.org/wiki/Aden_International_Airport,,1050,2008-12-30T14:09:03+00:00
5317,OYRN,medium_airport,"Mukalla International Airport",14.662599563598633,49.375,54,AS,YE,YE-HD,Riyan,1,OYRN,RIY,,,http://en.wikipedia.org/wiki/Riyan_Airport,"RAF Riyan",875,2008-08-03T11:48:40+00:00
5320,OYSY,medium_airport,"Sayun International Airport",15.9660997391,48.78829956049999,2097,AS,YE,YE-HD,Sayun,1,OYSY,GXF,,,http://en.wikipedia.org/wiki/Sayun_Airport,,875,2010-09-02T21:59:47+00:00
5319,OYSQ,medium_airport,"Socotra International Airport",12.63070011138916,53.905799865722656,146,AS,YE,YE-HD,"Socotra Islands",1,OYSQ,SCT,,,http://en.wikipedia.org/wiki/Socotra_Airport,,800,2008-12-30T14:09:13+00:00
26978,OY75,small_airport,"Canoxy Airport",15.601799964904785,49.0806999206543,3300,AS,YE,YE-HD,,0,OY75,,OY75,,,,50,2008-08-03T11:52:54+00:00
32413,OYSH,small_airport,"Sadah Airport",16.966999,43.733002,5938,AS,YE,YE-SD,Sadah,0,OYSH,SYE,,,https://en.wikipedia.org/wiki/Saadah_Airport,,50,2018-09-22T03:30:08+00:00
5316,OYHD,medium_airport,"Hodeidah International Airport",14.753000259399414,42.97629928588867,41,AS,YE,YE-HU,Hodeida,1,OYHD,HOD,,,http://en.wikipedia.org/wiki/Hodeida_International_Airport,"Al Hudaydah International Airport",875,2008-12-30T14:11:33+00:00
5321,OYTZ,medium_airport,"Ta'izz International Airport",13.6859998703,44.139099121099996,4838,AS,YE,YE-TA,Ta'izz,1,OYTZ,TAI,,,http://en.wikipedia.org/wiki/Ta'izz_International_Airport,"Ganed Airport",875,2010-09-02T22:04:55+00:00
5315,OYGD,medium_airport,"Al Ghaidah International Airport",16.191699981689453,52.17499923706055,134,AS,YE,YE-MR,,1,OYGD,AAY,,,http://en.wikipedia.org/wiki/Al_Ghaydah_Airport,,800,2008-08-03T11:48:34+00:00
5312,OYAT,medium_airport,"Ataq Airport",14.551300048828125,46.82619857788086,3735,AS,YE,YE-AB,,0,OYAT,AXK,,,,,250,2008-12-30T14:08:59+00:00
5314,OYBN,medium_airport,"Beihan Airport",14.781999588012695,45.72010040283203,3800,AS,YE,YE-AB,,0,OYBN,BHN,,,,,250,2008-12-30T14:09:01+00:00
5313,OYBA,small_airport,"Al Badie Airport",18.71929931640625,50.83689880371094,908,AS,YE,YE-HD,,0,OYBA,,,,,,50,2008-08-03T11:48:33+00:00
26977,OY74,medium_airport,"Al Anad Air Base",13.174699783325195,44.765098571777344,900,AS,YE,YE-LA,,0,,,,,,OY74,50,2009-04-10T21:47:51+00:00
