id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
2894,FLLS,large_airport,"Kenneth Kaunda International Airport Lusaka",-15.3308000565,28.4526004791,3779,AF,ZM,ZM-09,Lusaka,1,FLKK,LUN,,http://www.nacl.co.zm/?page_id=336,http://en.wikipedia.org/wiki/Lusaka_International_Airport,,1050,2016-01-11T14:14:11+00:00
2893,FLLI,medium_airport,"Livingstone Airport",-17.821800231933594,25.82270050048828,3302,AF,ZM,ZM-07,Livingstone,1,FLLI,LVI,,,http://en.wikipedia.org/wiki/Livingstone_Airport,,875,2008-09-15T08:40:45+00:00
2895,FLMF,medium_airport,"Mfuwe Airport",-13.258899688720703,31.936599731445312,1853,AF,ZM,ZM-03,Mfuwe,1,FLMF,MFU,,,http://en.wikipedia.org/wiki/Mfuwe_Airport,,875,2008-09-15T08:34:08+00:00
2897,FLND,medium_airport,"Simon Mwansa Kapwepwe International Airport",-12.998100280762,28.66489982605,4167,AF,ZM,ZM-08,Ndola,1,FLSK,NLA,,,http://en.wikipedia.org/wiki/Ndola_Airport,"FLND, Ndola Airport",875,2015-12-06T13:15:03+00:00
30427,FLSW,small_airport,"Solwesi Airport",-12.173700332641602,26.365100860595703,4551,AF,ZM,ZM-06,Solwesi,1,FLSW,SLI,,,http://en.wikipedia.org/wiki/Solwezi_Airport,"Solwezi Airport",450,2008-09-15T08:46:44+00:00
2898,FLSO,medium_airport,"Southdowns Airport",-12.900500297546387,28.149900436401367,4145,AF,ZM,ZM-08,Kitwe,0,FLSO,KIW,,,,,250,2008-09-15T08:34:49+00:00
30012,FLKS,small_airport,"Kasama Airport",-10.216699600219727,31.13330078125,4541,AF,ZM,ZM-05,Kasama,0,FLKS,KAA,,,,,50,2008-09-15T08:33:42+00:00
2892,FLLC,medium_airport,"Lusaka City Airport",-15.4138002396,28.3306999207,4200,AF,ZM,ZM-09,Lusaka,0,FLLC,,,,,,50,2013-02-08T17:05:30+00:00
308257,ZM-0002,small_airport,Mumbwa,-15.072745130299998,27.1867847443,,AF,ZM,ZM-02,,0,,,,,,Military,0,2013-02-09T06:53:07+00:00
319027,ZM-0017,small_airport,"Kashikishi Airport",-9.308608,28.752645,,AF,ZM,ZM-04,Kashikishi,0,,,,,,,0,2016-06-22T10:04:27+00:00
29781,FLCP,small_airport,"Chipata Airport",-13.558300018310547,32.58720016479492,3360,AF,ZM,ZM-03,Chipata,1,FLCP,CIP,,,http://en.wikipedia.org/wiki/Chipata_Airport,,450,2008-09-15T08:42:59+00:00
2891,FLKE,medium_airport,"Kasompe Airport",-12.572799682617,27.893899917603,4636,AF,ZM,ZM-08,Chingola,0,FLKE,CGJ,,,https://en.wikipedia.org/wiki/Kasompe_Airport,,250,2015-09-23T02:00:13+00:00
2896,FLMG,medium_airport,"Mongu Airport",-15.254500389099121,23.16230010986328,3488,AF,ZM,ZM-01,Mongu,0,FLMG,MNR,,,,,250,2008-09-15T08:34:14+00:00
31140,FLEA,small_airport,"East One Airport",-11.635700225830078,29.73590087890625,3900,AF,ZM,ZM-04,Bwambwa,0,FLEA,,,,,,50,2008-09-15T08:32:09+00:00
31182,FLWG,small_airport,"West Seven Airport",-11.912699699401855,25.68440055847168,4000,AF,ZM,ZM-06,Chanika,0,FLWG,,,,,,50,2008-09-15T08:34:59+00:00
30605,FLEE,small_airport,"East Five Airport",-10.535699844360352,33.40719985961914,4200,AF,ZM,ZM-05,Chidulka,0,FLEE,,,,,,50,2008-09-15T08:33:27+00:00
31176,FLWA,small_airport,"West One Airport",-12.854900360107422,27.072200775146484,4000,AF,ZM,ZM-08,Chinka,0,FLWA,,,,,,50,2008-09-15T08:34:57+00:00
31139,FLCS,small_airport,"Chinsali Airport",-10.532999992370605,32.06700134277344,4350,AF,ZM,ZM-05,Chinsali,0,FLCS,,,,,,50,2008-09-15T08:33:21+00:00
